ENLIGHTEN Version,1.6.8
Measurement ID,20190528-121138-178510-WP-00352
Serial Number,WP-00352
Label,Glucose 100g per L
Integration Time,1000
Timestamp,2019-05-28 12:11:38.178510
Note,
Temperature,-99
CCD C0,537.1995239257812
CCD C1,0.11956000328063965
CCD C2,-1.4522999663313385e-05
CCD C3,-2.756999961661677e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
181.94,2.00
186.08,6.00
190.22,4.00
194.35,10.00
198.48,8.00
202.61,0.00
206.74,7.00
210.87,8.00
214.99,-17.00
219.11,-4.00
223.22,-1.00
227.34,-6.00
231.45,17.00
235.55,-14.00
239.66,-4.00
243.76,-4.00
247.86,6.00
251.96,-11.00
256.05,2.00
260.14,11.00
264.23,8.00
268.31,-4.00
272.39,15.00
276.47,18.00
280.55,-11.00
284.62,-8.00
288.70,12.00
292.76,9.00
296.83,6.00
300.89,-2.00
304.95,9.00
309.01,4.00
313.06,25.00
317.11,7.00
321.16,36.00
325.21,9.00
329.25,12.00
333.29,15.00
337.33,14.00
341.36,38.00
345.40,49.00
349.42,53.00
353.45,59.00
357.47,72.00
361.50,103.00
365.51,112.00
369.53,200.00
373.54,255.00
377.55,323.00
381.56,441.00
385.56,564.00
389.56,818.00
393.56,968.00
397.56,1227.00
401.55,1501.00
405.54,1807.00
409.53,2085.00
413.52,2218.00
417.50,2416.00
421.48,2644.00
425.45,2623.00
429.43,2703.00
433.40,2721.00
437.37,2562.00
441.33,2579.00
445.30,2603.00
449.26,2591.00
453.22,2539.00
457.17,2531.00
461.12,2378.00
465.07,2300.00
469.02,2294.00
472.96,2123.00
476.91,2135.00
480.84,2037.00
484.78,2178.00
488.71,2184.00
492.64,2344.00
496.57,2429.00
500.50,2621.00
504.42,2634.00
508.34,2774.00
512.26,2764.00
516.17,2882.00
520.08,2910.00
523.99,2834.00
527.90,2833.00
531.80,2635.00
535.70,2513.00
539.60,2384.00
543.50,2384.00
547.39,2266.00
551.28,2272.00
555.17,2183.00
559.05,2201.00
562.94,2144.00
566.81,2037.00
570.69,2037.00
574.57,2066.00
578.44,1950.00
582.31,2068.00
586.17,1898.00
590.04,1851.00
593.90,1917.00
597.76,1878.00
601.61,1887.00
605.46,1811.00
609.31,1681.00
613.16,1707.00
617.01,1642.00
620.85,1686.00
624.69,1584.00
628.53,1615.00
632.36,1621.00
636.19,1666.00
640.02,1655.00
643.85,1643.00
647.67,1568.00
651.49,1583.00
655.31,1558.00
659.13,1575.00
662.94,1522.00
666.75,1556.00
670.56,1536.00
674.37,1516.00
678.17,1603.00
681.97,1583.00
685.77,1624.00
689.56,1602.00
693.35,1448.00
697.14,1521.00
700.93,1541.00
704.72,1593.00
708.50,1484.00
712.28,1547.00
716.05,1522.00
719.83,1529.00
723.60,1519.00
727.37,1472.00
731.14,1478.00
734.90,1515.00
738.66,1496.00
742.42,1432.00
746.18,1428.00
749.93,1408.00
753.68,1518.00
757.43,1472.00
761.17,1427.00
764.92,1490.00
768.66,1474.00
772.40,1454.00
776.13,1543.00
779.86,1488.00
783.60,1448.00
787.32,1370.00
791.05,1429.00
794.77,1419.00
798.49,1346.00
802.21,1387.00
805.92,1364.00
809.64,1345.00
813.35,1311.00
817.05,1315.00
820.76,1372.00
824.46,1290.00
828.16,1316.00
831.86,1376.00
835.55,1379.00
839.24,1423.00
842.93,1524.00
846.62,1558.00
850.30,1653.00
853.98,1529.00
857.66,1525.00
861.34,1549.00
865.02,1451.00
868.69,1452.00
872.36,1373.00
876.02,1417.00
879.69,1295.00
883.35,1348.00
887.01,1324.00
890.66,1311.00
894.32,1430.00
897.97,1587.00
901.62,1648.00
905.26,1581.00
908.91,1674.00
912.55,1531.00
916.19,1619.00
919.83,1626.00
923.46,1634.00
927.09,1450.00
930.72,1281.00
934.35,1166.00
937.97,1048.00
941.59,1031.00
945.21,980.00
948.83,930.00
952.44,957.00
956.05,904.00
959.66,868.00
963.27,841.00
966.87,880.00
970.47,870.00
974.07,833.00
977.67,883.00
981.26,816.00
984.85,886.00
988.44,898.00
992.03,894.00
995.61,966.00
999.19,1031.00
1002.77,1024.00
1006.35,1016.00
1009.92,1217.00
1013.50,1235.00
1017.07,1383.00
1020.63,1524.00
1024.20,1463.00
1027.76,1527.00
1031.32,1539.00
1034.87,1558.00
1038.43,1579.00
1041.98,1638.00
1045.53,1674.00
1049.08,1800.00
1052.62,1767.00
1056.16,1876.00
1059.70,2005.00
1063.24,2077.00
1066.78,2149.00
1070.31,2160.00
1073.84,2060.00
1077.37,1916.00
1080.89,1836.00
1084.42,1677.00
1087.94,1628.00
1091.45,1494.00
1094.97,1449.00
1098.48,1463.00
1101.99,1632.00
1105.50,1638.00
1109.01,1916.00
1112.51,2047.00
1116.01,2250.00
1119.51,2530.00
1123.00,2793.00
1126.50,2789.00
1129.99,2785.00
1133.48,2648.00
1136.96,2502.00
1140.45,2176.00
1143.93,1880.00
1147.41,1640.00
1150.89,1450.00
1154.36,1364.00
1157.83,1286.00
1161.30,1185.00
1164.77,1084.00
1168.23,892.00
1171.70,828.00
1175.16,791.00
1178.61,709.00
1182.07,672.00
1185.52,545.00
1188.97,496.00
1192.42,521.00
1195.87,576.00
1199.31,601.00
1202.75,607.00
1206.19,622.00
1209.62,696.00
1213.06,696.00
1216.49,662.00
1219.92,622.00
1223.34,608.00
1226.77,620.00
