ENLIGHTEN Version,1.6.8
Measurement ID,20190305-164457-477000-unknown
Serial Number,unknown
Label,2019-03-05 16:50:18 Isopropanol 10x200ms Spectrum
Integration Time,60
Timestamp,2019-03-05 16:44:57.477000
Note,
Temperature,-99
CCD C0,536.9515991210938
CCD C1,0.12007000297307968
CCD C2,-1.7113000012614066e-06
CCD C3,-8.254399830320835e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
173.34,978.40
177.50,974.60
181.67,981.00
185.82,984.30
189.98,979.10
194.14,988.20
198.29,982.30
202.44,984.80
206.59,984.40
210.74,980.70
214.89,984.50
219.03,983.70
223.17,986.20
227.31,980.30
231.45,981.50
235.58,984.40
239.72,985.90
243.85,989.80
247.98,983.10
252.11,990.80
256.23,992.10
260.36,983.80
264.48,977.00
268.60,969.60
272.72,970.40
276.83,957.80
280.95,951.10
285.06,953.60
289.17,952.30
293.28,939.90
297.38,943.50
301.49,929.40
305.59,934.90
309.69,922.80
313.79,918.30
317.88,922.40
321.98,915.70
326.07,912.50
330.16,910.90
334.25,907.90
338.33,907.40
342.42,900.10
346.50,895.50
350.58,901.20
354.66,900.30
358.73,885.20
362.81,882.30
366.88,880.50
370.95,887.60
375.02,879.50
379.08,883.70
383.15,877.00
387.21,880.50
391.27,876.50
395.33,876.90
399.38,882.80
403.44,875.60
407.49,885.10
411.54,884.50
415.59,883.90
419.63,886.70
423.68,887.50
427.72,891.90
431.76,896.00
435.80,895.80
439.84,905.00
443.87,900.20
447.90,900.00
451.93,905.20
455.96,898.50
459.99,903.10
464.01,900.70
468.03,889.60
472.05,885.90
476.07,885.70
480.09,878.40
484.10,861.40
488.11,858.20
492.12,851.50
496.13,849.80
500.14,848.60
504.14,844.90
508.14,831.60
512.14,828.20
516.14,819.60
520.14,812.60
524.13,800.30
528.12,788.50
532.11,767.60
536.10,763.80
540.09,745.20
544.07,729.80
548.06,705.00
552.04,687.50
556.01,659.00
559.99,640.20
563.96,617.30
567.94,594.00
571.91,570.40
575.87,556.90
579.84,537.60
583.80,522.60
587.77,502.10
591.73,480.60
595.69,468.80
599.64,454.30
603.60,442.80
607.55,418.80
611.50,405.20
615.45,399.10
619.39,384.20
623.34,376.70
627.28,363.60
631.22,349.20
635.16,343.80
639.09,329.70
643.03,323.30
646.96,315.50
650.89,309.20
654.82,300.10
658.74,289.80
662.67,287.60
666.59,285.40
670.51,284.00
674.43,280.50
678.34,273.70
682.26,273.60
686.17,273.20
690.08,271.80
693.99,274.60
697.89,280.50
701.80,281.60
705.70,283.30
709.60,282.80
713.50,290.60
717.39,294.10
721.29,302.20
725.18,316.90
729.07,329.00
732.96,336.20
736.84,344.70
740.72,356.20
744.61,379.10
748.49,393.30
752.36,412.20
756.24,434.50
760.11,458.90
763.99,479.80
767.86,504.00
771.72,538.30
775.59,568.20
779.45,600.50
783.31,641.70
787.17,684.90
791.03,725.20
794.89,772.50
798.74,835.60
802.59,898.50
806.44,970.60
810.29,1039.90
814.14,1127.50
817.98,1223.10
821.82,1352.30
825.66,1469.90
829.50,1616.10
833.33,1802.00
837.17,2015.70
841.00,2274.70
844.83,2585.80
848.66,2994.70
852.48,3524.10
856.31,4202.00
860.13,5099.70
863.95,6272.20
867.76,7769.40
871.58,9558.70
875.39,11510.20
879.20,13356.30
883.01,14701.90
886.82,15386.40
890.63,15092.40
894.43,13810.40
898.23,11932.30
902.03,10002.70
905.83,8437.40
909.62,7409.20
913.42,6904.00
917.21,6949.70
921.00,7539.20
924.79,8745.30
928.57,10567.80
932.35,12859.50
936.13,15146.80
939.91,16748.70
943.69,17232.20
