ENLIGHTEN Version,1.6.8
Measurement ID,20190528-092903-966420-WP-00169
Serial Number,WP-00169
Label,Acetaminophen
Integration Time,500
Timestamp,2019-05-28 09:29:03.966420
Note,
Temperature,-99
CCD C0,843.7628784179688
CCD C1,0.150859996676445
CCD C2,-7.925799764052499e-06
CCD C3,-8.2813995661013e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,830.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
196.52,4408.00
198.64,5255.00
200.76,6246.00
202.87,7241.00
204.99,8490.00
207.10,9582.00
209.22,10602.00
211.33,11066.00
213.44,11444.00
215.55,11248.00
217.66,10440.00
219.77,9760.00
221.88,8898.00
223.99,8034.00
226.09,7494.00
228.20,7073.00
230.30,6662.00
232.40,6413.00
234.51,6232.00
236.61,6123.00
238.71,5979.00
240.80,5815.00
242.90,5739.00
245.00,5768.00
247.10,5629.00
249.19,5529.00
251.28,5464.00
253.38,5481.00
255.47,5422.00
257.56,5328.00
259.65,5254.00
261.74,5265.00
263.83,5203.00
265.92,5130.00
268.00,5038.00
270.09,5087.00
272.17,4992.00
274.25,5043.00
276.34,4981.00
278.42,4967.00
280.50,4969.00
282.58,5011.00
284.65,4996.00
286.73,4948.00
288.81,4922.00
290.88,5052.00
292.96,5081.00
295.03,5148.00
297.10,5118.00
299.18,5237.00
301.25,5202.00
303.32,5330.00
305.38,5491.00
307.45,5515.00
309.52,5699.00
311.58,5888.00
313.65,5998.00
315.71,6385.00
317.77,6961.00
319.84,7682.00
321.90,8707.00
323.96,9765.00
326.01,10615.00
328.07,11038.00
330.13,10952.00
332.18,10503.00
334.24,9889.00
336.29,9149.00
338.35,8481.00
340.40,7745.00
342.45,7061.00
344.50,6440.00
346.55,6012.00
348.59,5603.00
350.64,5425.00
352.69,5332.00
354.73,5277.00
356.78,5277.00
358.82,5345.00
360.86,5319.00
362.90,5328.00
364.94,5397.00
366.98,5509.00
369.02,5545.00
371.06,5707.00
373.09,5715.00
375.13,5869.00
377.16,6068.00
379.19,6426.00
381.23,6976.00
383.26,7942.00
385.29,9799.00
387.32,11970.00
389.34,13935.00
391.37,14690.00
393.40,14253.00
395.42,12641.00
397.45,10259.00
399.47,8277.00
401.49,7265.00
403.51,6556.00
405.53,6460.00
407.55,6579.00
409.57,6755.00
411.59,6828.00
413.61,6740.00
415.62,6537.00
417.64,6076.00
419.65,5849.00
421.66,5705.00
423.67,5625.00
425.68,5707.00
427.69,5623.00
429.70,5682.00
431.71,5707.00
433.71,5647.00
435.72,5612.00
437.72,5701.00
439.73,5709.00
441.73,5744.00
443.73,5789.00
445.73,5821.00
447.73,6006.00
449.73,6169.00
451.73,6430.00
453.73,6634.00
455.72,6885.00
457.72,7269.00
459.71,7778.00
461.70,8473.00
463.69,8924.00
465.69,9122.00
467.68,9042.00
469.66,8466.00
471.65,7719.00
473.64,7111.00
475.62,6654.00
477.61,6316.00
479.59,6114.00
481.58,5926.00
483.56,5904.00
485.54,5905.00
487.52,5745.00
489.50,5711.00
491.48,5739.00
493.45,5800.00
495.43,5987.00
497.40,6284.00
499.38,6953.00
501.35,7889.00
503.32,8458.00
505.29,8684.00
507.26,8420.00
509.23,7653.00
511.20,6750.00
513.17,6169.00
515.13,5888.00
517.10,5770.00
519.06,5713.00
521.03,5728.00
522.99,5658.00
524.95,5551.00
526.91,5602.00
528.87,5637.00
530.83,5530.00
532.79,5488.00
534.74,5431.00
536.70,5551.00
538.65,5534.00
540.61,5546.00
542.56,5488.00
544.51,5517.00
546.46,5512.00
548.41,5526.00
550.36,5530.00
552.30,5547.00
554.25,5572.00
556.20,5602.00
558.14,5555.00
560.08,5603.00
562.03,5626.00
563.97,5641.00
565.91,5568.00
567.85,5684.00
569.79,5768.00
571.73,5709.00
573.66,5670.00
575.60,5789.00
577.53,5802.00
579.47,5814.00
581.40,5875.00
583.33,5898.00
585.26,5884.00
587.19,5931.00
589.12,6038.00
591.05,6175.00
592.97,6252.00
594.90,6407.00
596.83,6531.00
598.75,6970.00
600.67,7353.00
602.59,7813.00
604.51,8041.00
606.43,8119.00
608.35,7929.00
610.27,7575.00
612.19,7201.00
614.10,6991.00
616.02,6865.00
617.93,6934.00
619.85,7178.00
621.76,7585.00
623.67,8342.00
625.58,8966.00
627.49,9419.00
629.40,9525.00
631.30,9356.00
633.21,8835.00
635.12,8250.00
637.02,7921.00
638.92,7693.00
640.83,7897.00
642.73,8276.00
644.63,9249.00
646.53,11005.00
648.42,13292.00
650.32,15449.00
652.22,16537.00
654.11,16413.00
656.01,14920.00
657.90,12852.00
659.79,10593.00
661.68,9130.00
663.58,8308.00
665.46,7948.00
667.35,7806.00
669.24,7585.00
671.13,7641.00
673.01,7718.00
674.90,7815.00
676.78,7887.00
678.66,7954.00
680.54,8070.00
682.43,8167.00
684.31,8343.00
686.18,8406.00
688.06,8468.00
689.94,8463.00
691.81,8521.00
693.69,8448.00
695.56,8382.00
697.43,8311.00
699.31,8302.00
701.18,8372.00
703.05,8441.00
704.92,8774.00
706.78,9430.00
708.65,10138.00
710.52,10658.00
712.38,10776.00
714.25,10666.00
716.11,10014.00
717.97,9226.00
719.83,8519.00
721.69,8294.00
723.55,8032.00
725.41,7991.00
727.27,8048.00
729.12,8017.00
730.98,7998.00
732.83,8003.00
734.68,7997.00
736.54,8008.00
738.39,7891.00
740.24,7936.00
742.09,7736.00
743.93,7638.00
745.78,7606.00
747.63,7514.00
749.47,7343.00
751.32,7331.00
753.16,7309.00
755.00,7174.00
756.84,7162.00
758.68,7109.00
760.52,7102.00
762.36,7102.00
764.20,7005.00
766.04,7029.00
767.87,6930.00
769.71,6934.00
771.54,6987.00
773.37,7008.00
775.20,7051.00
777.03,7111.00
778.86,7193.00
780.69,7321.00
782.52,7461.00
784.35,7761.00
786.17,8051.00
788.00,8586.00
789.82,9744.00
791.64,11382.00
793.46,13763.00
795.28,16223.00
797.10,18102.00
798.92,18856.00
800.74,18287.00
802.56,16606.00
804.37,14329.00
806.19,12359.00
808.00,10697.00
809.82,9658.00
811.63,8952.00
813.44,8610.00
815.25,8328.00
817.06,8369.00
818.86,8420.00
820.67,8662.00
822.48,8770.00
824.28,8945.00
826.09,9156.00
827.89,9221.00
829.69,9546.00
831.49,10143.00
833.29,10559.00
835.09,10691.00
836.89,10601.00
838.69,10250.00
840.48,9730.00
842.28,9206.00
844.07,9017.00
845.87,9154.00
847.66,9744.00
849.45,11012.00
851.24,12996.00
853.03,16246.00
854.82,20386.00
856.61,24135.00
858.39,26726.00
860.18,26861.00
861.96,24885.00
863.75,21329.00
865.53,17094.00
867.31,13748.00
869.09,11140.00
870.87,9495.00
872.65,8532.00
874.43,7871.00
876.20,7488.00
877.98,7140.00
879.75,7014.00
881.53,6940.00
883.30,6794.00
885.07,6646.00
886.84,6622.00
888.61,6575.00
890.38,6538.00
892.15,6517.00
893.91,6522.00
895.68,6475.00
897.44,6458.00
899.21,6443.00
900.97,6443.00
902.73,6316.00
904.49,6449.00
906.25,6445.00
908.01,6486.00
909.77,6447.00
911.53,6443.00
913.28,6417.00
915.04,6504.00
916.79,6413.00
918.55,6423.00
920.30,6390.00
922.05,6381.00
923.80,6455.00
925.55,6310.00
927.30,6312.00
929.05,6299.00
930.79,6270.00
932.54,6293.00
934.28,6223.00
936.02,6222.00
937.77,6283.00
939.51,6247.00
941.25,6201.00
942.99,6230.00
944.73,6350.00
946.46,6381.00
948.20,6457.00
949.94,6432.00
951.67,6451.00
953.40,6508.00
955.14,6438.00
956.87,6318.00
958.60,6500.00
960.33,6571.00
962.06,6939.00
963.78,7275.00
965.51,7969.00
967.24,8606.00
968.96,9162.00
970.69,9354.00
972.41,9227.00
974.13,8566.00
975.85,7995.00
977.57,7270.00
979.29,6810.00
981.01,6519.00
982.73,6396.00
984.44,6206.00
986.16,6223.00
987.87,6035.00
989.58,6015.00
991.30,6048.00
993.01,6078.00
994.72,6121.00
996.43,6111.00
998.13,6198.00
999.84,6145.00
1001.55,6167.00
1003.25,6295.00
1004.96,6369.00
1006.66,6546.00
1008.36,6598.00
1010.06,6732.00
1011.76,6786.00
1013.46,6908.00
1015.16,7033.00
1016.86,7124.00
1018.56,7118.00
1020.25,7040.00
1021.95,6986.00
1023.64,6702.00
1025.33,6618.00
1027.02,6403.00
1028.71,6263.00
1030.40,6162.00
1032.09,6150.00
1033.78,6025.00
1035.47,6144.00
1037.15,6154.00
1038.84,6032.00
1040.52,5973.00
1042.20,5934.00
1043.89,5904.00
1045.57,5945.00
1047.25,5806.00
1048.93,5762.00
1050.60,5754.00
1052.28,5667.00
1053.96,5639.00
1055.63,5597.00
1057.31,5553.00
1058.98,5518.00
1060.65,5488.00
1062.32,5428.00
1063.99,5458.00
1065.66,5389.00
1067.33,5393.00
1069.00,5412.00
1070.66,5357.00
1072.33,5353.00
1073.99,5326.00
1075.66,5291.00
1077.32,5359.00
1078.98,5403.00
1080.64,5366.00
1082.30,5361.00
1083.96,5351.00
1085.62,5338.00
1087.27,5376.00
1088.93,5444.00
1090.58,5401.00
1092.24,5404.00
1093.89,5563.00
1095.54,5605.00
1097.19,5831.00
1098.84,6152.00
1100.49,6497.00
1102.14,6854.00
1103.79,7214.00
1105.43,7496.00
1107.08,7505.00
1108.72,7459.00
1110.36,7059.00
1112.01,6757.00
1113.65,6445.00
1115.29,6148.00
1116.93,5840.00
1118.56,5791.00
1120.20,5758.00
1121.84,5648.00
1123.47,5698.00
1125.11,5639.00
1126.74,5614.00
1128.37,5631.00
1130.00,5580.00
1131.63,5467.00
1133.26,5450.00
1134.89,5365.00
1136.52,5391.00
1138.14,5367.00
1139.77,5353.00
1141.39,5359.00
1143.02,5326.00
1144.64,5357.00
1146.26,5334.00
1147.88,5395.00
1149.50,5308.00
1151.12,5439.00
1152.74,5564.00
1154.36,5603.00
1155.97,5679.00
1157.59,5950.00
1159.20,6173.00
1160.81,6662.00
1162.42,7606.00
1164.04,9224.00
1165.65,11391.00
1167.25,13299.00
1168.86,14531.00
1170.47,14787.00
1172.08,13851.00
1173.68,12175.00
1175.28,10071.00
1176.89,8427.00
1178.49,7239.00
1180.09,6508.00
1181.69,6057.00
1183.29,5843.00
1184.89,5712.00
1186.49,5751.00
1188.08,5705.00
1189.68,5623.00
1191.27,5574.00
1192.87,5583.00
1194.46,5529.00
1196.05,5705.00
1197.64,5602.00
1199.23,5620.00
1200.82,5633.00
1202.41,5674.00
1203.99,5794.00
1205.58,5806.00
1207.16,5986.00
1208.75,6127.00
1210.33,6335.00
1211.91,6636.00
1213.49,6837.00
1215.07,7216.00
1216.65,7577.00
1218.23,7960.00
1219.81,8443.00
1221.38,8724.00
1222.96,9257.00
1224.53,9721.00
1226.11,10134.00
1227.68,10690.00
1229.25,11654.00
1230.82,12750.00
1232.39,14403.00
1233.96,16154.00
1235.52,18112.00
1237.09,19286.00
1238.66,19717.00
1240.22,18999.00
1241.78,17475.00
1243.35,15506.00
1244.91,13476.00
1246.47,11691.00
1248.03,10254.00
1249.59,9510.00
1251.14,9198.00
1252.70,9135.00
1254.26,9358.00
1255.81,9575.00
1257.36,9842.00
1258.92,9730.00
1260.47,9400.00
1262.02,8804.00
1263.57,8241.00
1265.12,7769.00
1266.67,7498.00
1268.21,7272.00
1269.76,7566.00
1271.31,8173.00
1272.85,8905.00
1274.39,9899.00
1275.93,10982.00
1277.48,11681.00
1279.02,12000.00
1280.56,12029.00
1282.09,11385.00
1283.63,10440.00
1285.17,9438.00
1286.70,8454.00
1288.24,7535.00
1289.77,6898.00
1291.30,6500.00
1292.84,6226.00
1294.37,5941.00
1295.90,5829.00
1297.42,5770.00
1298.95,5762.00
1300.48,5842.00
1302.00,5918.00
1303.53,5939.00
1305.05,5983.00
1306.58,6137.00
1308.10,6238.00
1309.62,6552.00
1311.14,6917.00
1312.66,7423.00
1314.18,8406.00
1315.69,9561.00
1317.21,11208.00
1318.72,13347.00
1320.24,15532.00
1321.75,17949.00
1323.26,19876.00
1324.78,21044.00
1326.29,21373.00
1327.80,20806.00
1329.30,19617.00
1330.81,17984.00
1332.32,15989.00
1333.82,14225.00
1335.33,12504.00
1336.83,10946.00
1338.33,9683.00
1339.84,8758.00
1341.34,8012.00
1342.84,7433.00
1344.34,7023.00
1345.83,6670.00
1347.33,6525.00
1348.83,6407.00
1350.32,6244.00
1351.82,6333.00
1353.31,6321.00
1354.80,6517.00
1356.29,6649.00
1357.78,6911.00
1359.27,7200.00
1360.76,7598.00
1362.25,8034.00
1363.73,8659.00
1365.22,9310.00
1366.70,10143.00
1368.19,10891.00
1369.67,11542.00
1371.15,11912.00
1372.63,12076.00
1374.11,12106.00
1375.59,11649.00
1377.07,11079.00
1378.54,10217.00
1380.02,9381.00
1381.49,8711.00
1382.97,7880.00
1384.44,7326.00
1385.91,6753.00
1387.38,6442.00
1388.85,6057.00
1390.32,5745.00
1391.79,5545.00
1393.26,5327.00
1394.72,5213.00
1396.19,5076.00
1397.65,4938.00
1399.12,4879.00
1400.58,4776.00
1402.04,4796.00
1403.50,4710.00
1404.96,4626.00
1406.42,4607.00
1407.88,4598.00
1409.33,4623.00
1410.79,4584.00
1412.24,4577.00
1413.70,4652.00
1415.15,4560.00
1416.60,4636.00
1418.05,4621.00
1419.50,4687.00
1420.95,4785.00
1422.40,4746.00
1423.84,4780.00
1425.29,4883.00
1426.74,4916.00
1428.18,4959.00
1429.62,5013.00
1431.06,5007.00
1432.51,5085.00
1433.95,5197.00
1435.39,5188.00
1436.82,5255.00
1438.26,5315.00
1439.70,5403.00
1441.13,5391.00
1442.57,5483.00
1444.00,5522.00
1445.43,5543.00
1446.86,5601.00
1448.30,5480.00
1449.72,5422.00
1451.15,5321.00
1452.58,5222.00
1454.01,5135.00
1455.43,4973.00
1456.86,4837.00
1458.28,4744.00
1459.71,4588.00
1461.13,4547.00
1462.55,4456.00
1463.97,4417.00
1465.39,4315.00
1466.81,4246.00
1468.22,4214.00
1469.64,4160.00
1471.06,4123.00
1472.47,4065.00
1473.88,4062.00
1475.30,3981.00
1476.71,4016.00
1478.12,3930.00
1479.53,3964.00
1480.94,3917.00
1482.34,3904.00
1483.75,3857.00
1485.16,3873.00
1486.56,3889.00
1487.96,3843.00
1489.37,3728.00
1490.77,3795.00
1492.17,3857.00
1493.57,3766.00
1494.97,3809.00
1496.37,3834.00
1497.76,3898.00
1499.16,3967.00
1500.56,4017.00
1501.95,4172.00
1503.34,4265.00
1504.74,4468.00
1506.13,4482.00
1507.52,4602.00
1508.91,4649.00
1510.30,4714.00
1511.68,4746.00
1513.07,4792.00
1514.46,4813.00
1515.84,4824.00
1517.22,4771.00
1518.61,4677.00
1519.99,4543.00
1521.37,4385.00
1522.75,4202.00
1524.13,4071.00
1525.51,3949.00
1526.88,3842.00
1528.26,3835.00
1529.63,3746.00
1531.01,3715.00
1532.38,3707.00
1533.75,3749.00
1535.13,3686.00
1536.50,3742.00
1537.87,3741.00
1539.23,3845.00
1540.60,3858.00
1541.97,3894.00
1543.33,4003.00
1544.70,4128.00
1546.06,4280.00
1547.42,4473.00
1548.79,4754.00
1550.15,4984.00
1551.51,5340.00
1552.87,5728.00
1554.22,6282.00
1555.58,6778.00
1556.94,7305.00
1558.29,7799.00
1559.65,8239.00
1561.00,8572.00
1562.35,8793.00
1563.70,8857.00
1565.05,8778.00
1566.40,8494.00
1567.75,8134.00
1569.10,7710.00
1570.45,7315.00
1571.79,6827.00
1573.14,6386.00
1574.48,5976.00
1575.82,5597.00
1577.16,5328.00
1578.50,5026.00
1579.84,4821.00
1581.18,4671.00
1582.52,4562.00
1583.86,4488.00
1585.19,4444.00
1586.53,4410.00
1587.86,4336.00
1589.20,4451.00
1590.53,4521.00
1591.86,4623.00
1593.19,4743.00
1594.52,4948.00
1595.85,5252.00
1597.18,5631.00
1598.50,6147.00
1599.83,6603.00
1601.15,7264.00
1602.48,8073.00
1603.80,9055.00
1605.12,10160.00
1606.44,11354.00
1607.76,12455.00
1609.08,13448.00
1610.40,14182.00
1611.72,14709.00
1613.03,14934.00
1614.35,15053.00
1615.66,14962.00
1616.97,14842.00
1618.29,14382.00
1619.60,14004.00
1620.91,13289.00
1622.22,12388.00
1623.53,11472.00
1624.83,10385.00
1626.14,9500.00
1627.45,8583.00
1628.75,7786.00
1630.05,7179.00
1631.36,6734.00
1632.66,6455.00
1633.96,6454.00
1635.26,6420.00
1636.56,6554.00
1637.86,6785.00
1639.15,7227.00
1640.45,7689.00
1641.74,8389.00
1643.04,9072.00
1644.33,9871.00
1645.62,10706.00
1646.92,11256.00
1648.21,11770.00
1649.50,12091.00
1650.78,12095.00
1652.07,11894.00
1653.36,11559.00
1654.64,11079.00
1655.93,10446.00
1657.21,9850.00
1658.50,9240.00
1659.78,8462.00
1661.06,7842.00
1662.34,7062.00
1663.62,6413.00
1664.90,5793.00
1666.17,5293.00
1667.45,4799.00
1668.72,4446.00
1670.00,4185.00
1671.27,3928.00
1672.54,3683.00
1673.82,3583.00
1675.09,3375.00
1676.36,3302.00
1677.62,3171.00
1678.89,3110.00
1680.16,3061.00
1681.42,2979.00
1682.69,2935.00
1683.95,2882.00
1685.22,2823.00
1686.48,2831.00
1687.74,2739.00
1689.00,2713.00
1690.26,2680.00
1691.52,2654.00
1692.77,2619.00
1694.03,2537.00
1695.28,2595.00
1696.54,2608.00
1697.79,2582.00
1699.04,2576.00
1700.30,2563.00
1701.55,2511.00
1702.80,2496.00
1704.04,2536.00
1705.29,2469.00
1706.54,2473.00
1707.78,2424.00
1709.03,2443.00
1710.27,2410.00
1711.52,2422.00
1712.76,2401.00
1714.00,2368.00
1715.24,2374.00
1716.48,2385.00
1717.72,2336.00
1718.95,2357.00
1720.19,2340.00
1721.43,2332.00
1722.66,2331.00
1723.89,2276.00
1725.13,2362.00
1726.36,2273.00
1727.59,2256.00
1728.82,2296.00
1730.05,2279.00
1731.28,2256.00
1732.50,2224.00
1733.73,2245.00
1734.95,2253.00
1736.18,2218.00
1737.40,2229.00
1738.62,2209.00
1739.84,2232.00
1741.06,2201.00
1742.28,2161.00
1743.50,2176.00
1744.72,2184.00
1745.94,2132.00
1747.15,2172.00
1748.37,2135.00
1749.58,2125.00
1750.79,2201.00
1752.00,2150.00
1753.21,2128.00
1754.42,2121.00
1755.63,2131.00
1756.84,2100.00
1758.05,2134.00
1759.25,2126.00
1760.46,2123.00
1761.66,2117.00
1762.87,2163.00
1764.07,2099.00
1765.27,2093.00
1766.47,2098.00
1767.67,2099.00
1768.87,2131.00
1770.07,2142.00
1771.26,2096.00
1772.46,2096.00
1773.65,2127.00
1774.85,2106.00
1776.04,2083.00
1777.23,2047.00
1778.42,2087.00
1779.61,2096.00
1780.80,2060.00
1781.99,2032.00
1783.18,2075.00
1784.36,2056.00
1785.55,2037.00
1786.73,2097.00
1787.92,2074.00
1789.10,2056.00
1790.28,2033.00
1791.46,2036.00
1792.64,2059.00
1793.82,2026.00
1795.00,2076.00
1796.17,1984.00
1797.35,2020.00
1798.52,2036.00
1799.70,2020.00
1800.87,1986.00
1802.04,1971.00
1803.21,1996.00
1804.38,1956.00
1805.55,1975.00
1806.72,1969.00
1807.89,1913.00
1809.05,1922.00
1810.22,1944.00
1811.38,1910.00
1812.55,1910.00
1813.71,1880.00
1814.87,1866.00
1816.03,1908.00
1817.19,1900.00
1818.35,1908.00
1819.51,1878.00
1820.67,1881.00
1821.82,1840.00
1822.98,1841.00
1824.13,1815.00
1825.28,1836.00
1826.44,1841.00
1827.59,1843.00
1828.74,1823.00
1829.89,1785.00
1831.04,1805.00
1832.18,1790.00
1833.33,1788.00
1834.48,1763.00
1835.62,1767.00
1836.76,1768.00
1837.91,1801.00
1839.05,1714.00
1840.19,1754.00
1841.33,1735.00
1842.47,1776.00
1843.61,1754.00
1844.74,1733.00
1845.88,1709.00
1847.01,1674.00
1848.15,1694.00
1849.28,1692.00
1850.41,1709.00
1851.55,1672.00
1852.68,1668.00
1853.81,1679.00
