ENLIGHTEN Version,1.6.8
Measurement ID,20190528-092739-926302-WP-00169
Serial Number,WP-00169
Label,Acetone
Integration Time,500
Timestamp,2019-05-28 09:27:39.926302
Note,
Temperature,-99
CCD C0,843.7628784179688
CCD C1,0.150859996676445
CCD C2,-7.925799764052499e-06
CCD C3,-8.2813995661013e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,830.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
196.52,850.00
198.64,957.00
200.76,1030.00
202.87,1123.00
204.99,1174.00
207.10,1229.00
209.22,1187.00
211.33,1166.00
213.44,1177.00
215.55,1202.00
217.66,1184.00
219.77,1175.00
221.88,1147.00
223.99,1151.00
226.09,1115.00
228.20,1094.00
230.30,1064.00
232.40,1058.00
234.51,1044.00
236.61,1069.00
238.71,1035.00
240.80,1027.00
242.90,1018.00
245.00,1032.00
247.10,972.00
249.19,976.00
251.28,917.00
253.38,967.00
255.47,942.00
257.56,898.00
259.65,864.00
261.74,856.00
263.83,846.00
265.92,829.00
268.00,778.00
270.09,807.00
272.17,767.00
274.25,766.00
276.34,727.00
278.42,730.00
280.50,719.00
282.58,744.00
284.65,683.00
286.73,706.00
288.81,687.00
290.88,717.00
292.96,651.00
295.03,666.00
297.10,664.00
299.18,656.00
301.25,658.00
303.32,649.00
305.38,662.00
307.45,654.00
309.52,668.00
311.58,658.00
313.65,635.00
315.71,647.00
317.77,645.00
319.84,634.00
321.90,645.00
323.96,635.00
326.01,613.00
328.07,649.00
330.13,630.00
332.18,617.00
334.24,641.00
336.29,674.00
338.35,639.00
340.40,622.00
342.45,630.00
344.50,628.00
346.55,653.00
348.59,687.00
350.64,686.00
352.69,649.00
354.73,709.00
356.78,722.00
358.82,759.00
360.86,729.00
362.90,768.00
364.94,860.00
366.98,881.00
369.02,917.00
371.06,997.00
373.09,987.00
375.13,1172.00
377.16,1223.00
379.19,1355.00
381.23,1537.00
383.26,1743.00
385.29,1977.00
387.32,2150.00
389.34,2306.00
391.37,2335.00
393.40,2405.00
395.42,2231.00
397.45,2030.00
399.47,1800.00
401.49,1612.00
403.51,1393.00
405.53,1210.00
407.55,1026.00
409.57,987.00
411.59,885.00
413.61,826.00
415.62,756.00
417.64,675.00
419.65,654.00
421.66,626.00
423.67,593.00
425.68,590.00
427.69,590.00
429.70,586.00
431.71,554.00
433.71,552.00
435.72,505.00
437.72,514.00
439.73,504.00
441.73,495.00
443.73,489.00
445.73,514.00
447.73,521.00
449.73,527.00
451.73,520.00
453.73,521.00
455.72,548.00
457.72,588.00
459.71,567.00
461.70,588.00
463.69,620.00
465.69,654.00
467.68,708.00
469.66,721.00
471.65,770.00
473.64,831.00
475.62,926.00
477.61,1029.00
479.59,1111.00
481.58,1281.00
483.56,1481.00
485.54,1682.00
487.52,1870.00
489.50,2020.00
491.48,2150.00
493.45,2220.00
495.43,2190.00
497.40,2104.00
499.38,1993.00
501.35,1916.00
503.32,1843.00
505.29,1813.00
507.26,1784.00
509.23,1796.00
511.20,1908.00
513.17,1975.00
515.13,2121.00
517.10,2345.00
519.06,2762.00
521.03,3129.00
522.99,3685.00
524.95,4341.00
526.91,5138.00
528.87,5718.00
530.83,5939.00
532.79,5752.00
534.74,5326.00
536.70,4661.00
538.65,3900.00
540.61,3095.00
542.56,2570.00
544.51,2112.00
546.46,1798.00
548.41,1497.00
550.36,1335.00
552.30,1204.00
554.25,1094.00
556.20,962.00
558.14,879.00
560.08,820.00
562.03,750.00
563.97,729.00
565.91,668.00
567.85,605.00
569.79,639.00
571.73,561.00
573.66,492.00
575.60,485.00
577.53,490.00
579.47,455.00
581.40,449.00
583.33,417.00
585.26,391.00
587.19,348.00
589.12,356.00
591.05,333.00
592.97,299.00
594.90,316.00
596.83,308.00
598.75,337.00
600.67,293.00
602.59,298.00
604.51,270.00
606.43,259.00
608.35,268.00
610.27,261.00
612.19,194.00
614.10,245.00
616.02,257.00
617.93,251.00
619.85,209.00
621.76,183.00
623.67,215.00
625.58,226.00
627.49,208.00
629.40,188.00
631.30,206.00
633.21,208.00
635.12,158.00
637.02,183.00
638.92,164.00
640.83,234.00
642.73,210.00
644.63,183.00
646.53,151.00
648.42,198.00
650.32,198.00
652.22,166.00
654.11,169.00
656.01,194.00
657.90,178.00
659.79,170.00
661.68,162.00
663.58,156.00
665.46,200.00
667.35,164.00
669.24,176.00
671.13,186.00
673.01,198.00
674.90,188.00
676.78,249.00
678.66,231.00
680.54,196.00
682.43,184.00
684.31,249.00
686.18,223.00
688.06,248.00
689.94,287.00
691.81,259.00
693.69,283.00
695.56,224.00
697.43,268.00
699.31,225.00
701.18,263.00
703.05,265.00
704.92,286.00
706.78,270.00
708.65,272.00
710.52,304.00
712.38,310.00
714.25,285.00
716.11,316.00
717.97,327.00
719.83,343.00
721.69,352.00
723.55,362.00
725.41,410.00
727.27,443.00
729.12,485.00
730.98,457.00
732.83,521.00
734.68,515.00
736.54,568.00
738.39,592.00
740.24,683.00
742.09,717.00
743.93,754.00
745.78,795.00
747.63,888.00
749.47,977.00
751.32,1072.00
753.16,1197.00
755.00,1320.00
756.84,1472.00
758.68,1630.00
760.52,1853.00
762.36,2142.00
764.20,2532.00
766.04,2971.00
767.87,3535.00
769.71,4370.00
771.54,5481.00
773.37,6913.00
775.20,8875.00
777.03,11618.00
778.86,15211.00
780.69,19893.00
782.52,25603.00
784.35,31558.00
786.17,36375.00
788.00,38806.00
789.82,38534.00
791.64,34663.00
793.46,28853.00
795.28,22255.00
797.10,16601.00
798.92,12118.00
800.74,8992.00
802.56,6921.00
804.37,5477.00
806.19,4339.00
808.00,3664.00
809.82,3144.00
811.63,2697.00
813.44,2387.00
815.25,2104.00
817.06,1937.00
818.86,1735.00
820.67,1572.00
822.48,1488.00
824.28,1366.00
826.09,1324.00
827.89,1226.00
829.69,1139.00
831.49,1170.00
833.29,1107.00
835.09,1071.00
836.89,1042.00
838.69,962.00
840.48,957.00
842.28,847.00
844.07,881.00
845.87,836.00
847.66,805.00
849.45,854.00
851.24,787.00
853.03,854.00
854.82,805.00
856.61,820.00
858.39,806.00
860.18,871.00
861.96,828.00
863.75,849.00
865.53,856.00
867.31,921.00
869.09,911.00
870.87,896.00
872.65,922.00
874.43,901.00
876.20,938.00
877.98,925.00
879.75,890.00
881.53,972.00
883.30,967.00
885.07,983.00
886.84,1008.00
888.61,1083.00
890.38,1105.00
892.15,1181.00
893.91,1222.00
895.68,1301.00
897.44,1299.00
899.21,1341.00
900.97,1398.00
902.73,1427.00
904.49,1404.00
906.25,1402.00
908.01,1395.00
909.77,1309.00
911.53,1272.00
913.28,1248.00
915.04,1166.00
916.79,1056.00
918.55,1043.00
920.30,982.00
922.05,898.00
923.80,923.00
925.55,812.00
927.30,782.00
929.05,706.00
930.79,707.00
932.54,702.00
934.28,628.00
936.02,648.00
937.77,637.00
939.51,589.00
941.25,536.00
942.99,517.00
944.73,536.00
946.46,514.00
948.20,491.00
949.94,464.00
951.67,468.00
953.40,422.00
955.14,463.00
956.87,413.00
958.60,434.00
960.33,409.00
962.06,426.00
963.78,396.00
965.51,378.00
967.24,382.00
968.96,394.00
970.69,426.00
972.41,379.00
974.13,379.00
975.85,412.00
977.57,411.00
979.29,420.00
981.01,413.00
982.73,444.00
984.44,449.00
986.16,419.00
987.87,375.00
989.58,409.00
991.30,352.00
993.01,381.00
994.72,376.00
996.43,347.00
998.13,341.00
999.84,354.00
1001.55,369.00
1003.25,339.00
1004.96,333.00
1006.66,343.00
1008.36,354.00
1010.06,348.00
1011.76,362.00
1013.46,335.00
1015.16,337.00
1016.86,346.00
1018.56,372.00
1020.25,365.00
1021.95,396.00
1023.64,407.00
1025.33,393.00
1027.02,414.00
1028.71,417.00
1030.40,436.00
1032.09,490.00
1033.78,463.00
1035.47,500.00
1037.15,544.00
1038.84,567.00
1040.52,631.00
1042.20,636.00
1043.89,701.00
1045.57,759.00
1047.25,881.00
1048.93,905.00
1050.60,1035.00
1052.28,1200.00
1053.96,1389.00
1055.63,1587.00
1057.31,1859.00
1058.98,2216.00
1060.65,2589.00
1062.32,2932.00
1063.99,3303.00
1065.66,3595.00
1067.33,3839.00
1069.00,3839.00
1070.66,3618.00
1072.33,3334.00
1073.99,2937.00
1075.66,2470.00
1077.32,2097.00
1078.98,1722.00
1080.64,1480.00
1082.30,1305.00
1083.96,1141.00
1085.62,995.00
1087.27,909.00
1088.93,835.00
1090.58,795.00
1092.24,763.00
1093.89,716.00
1095.54,643.00
1097.19,653.00
1098.84,643.00
1100.49,647.00
1102.14,549.00
1103.79,510.00
1105.43,518.00
1107.08,501.00
1108.72,453.00
1110.36,397.00
1112.01,409.00
1113.65,417.00
1115.29,378.00
1116.93,369.00
1118.56,352.00
1120.20,365.00
1121.84,325.00
1123.47,335.00
1125.11,324.00
1126.74,314.00
1128.37,305.00
1130.00,297.00
1131.63,285.00
1133.26,278.00
1134.89,276.00
1136.52,306.00
1138.14,303.00
1139.77,262.00
1141.39,291.00
1143.02,278.00
1144.64,274.00
1146.26,244.00
1147.88,269.00
1149.50,274.00
1151.12,299.00
1152.74,280.00
1154.36,282.00
1155.97,253.00
1157.59,280.00
1159.20,304.00
1160.81,285.00
1162.42,308.00
1164.04,287.00
1165.65,299.00
1167.25,314.00
1168.86,309.00
1170.47,352.00
1172.08,337.00
1173.68,345.00
1175.28,371.00
1176.89,365.00
1178.49,398.00
1180.09,447.00
1181.69,432.00
1183.29,442.00
1184.89,504.00
1186.49,512.00
1188.08,551.00
1189.68,557.00
1191.27,601.00
1192.87,618.00
1194.46,668.00
1196.05,710.00
1197.64,759.00
1199.23,820.00
1200.82,891.00
1202.41,955.00
1203.99,1033.00
1205.58,1113.00
1207.16,1249.00
1208.75,1438.00
1210.33,1572.00
1211.91,1773.00
1213.49,2032.00
1215.07,2365.00
1216.65,2642.00
1218.23,3014.00
1219.81,3295.00
1221.38,3605.00
1222.96,3695.00
1224.53,3649.00
