ENLIGHTEN Version,1.6.8
Measurement ID,20190528-094133-993586-WP-00204
Serial Number,WP-00204
Label,Acetonitrile
Integration Time,2000
Timestamp,2019-05-28 09:41:33.993586
Note,
Temperature,-99
CCD C0,640.9744873046875
CCD C1,0.11524999886751175
CCD C2,-5.4810998335597105e-06
CCD C3,-6.335299840287689e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,633.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
196.54,241.00
199.35,220.00
202.15,193.00
204.95,179.00
207.75,179.00
210.55,195.00
213.35,161.00
216.15,146.00
218.94,148.00
221.74,127.00
224.53,129.00
227.32,107.00
230.11,101.00
232.90,86.00
235.69,101.00
238.48,103.00
241.26,106.00
244.05,70.00
246.83,53.00
249.61,76.00
252.39,97.00
255.17,74.00
257.95,90.00
260.72,55.00
263.50,89.00
266.27,42.00
269.05,19.00
271.82,74.00
274.59,39.00
277.36,48.00
280.12,53.00
282.89,88.00
285.66,65.00
288.42,40.00
291.18,30.00
293.94,31.00
296.70,47.00
299.46,65.00
302.22,84.00
304.97,65.00
307.73,68.00
310.48,59.00
313.23,88.00
315.99,44.00
318.73,59.00
321.48,78.00
324.23,51.00
326.98,72.00
329.72,99.00
332.46,99.00
335.21,106.00
337.95,127.00
340.69,143.00
343.42,156.00
346.16,203.00
348.90,213.00
351.63,249.00
354.36,310.00
357.10,372.00
359.83,504.00
362.55,662.00
365.28,849.00
368.01,1223.00
370.73,1648.00
373.46,1990.00
376.18,2203.00
378.90,1870.00
381.62,1438.00
384.34,980.00
387.06,709.00
389.78,504.00
392.49,388.00
395.20,293.00
397.92,243.00
400.63,178.00
403.34,181.00
406.05,141.00
408.75,133.00
411.46,104.00
414.16,101.00
416.87,106.00
419.57,110.00
422.27,64.00
424.97,33.00
427.67,72.00
430.37,55.00
433.06,23.00
435.76,51.00
438.45,47.00
441.14,57.00
443.83,15.00
446.52,26.00
449.21,-4.00
451.90,11.00
454.58,26.00
457.27,20.00
459.95,4.00
462.63,32.00
465.31,31.00
467.99,-3.00
470.67,-3.00
473.35,4.00
476.02,-11.00
478.70,13.00
481.37,3.00
484.04,0.00
486.71,-8.00
489.38,15.00
492.05,15.00
494.71,11.00
497.38,-19.00
500.04,-21.00
502.70,11.00
505.37,-32.00
508.03,27.00
510.68,-2.00
513.34,31.00
516.00,-34.00
518.65,-12.00
521.31,-4.00
523.96,-7.00
526.61,-4.00
529.26,0.00
531.91,-6.00
534.55,-21.00
537.20,-46.00
539.84,-17.00
542.49,-7.00
545.13,-13.00
547.77,-25.00
550.41,-40.00
553.05,-25.00
555.68,-27.00
558.32,-45.00
560.95,-28.00
563.59,-8.00
566.22,-13.00
568.85,-15.00
571.48,-32.00
574.11,-24.00
576.73,-12.00
579.36,-15.00
581.98,-16.00
584.61,-38.00
587.23,-5.00
589.85,-25.00
592.47,-6.00
595.08,-25.00
597.70,-29.00
600.31,-34.00
602.93,-38.00
605.54,-23.00
608.15,-22.00
610.76,-19.00
613.37,-21.00
615.98,-43.00
618.58,-34.00
621.19,-34.00
623.79,-28.00
626.39,-39.00
629.00,-35.00
631.59,-12.00
634.19,-24.00
636.79,-32.00
639.39,-45.00
641.98,-11.00
644.57,-27.00
647.17,-14.00
649.76,9.00
652.35,-45.00
654.93,-24.00
657.52,-24.00
660.11,-25.00
662.69,-17.00
665.27,-57.00
667.85,-27.00
670.43,-23.00
673.01,-27.00
675.59,-10.00
678.17,-29.00
680.74,-34.00
683.32,-30.00
685.89,-25.00
688.46,-24.00
691.03,10.00
693.60,0.00
696.17,-36.00
698.73,-12.00
701.30,14.00
703.86,-36.00
706.43,-37.00
708.99,-13.00
711.55,-2.00
714.10,3.00
716.66,-29.00
719.22,15.00
721.77,-23.00
724.33,4.00
726.88,-6.00
729.43,17.00
731.98,23.00
734.53,38.00
737.07,78.00
739.62,85.00
742.16,135.00
744.71,112.00
747.25,110.00
749.79,90.00
752.33,87.00
754.87,91.00
757.40,53.00
759.94,14.00
762.47,34.00
765.01,15.00
767.54,-2.00
770.07,4.00
772.60,2.00
775.12,-16.00
777.65,-12.00
780.18,0.00
782.70,-17.00
785.22,-21.00
787.74,-10.00
790.26,-25.00
792.78,-13.00
795.30,4.00
797.82,-21.00
800.33,-17.00
802.84,-9.00
805.36,6.00
807.87,-23.00
810.38,-23.00
812.89,-36.00
815.39,-6.00
817.90,-7.00
820.40,-15.00
822.91,-20.00
825.41,-26.00
827.91,-15.00
830.41,-19.00
832.91,-31.00
835.40,-13.00
837.90,2.00
840.39,-13.00
842.89,-36.00
845.38,0.00
847.87,-19.00
850.36,-19.00
852.85,-23.00
855.33,-4.00
857.82,21.00
860.30,-4.00
862.79,-18.00
865.27,5.00
867.75,-25.00
870.23,-25.00
872.70,14.00
875.18,13.00
877.66,13.00
880.13,-13.00
882.60,24.00
885.07,8.00
887.54,3.00
890.01,22.00
892.48,32.00
894.95,57.00
897.41,84.00
899.87,109.00
902.34,138.00
904.80,222.00
907.26,331.00
909.72,633.00
912.17,1876.00
914.63,4223.00
917.08,4040.00
919.54,2644.00
921.99,1447.00
924.44,740.00
926.89,375.00
929.34,187.00
931.78,114.00
