ENLIGHTEN Version,1.6.8
Measurement ID,20190528-173436-452854-WP-00204
Serial Number,WP-00204
Label,Acetonitrile Toluene
Integration Time,1000
Timestamp,2019-05-28 17:34:36.452854
Note,
Temperature,-99
CCD C0,640.9744873046875
CCD C1,0.11524999886751175
CCD C2,-5.4810998335597105e-06
CCD C3,-6.335299840287689e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,633.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
196.54,13629.00
199.35,13823.00
202.15,14009.00
204.95,14388.00
207.75,14557.00
210.55,14835.00
213.35,14834.00
216.15,14681.00
218.94,14351.00
221.74,14058.00
224.53,13800.00
227.32,13640.00
230.11,13567.00
232.90,13484.00
235.69,13448.00
238.48,13349.00
241.26,13265.00
244.05,13297.00
246.83,13255.00
249.61,13122.00
252.39,13153.00
255.17,13033.00
257.95,13166.00
260.72,13107.00
263.50,13143.00
266.27,13090.00
269.05,13195.00
271.82,13177.00
274.59,13173.00
277.36,13140.00
280.12,13159.00
282.89,12974.00
285.66,13013.00
288.42,13071.00
291.18,12991.00
293.94,13028.00
296.70,13008.00
299.46,13030.00
302.22,13094.00
304.97,12981.00
307.73,13045.00
310.48,12946.00
313.23,12925.00
315.99,12928.00
318.73,12907.00
321.48,12987.00
324.23,13071.00
326.98,13157.00
329.72,13113.00
332.46,13328.00
335.21,13340.00
337.95,13482.00
340.69,13649.00
343.42,13609.00
346.16,13541.00
348.90,13579.00
351.63,13661.00
354.36,13696.00
357.10,13769.00
359.83,14022.00
362.55,14298.00
365.28,14726.00
368.01,15109.00
370.73,15566.00
373.46,16016.00
376.18,15651.00
378.90,15078.00
381.62,14435.00
384.34,14009.00
387.06,13807.00
389.78,13628.00
392.49,13580.00
395.20,13389.00
397.92,13532.00
400.63,13429.00
403.34,13353.00
406.05,13284.00
408.75,13250.00
411.46,13319.00
414.16,13051.00
416.87,13049.00
419.57,13020.00
422.27,13027.00
424.97,13066.00
427.67,13077.00
430.37,12966.00
433.06,13044.00
435.76,13090.00
438.45,13010.00
441.14,12955.00
443.83,12953.00
446.52,12965.00
449.21,12941.00
451.90,13037.00
454.58,13039.00
457.27,13132.00
459.95,13143.00
462.63,13236.00
465.31,13149.00
467.99,13144.00
470.67,13075.00
473.35,13114.00
476.02,13040.00
478.70,12972.00
481.37,13082.00
484.04,13069.00
486.71,13059.00
489.38,13041.00
492.05,13058.00
494.71,13161.00
497.38,13107.00
500.04,13104.00
502.70,13105.00
505.37,13134.00
508.03,13316.00
510.68,13622.00
513.34,14447.00
516.00,16161.00
518.65,16261.00
521.31,14300.00
523.96,13420.00
526.61,13263.00
529.26,13105.00
531.91,12955.00
534.55,12860.00
537.20,12851.00
539.84,12770.00
542.49,12812.00
545.13,12676.00
547.77,12627.00
550.41,12685.00
553.05,12622.00
555.68,12643.00
558.32,12733.00
560.95,12588.00
563.59,12605.00
566.22,12499.00
568.85,12533.00
571.48,12466.00
574.11,12519.00
576.73,12508.00
579.36,12605.00
581.98,12566.00
584.61,12535.00
587.23,12505.00
589.85,12501.00
592.47,12676.00
595.08,12552.00
597.70,12581.00
600.31,12496.00
602.93,12541.00
605.54,12612.00
608.15,12721.00
610.76,12855.00
613.37,13221.00
615.98,13501.00
618.58,13686.00
621.19,13447.00
623.79,13026.00
626.39,12909.00
629.00,12712.00
631.59,12601.00
634.19,12630.00
636.79,12651.00
639.39,12510.00
641.98,12515.00
644.57,12681.00
647.17,12512.00
649.76,12549.00
652.35,12607.00
654.93,12624.00
657.52,12603.00
660.11,12521.00
662.69,12561.00
665.27,12519.00
667.85,12569.00
670.43,12527.00
673.01,12615.00
675.59,12592.00
678.17,12594.00
680.74,12610.00
683.32,12595.00
685.89,12484.00
688.46,12435.00
691.03,12576.00
693.60,12445.00
696.17,12513.00
698.73,12449.00
701.30,12563.00
703.86,12601.00
706.43,12595.00
708.99,12506.00
711.55,12508.00
714.10,12595.00
716.66,12519.00
719.22,12495.00
721.77,12496.00
724.33,12658.00
726.88,12613.00
729.43,12607.00
731.98,12675.00
734.53,12666.00
737.07,12695.00
739.62,12590.00
742.16,12624.00
744.71,12579.00
747.25,12645.00
749.79,12632.00
752.33,12521.00
754.87,12422.00
757.40,12480.00
759.94,12536.00
762.47,12553.00
765.01,12576.00
767.54,12599.00
770.07,12683.00
772.60,13042.00
775.12,13843.00
777.65,16000.00
780.18,21563.00
782.70,25071.00
785.22,18386.00
787.74,14157.00
790.26,13021.00
792.78,12837.00
795.30,12785.00
797.82,12603.00
800.33,12842.00
802.84,12780.00
805.36,12852.00
807.87,12882.00
810.38,12835.00
812.89,12799.00
815.39,12717.00
817.90,12641.00
820.40,12519.00
822.91,12570.00
825.41,12622.00
827.91,12619.00
830.41,12687.00
832.91,12780.00
835.40,12812.00
837.90,12670.00
840.39,12675.00
842.89,12675.00
845.38,12666.00
847.87,12719.00
850.36,12649.00
852.85,12659.00
855.33,12658.00
857.82,12736.00
860.30,12639.00
862.79,12732.00
865.27,12662.00
867.75,12651.00
870.23,12653.00
872.70,12521.00
875.18,12652.00
877.66,12546.00
880.13,12603.00
882.60,12698.00
885.07,12734.00
887.54,12798.00
890.01,12712.00
892.48,12820.00
894.95,12896.00
897.41,12861.00
899.87,12837.00
902.34,12702.00
904.80,12851.00
907.26,13020.00
909.72,13425.00
912.17,15345.00
914.63,17659.00
917.08,16765.00
919.54,15144.00
921.99,14163.00
924.44,13283.00
926.89,13078.00
929.34,12914.00
931.78,12816.00
934.23,12725.00
936.67,12710.00
939.12,12702.00
941.56,12862.00
944.00,12778.00
946.44,12797.00
948.88,12879.00
951.31,12854.00
953.75,12784.00
956.18,12788.00
958.61,12763.00
961.05,12934.00
963.48,12873.00
965.91,12929.00
968.33,12949.00
970.76,13082.00
973.18,13174.00
975.61,13172.00
978.03,13192.00
980.45,13270.00
982.87,13440.00
985.29,13790.00
987.71,13935.00
990.12,14095.00
992.54,14555.00
994.95,17664.00
997.36,29043.00
999.78,37881.00
1002.19,24388.00
1004.59,16046.00
1007.00,14247.00
1009.41,13767.00
1011.81,13655.00
1014.21,13553.00
1016.62,13721.00
1019.02,13866.00
1021.42,14510.00
1023.82,16870.00
1026.21,19970.00
1028.61,17328.00
1031.00,14625.00
1033.39,13853.00
1035.79,13510.00
1038.18,13548.00
1040.57,13548.00
1042.95,13454.00
1045.34,13362.00
1047.73,13253.00
1050.11,13410.00
1052.49,13326.00
1054.87,13373.00
1057.25,13356.00
1059.63,13350.00
1062.01,13463.00
1064.39,13357.00
1066.76,13322.00
1069.14,13320.00
1071.51,13409.00
1073.88,13373.00
1076.25,13339.00
1078.62,13315.00
1080.99,13374.00
1083.35,13305.00
1085.72,13370.00
1088.08,13348.00
1090.44,13372.00
1092.80,13390.00
1095.16,13358.00
1097.52,13324.00
1099.88,13242.00
1102.24,13173.00
1104.59,13221.00
1106.94,13202.00
1109.30,13217.00
1111.65,13264.00
1114.00,13278.00
1116.34,13376.00
1118.69,13343.00
1121.04,13324.00
1123.38,13280.00
1125.72,13180.00
1128.07,13390.00
1130.41,13280.00
1132.75,13303.00
1135.08,13395.00
1137.42,13395.00
1139.76,13486.00
1142.09,13507.00
1144.42,13799.00
1146.76,13965.00
1149.09,14125.00
1151.41,14438.00
1153.74,14367.00
1156.07,14040.00
1158.39,14015.00
1160.72,13948.00
1163.04,13824.00
1165.36,13740.00
1167.68,13777.00
1170.00,13883.00
1172.32,14079.00
1174.63,14275.00
1176.95,14412.00
1179.26,14307.00
1181.58,14057.00
1183.89,13843.00
1186.20,13560.00
1188.51,13644.00
1190.81,13710.00
1193.12,13674.00
1195.42,13916.00
1197.73,14092.00
1200.03,14651.00
1202.33,15613.00
1204.63,17275.00
1206.93,18559.00
1209.23,16694.00
1211.52,14789.00
1213.82,13842.00
1216.11,13647.00
1218.40,13541.00
1220.69,13423.00
1222.98,13449.00
1225.27,13390.00
1227.56,13367.00
1229.84,13423.00
1232.13,13322.00
1234.41,13356.00
1236.69,13196.00
1238.97,13201.00
1241.25,13233.00
1243.53,13153.00
1245.80,13296.00
1248.08,13220.00
1250.35,13233.00
1252.63,13216.00
1254.90,13278.00
1257.17,13223.00
1259.44,13217.00
1261.71,13232.00
1263.97,13149.00
1266.24,13224.00
1268.50,13019.00
1270.76,13211.00
1273.03,13195.00
1275.29,13142.00
1277.54,13225.00
1279.80,13328.00
1282.06,13241.00
1284.31,13307.00
1286.57,13227.00
1288.82,13294.00
1291.07,13156.00
1293.32,13193.00
1295.57,13258.00
1297.82,13267.00
1300.06,13250.00
1302.31,13316.00
1304.55,13395.00
1306.79,13436.00
1309.03,13389.00
1311.27,13398.00
1313.51,13503.00
1315.75,13286.00
1317.98,13263.00
1320.22,13363.00
1322.45,13383.00
1324.68,13429.00
1326.91,13381.00
1329.14,13467.00
1331.37,13444.00
1333.60,13510.00
1335.82,13372.00
1338.05,13391.00
1340.27,13435.00
1342.49,13400.00
1344.71,13290.00
1346.93,13347.00
1349.15,13446.00
1351.37,13523.00
1353.58,13560.00
1355.80,13591.00
1358.01,13693.00
1360.22,13722.00
1362.43,13947.00
1364.64,14383.00
1366.85,14728.00
1369.06,15112.00
1371.26,15519.00
1373.47,15329.00
1375.67,15519.00
1377.87,15385.00
1380.07,14943.00
1382.27,14549.00
1384.47,14091.00
1386.66,14019.00
1388.86,13859.00
1391.05,13728.00
1393.24,13552.00
1395.44,13620.00
1397.63,13504.00
1399.81,13501.00
1402.00,13374.00
1404.19,13591.00
1406.37,13609.00
1408.56,13474.00
1410.74,13556.00
1412.92,13423.00
1415.10,13594.00
1417.28,13409.00
1419.46,13482.00
1421.63,13408.00
1423.81,13447.00
1425.98,13528.00
1428.15,13636.00
1430.32,13517.00
1432.49,13686.00
1434.66,13692.00
1436.83,13697.00
1438.99,13596.00
1441.16,13577.00
1443.32,13621.00
1445.48,13532.00
1447.64,13383.00
1449.80,13468.00
1451.96,13356.00
1454.12,13288.00
1456.27,13296.00
1458.43,13124.00
1460.58,13211.00
1462.73,13219.00
1464.88,13092.00
1467.03,12939.00
1469.18,12836.00
1471.33,12734.00
1473.47,12822.00
1475.62,12816.00
1477.76,12778.00
1479.90,12839.00
1482.04,12763.00
1484.18,12665.00
1486.32,12710.00
1488.46,12688.00
1490.59,12628.00
1492.73,12660.00
1494.86,12587.00
1496.99,12641.00
1499.12,12539.00
1501.25,12419.00
1503.38,12426.00
1505.50,12426.00
1507.63,12304.00
1509.75,12318.00
1511.88,12277.00
1514.00,12263.00
1516.12,12211.00
1518.24,12247.00
1520.35,12162.00
1522.47,12270.00
1524.59,12163.00
1526.70,12158.00
1528.81,12160.00
1530.92,12118.00
1533.03,12021.00
1535.14,11967.00
1537.25,11994.00
1539.36,11978.00
1541.46,11882.00
1543.56,11958.00
1545.67,11821.00
1547.77,11873.00
1549.87,11856.00
1551.97,11840.00
1554.06,11820.00
1556.16,11804.00
1558.25,11712.00
1560.35,11762.00
1562.44,11726.00
1564.53,11764.00
1566.62,11789.00
1568.71,11823.00
1570.80,12011.00
1572.88,11976.00
1574.97,12269.00
1577.05,12386.00
1579.13,12628.00
1581.21,12813.00
1583.29,12650.00
1585.37,12393.00
1587.45,12179.00
1589.52,12113.00
1591.60,12211.00
1593.67,12397.00
1595.74,12772.00
1597.81,13280.00
1599.88,13788.00
1601.95,13733.00
1604.02,13149.00
1606.08,12468.00
1608.15,11925.00
1610.21,11766.00
1612.27,11560.00
1614.33,11414.00
1616.39,11368.00
1618.45,11258.00
1620.51,11203.00
1622.56,11285.00
1624.62,11109.00
1626.67,10976.00
1628.72,10885.00
1630.77,10771.00
1632.82,10847.00
1634.87,10735.00
1636.92,10689.00
1638.96,10615.00
1641.01,10727.00
1643.05,10606.00
1645.09,10670.00
1647.13,10501.00
1649.17,10501.00
1651.21,10489.00
1653.25,10461.00
1655.28,10432.00
1657.32,10372.00
1659.35,10347.00
1661.38,10324.00
1663.41,10345.00
1665.44,10387.00
1667.47,10277.00
1669.49,10300.00
1671.52,10104.00
1673.54,10187.00
1675.56,10168.00
1677.59,10124.00
1679.61,10126.00
1681.63,10000.00
1683.64,10017.00
1685.66,9968.00
1687.67,9965.00
1689.69,10080.00
1691.70,10019.00
1693.71,9968.00
1695.72,9907.00
1697.73,9945.00
1699.74,9868.00
1701.75,9833.00
1703.75,9794.00
1705.75,9822.00
1707.76,9733.00
1709.76,9856.00
1711.76,9762.00
1713.76,9809.00
1715.75,9719.00
1717.75,9605.00
1719.74,9693.00
1721.74,9618.00
1723.73,9601.00
1725.72,9554.00
1727.71,9586.00
1729.70,9569.00
1731.69,9603.00
1733.67,9517.00
1735.66,9475.00
1737.64,9521.00
1739.62,9409.00
1741.61,9419.00
1743.59,9377.00
1745.56,9289.00
1747.54,9293.00
1749.52,9234.00
1751.49,9280.00
1753.47,9205.00
1755.44,9178.00
1757.41,9200.00
1759.38,9241.00
1761.35,9143.00
1763.31,9067.00
1765.28,9137.00
1767.25,9050.00
1769.21,9072.00
1771.17,9080.00
1773.13,8962.00
1775.09,8890.00
1777.05,8853.00
1779.01,8932.00
1780.96,8882.00
1782.92,8859.00
1784.87,8867.00
1786.82,8779.00
1788.77,8728.00
1790.72,8766.00
1792.67,8715.00
1794.62,8768.00
1796.56,8631.00
1798.51,8608.00
1800.45,8610.00
1802.39,8659.00
1804.34,8554.00
1806.28,8548.00
1808.21,8492.00
1810.15,8530.00
1812.09,8462.00
1814.02,8428.00
1815.95,8381.00
1817.89,8378.00
1819.82,8393.00
1821.75,8412.00
1823.67,8374.00
1825.60,8370.00
1827.53,8292.00
1829.45,8326.00
1831.37,8234.00
1833.30,8281.00
1835.22,8235.00
1837.14,8224.00
1839.06,8173.00
1840.97,8197.00
1842.89,8127.00
1844.80,8125.00
1846.72,7997.00
1848.63,8066.00
1850.54,7990.00
1852.45,8039.00
1854.36,7930.00
1856.26,7959.00
1858.17,7996.00
1860.07,7967.00
1861.98,7886.00
1863.88,7889.00
1865.78,7851.00
1867.68,7826.00
1869.58,7741.00
1871.47,7779.00
1873.37,7756.00
1875.26,7725.00
1877.15,7771.00
1879.05,7737.00
1880.94,7716.00
1882.83,7711.00
1884.71,7673.00
1886.60,7636.00
1888.49,7676.00
1890.37,7581.00
1892.25,7600.00
1894.14,7554.00
1896.02,7535.00
1897.90,7561.00
1899.77,7374.00
1901.65,7513.00
1903.53,7431.00
1905.40,7389.00
1907.27,7476.00
1909.15,7383.00
1911.02,7278.00
1912.89,7335.00
1914.75,7223.00
1916.62,7265.00
1918.49,7216.00
1920.35,7259.00
1922.21,7202.00
1924.07,7275.00
1925.93,7177.00
1927.79,7151.00
1929.65,7141.00
1931.51,7134.00
1933.36,7048.00
1935.22,7109.00
1937.07,7031.00
1938.92,7036.00
1940.77,7016.00
1942.62,6962.00
1944.47,6896.00
1946.32,6904.00
1948.16,6873.00
1950.01,6885.00
1951.85,6871.00
1953.69,6923.00
1955.53,6774.00
1957.37,6774.00
1959.21,6792.00
1961.05,6751.00
1962.88,6774.00
1964.72,6670.00
1966.55,6692.00
1968.38,6734.00
1970.21,6675.00
1972.04,6639.00
1973.87,6674.00
1975.69,6562.00
1977.52,6560.00
1979.34,6563.00
1981.17,6500.00
1982.99,6592.00
1984.81,6552.00
1986.63,6578.00
1988.45,6605.00
1990.26,6542.00
1992.08,6434.00
1993.89,6440.00
1995.71,6435.00
1997.52,6297.00
1999.33,6428.00
2001.14,6323.00
2002.95,6286.00
2004.75,6319.00
2006.56,6301.00
2008.36,6256.00
2010.16,6221.00
2011.97,6264.00
2013.77,6293.00
2015.57,6192.00
2017.36,6166.00
2019.16,6091.00
2020.96,6122.00
2022.75,6097.00
2024.54,6078.00
2026.33,6150.00
2028.13,6059.00
2029.91,6035.00
2031.70,6036.00
2033.49,6053.00
2035.27,6076.00
2037.06,5975.00
2038.84,5890.00
2040.62,5926.00
2042.40,5939.00
2044.18,5909.00
2045.96,5933.00
2047.74,5890.00
2049.51,5890.00
2051.29,5818.00
2053.06,5847.00
2054.83,5728.00
2056.60,5794.00
2058.37,5685.00
2060.14,5705.00
2061.91,5723.00
2063.67,5703.00
2065.44,5709.00
2067.20,5738.00
2068.96,5576.00
2070.72,5641.00
2072.48,5604.00
2074.24,5589.00
2076.00,5567.00
2077.75,5510.00
2079.51,5441.00
2081.26,5574.00
2083.01,5507.00
2084.76,5473.00
2086.51,5506.00
2088.26,5481.00
2090.01,5395.00
2091.75,5414.00
2093.50,5411.00
2095.24,5442.00
2096.98,5393.00
2098.72,5334.00
2100.46,5382.00
2102.20,5351.00
2103.94,5289.00
2105.67,5321.00
2107.41,5293.00
2109.14,5302.00
2110.87,5251.00
2112.60,5296.00
2114.33,5226.00
2116.06,5281.00
2117.79,5243.00
2119.51,5204.00
2121.24,5178.00
2122.96,5160.00
2124.68,5181.00
2126.40,5125.00
2128.12,5099.00
2129.84,5178.00
2131.56,5106.00
2133.27,5104.00
2134.99,5038.00
2136.70,5030.00
2138.41,5091.00
2140.12,5085.00
2141.83,5045.00
2143.54,5071.00
2145.25,4990.00
2146.95,5017.00
2148.66,4930.00
2150.36,4915.00
2152.06,4902.00
2153.76,4914.00
2155.46,4946.00
2157.16,4979.00
2158.86,4917.00
2160.55,4879.00
2162.25,4845.00
2163.94,4837.00
2165.63,4817.00
2167.32,4806.00
2169.01,4754.00
2170.70,4782.00
2172.39,4792.00
2174.08,4803.00
2175.76,4834.00
2177.44,4747.00
2179.13,4773.00
2180.81,4756.00
2182.49,4714.00
2184.16,4686.00
2185.84,4782.00
2187.52,4684.00
2189.19,4645.00
2190.87,4655.00
2192.54,4681.00
2194.21,4670.00
2195.88,4751.00
2197.55,4775.00
2199.21,4796.00
2200.88,4834.00
2202.54,4745.00
2204.21,4630.00
2205.87,4541.00
2207.53,4560.00
2209.19,4538.00
2210.85,4516.00
2212.51,4551.00
2214.16,4546.00
2215.82,4482.00
2217.47,4518.00
2219.12,4503.00
2220.77,4531.00
2222.42,4562.00
2224.07,4558.00
2225.72,4545.00
2227.37,4520.00
2229.01,4535.00
2230.65,4651.00
2232.30,4763.00
2233.94,4777.00
2235.58,5014.00
2237.22,5292.00
2238.85,5768.00
2240.49,6468.00
2242.13,7486.00
2243.76,9038.00
2245.39,11264.00
2247.02,13785.00
2248.65,16975.00
2250.28,18534.00
2251.91,14154.00
2253.54,9033.00
2255.16,6551.00
2256.78,5525.00
2258.41,5104.00
2260.03,4765.00
2261.65,4649.00
2263.27,4537.00
2264.88,4450.00
2266.50,4469.00
2268.12,4450.00
2269.73,4366.00
2271.34,4301.00
2272.95,4326.00
2274.56,4314.00
2276.17,4261.00
2277.78,4302.00
2279.39,4324.00
2280.99,4330.00
2282.60,4569.00
2284.20,4636.00
2285.80,4815.00
2287.40,4982.00
2289.00,5150.00
2290.60,4986.00
2292.19,4737.00
2293.79,4501.00
2295.38,4242.00
2296.98,4196.00
2298.57,4103.00
2300.16,3983.00
2301.75,3892.00
2303.34,3981.00
2304.92,3892.00
2306.51,3824.00
2308.09,3879.00
2309.67,3820.00
2311.26,3862.00
2312.84,3848.00
2314.42,3809.00
2315.99,3772.00
2317.57,3692.00
2319.15,3764.00
2320.72,3730.00
2322.29,3679.00
2323.86,3673.00
2325.44,3666.00
2327.00,3649.00
2328.57,3664.00
2330.14,3657.00
2331.71,3649.00
2333.27,3650.00
2334.83,3598.00
2336.39,3582.00
2337.95,3593.00
2339.51,3584.00
2341.07,3573.00
2342.63,3519.00
2344.19,3544.00
2345.74,3534.00
2347.29,3512.00
2348.84,3505.00
2350.40,3518.00
2351.94,3481.00
2353.49,3466.00
2355.04,3451.00
2356.59,3456.00
2358.13,3451.00
2359.67,3344.00
2361.22,3386.00
2362.76,3457.00
2364.30,3438.00
2365.83,3407.00
2367.37,3348.00
2368.91,3360.00
2370.44,3331.00
2371.98,3364.00
2373.51,3300.00
2375.04,3318.00
2376.57,3318.00
2378.10,3308.00
2379.62,3314.00
2381.15,3307.00
2382.68,3247.00
2384.20,3342.00
2385.72,3255.00
2387.24,3301.00
2388.76,3270.00
2390.28,3226.00
2391.80,3251.00
2393.31,3242.00
2394.83,3183.00
2396.34,3203.00
2397.85,3160.00
2399.37,3207.00
