ENLIGHTEN Version,1.6.8
Measurement ID,20190528-092541-305087-WP-00169
Serial Number,WP-00169
Label,Ammonium Chloride
Integration Time,2000
Timestamp,2019-05-28 09:25:41.305087
Note,
Temperature,-99
CCD C0,843.7628784179688
CCD C1,0.150859996676445
CCD C2,-7.925799764052499e-06
CCD C3,-8.2813995661013e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,830.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
196.52,4981.00
198.64,5578.00
200.76,6005.00
202.87,6357.00
204.99,6449.00
207.10,6491.00
209.22,6439.00
211.33,6287.00
213.44,6161.00
215.55,5947.00
217.66,5660.00
219.77,5504.00
221.88,5391.00
223.99,5108.00
226.09,4982.00
228.20,4815.00
230.30,4695.00
232.40,4568.00
234.51,4510.00
236.61,4307.00
238.71,4173.00
240.80,4057.00
242.90,3944.00
245.00,3880.00
247.10,3887.00
249.19,3786.00
251.28,3605.00
253.38,3529.00
255.47,3493.00
257.56,3386.00
259.65,3369.00
261.74,3346.00
263.83,3333.00
265.92,3236.00
268.00,3188.00
270.09,3103.00
272.17,3152.00
274.25,3116.00
276.34,3062.00
278.42,2995.00
280.50,3006.00
282.58,3052.00
284.65,3006.00
286.73,2987.00
288.81,3030.00
290.88,3006.00
292.96,2903.00
295.03,2924.00
297.10,2965.00
299.18,2958.00
301.25,3004.00
303.32,3028.00
305.38,3051.00
307.45,2955.00
309.52,3014.00
311.58,3029.00
313.65,3029.00
315.71,2963.00
317.77,3012.00
319.84,3013.00
321.90,3007.00
323.96,2958.00
326.01,2928.00
328.07,2975.00
330.13,3092.00
332.18,2996.00
334.24,2991.00
336.29,2956.00
338.35,2928.00
340.40,2952.00
342.45,2930.00
344.50,2850.00
346.55,2835.00
348.59,2842.00
350.64,2882.00
352.69,2809.00
354.73,2866.00
356.78,2779.00
358.82,2747.00
360.86,2768.00
362.90,2732.00
364.94,2781.00
366.98,2697.00
369.02,2747.00
371.06,2637.00
373.09,2648.00
375.13,2505.00
377.16,2591.00
379.19,2545.00
381.23,2511.00
383.26,2471.00
385.29,2477.00
387.32,2467.00
389.34,2440.00
391.37,2376.00
393.40,2448.00
395.42,2364.00
397.45,2317.00
399.47,2302.00
401.49,2329.00
403.51,2347.00
405.53,2327.00
407.55,2380.00
409.57,2367.00
411.59,2357.00
413.61,2334.00
415.62,2431.00
417.64,2374.00
419.65,2433.00
421.66,2446.00
423.67,2469.00
425.68,2433.00
427.69,2532.00
429.70,2563.00
431.71,2614.00
433.71,2524.00
435.72,2553.00
437.72,2625.00
439.73,2646.00
441.73,2676.00
443.73,2756.00
445.73,2768.00
447.73,2797.00
449.73,2742.00
451.73,2819.00
453.73,2840.00
455.72,2800.00
457.72,2869.00
459.71,2880.00
461.70,2979.00
463.69,2964.00
465.69,2920.00
