ENLIGHTEN Version,1.6.8
Measurement ID,20190528-175543-530817-WP-00421
Serial Number,WP-00421
Label,Ammonium Nitrate
Integration Time,200
Timestamp,2019-05-28 17:55:43.530817
Note,
Temperature,-99
CCD C0,845.722412109375
CCD C1,0.1515599936246872
CCD C2,-8.504200195602607e-06
CCD C3,-7.913800281755812e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,830.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
223.98,716.00
226.10,790.00
228.22,879.00
230.33,919.00
232.45,1027.00
234.56,993.00
236.68,1017.00
238.79,1043.00
240.90,1004.00
243.01,970.00
245.12,982.00
247.23,938.00
249.34,908.00
251.44,867.00
253.55,832.00
255.65,799.00
257.76,746.00
259.86,756.00
261.96,734.00
264.06,766.00
266.16,710.00
268.26,687.00
270.36,699.00
272.46,666.00
274.55,655.00
276.65,638.00
278.74,626.00
280.83,619.00
282.92,571.00
285.01,558.00
287.10,537.00
289.19,520.00
291.28,507.00
293.37,502.00
295.45,489.00
297.54,473.00
299.62,452.00
301.70,423.00
303.78,445.00
305.86,429.00
307.94,414.00
310.02,410.00
312.10,414.00
314.18,387.00
316.25,366.00
318.33,366.00
320.40,352.00
322.47,380.00
324.54,361.00
326.62,359.00
328.69,340.00
330.75,346.00
332.82,327.00
334.89,334.00
336.95,337.00
339.02,300.00
341.08,323.00
343.14,321.00
345.21,321.00
347.27,271.00
349.33,323.00
351.39,286.00
353.44,288.00
355.50,270.00
357.56,268.00
359.61,247.00
361.66,245.00
363.72,249.00
365.77,260.00
367.82,250.00
369.87,235.00
371.92,243.00
373.96,252.00
376.01,251.00
378.06,256.00
380.10,230.00
382.15,252.00
384.19,241.00
386.23,239.00
388.27,268.00
390.31,234.00
392.35,239.00
394.39,208.00
396.42,239.00
398.46,192.00
400.49,205.00
402.53,221.00
404.56,196.00
406.59,220.00
408.62,209.00
410.65,199.00
412.68,216.00
414.71,205.00
416.74,207.00
418.76,209.00
420.79,228.00
422.81,180.00
424.83,205.00
426.86,230.00
428.88,219.00
430.90,192.00
432.91,190.00
434.93,174.00
436.95,188.00
438.97,194.00
440.98,195.00
442.99,199.00
445.01,224.00
447.02,175.00
449.03,188.00
451.04,180.00
453.05,182.00
455.06,195.00
457.06,186.00
459.07,186.00
461.07,179.00
463.08,186.00
465.08,190.00
467.08,183.00
469.08,183.00
471.08,180.00
473.08,135.00
475.08,162.00
477.08,171.00
479.07,203.00
481.07,174.00
483.06,195.00
485.05,190.00
487.05,188.00
489.04,155.00
491.03,125.00
493.02,157.00
495.00,141.00
496.99,162.00
498.98,172.00
500.96,148.00
502.95,154.00
504.93,131.00
506.91,133.00
508.89,148.00
510.87,140.00
512.85,139.00
514.83,181.00
516.81,208.00
518.78,179.00
520.76,176.00
522.73,178.00
524.71,148.00
526.68,173.00
528.65,192.00
530.62,125.00
532.59,175.00
534.56,147.00
536.52,190.00
538.49,148.00
540.45,155.00
542.42,180.00
544.38,180.00
546.34,175.00
548.30,161.00
550.26,167.00
552.22,195.00
554.18,184.00
556.14,157.00
558.10,178.00
560.05,193.00
562.00,188.00
563.96,188.00
565.91,173.00
567.86,171.00
569.81,190.00
571.76,165.00
573.71,193.00
575.66,226.00
577.60,166.00
579.55,216.00
581.49,190.00
583.43,196.00
585.38,201.00
587.32,209.00
589.26,192.00
591.20,190.00
593.14,207.00
595.07,205.00
597.01,213.00
598.95,187.00
600.88,194.00
602.81,232.00
604.75,210.00
606.68,207.00
608.61,228.00
610.54,224.00
612.46,222.00
614.39,230.00
616.32,243.00
618.24,240.00
620.17,253.00
622.09,208.00
624.01,245.00
625.94,229.00
627.86,241.00
629.78,262.00
631.69,252.00
633.61,207.00
635.53,224.00
637.44,231.00
639.36,214.00
641.27,245.00
643.18,241.00
645.10,257.00
647.01,245.00
648.92,279.00
650.82,231.00
652.73,219.00
654.64,262.00
656.54,272.00
658.45,226.00
660.35,258.00
662.25,254.00
664.16,226.00
666.06,268.00
667.96,292.00
669.86,258.00
671.75,259.00
673.65,247.00
675.55,267.00
677.44,253.00
679.33,302.00
681.23,262.00
683.12,235.00
685.01,269.00
686.90,278.00
688.79,287.00
690.68,233.00
692.56,304.00
694.45,281.00
696.33,315.00
698.22,353.00
700.10,361.00
701.98,353.00
703.86,446.00
705.74,556.00
707.62,826.00
709.50,1471.00
711.38,2601.00
713.25,3918.00
715.13,4724.00
717.00,4987.00
718.87,4632.00
720.75,3615.00
722.62,2170.00
724.49,1173.00
726.36,684.00
728.22,467.00
730.09,389.00
731.96,319.00
733.82,291.00
735.69,298.00
737.55,245.00
739.41,268.00
741.27,226.00
743.13,283.00
744.99,226.00
746.85,237.00
748.71,226.00
750.56,193.00
752.42,235.00
754.27,268.00
756.12,235.00
757.98,173.00
759.83,217.00
761.68,184.00
763.53,169.00
765.38,192.00
767.22,207.00
769.07,222.00
770.91,180.00
772.76,226.00
774.60,229.00
776.44,205.00
778.29,232.00
780.13,192.00
781.97,209.00
783.80,203.00
785.64,209.00
787.48,163.00
789.31,228.00
791.15,258.00
792.98,195.00
794.81,235.00
796.64,222.00
798.48,194.00
800.30,205.00
802.13,194.00
803.96,196.00
805.79,184.00
807.61,213.00
809.44,232.00
811.26,167.00
813.08,190.00
814.91,156.00
816.73,267.00
818.55,203.00
820.36,175.00
822.18,165.00
824.00,182.00
825.81,165.00
827.63,180.00
829.44,161.00
831.26,204.00
833.07,206.00
834.88,203.00
836.69,182.00
838.50,222.00
840.30,165.00
842.11,183.00
843.92,166.00
845.72,199.00
847.53,158.00
849.33,173.00
851.13,156.00
852.93,197.00
854.73,163.00
856.53,133.00
858.33,146.00
860.13,146.00
861.92,196.00
863.72,205.00
865.51,177.00
867.30,145.00
