ENLIGHTEN Version,1.6.8
Measurement ID,20190228-161858-924000-unknown
Serial Number,unknown
Label,2019-02-28 16:23:20 BMSB Spectrum
Integration Time,100
Timestamp,2019-02-28 16:18:58.924000
Note,
Temperature,-99
CCD C0,783.9953003
CCD C1,0.281180382
CCD C2,1.69e-05
CCD C3,-2.37e-08
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
-16.32,7.30
-11.75,4.70
-7.18,6.10
-2.61,4.70
1.95,10.00
6.51,9.10
11.07,3.50
15.63,9.00
20.18,4.70
24.74,8.60
29.28,6.90
33.83,10.60
38.37,18.90
42.91,28.40
47.45,52.40
51.99,87.70
56.52,140.10
61.05,182.10
65.58,194.10
70.10,172.00
74.62,153.60
79.14,146.70
83.66,162.70
88.17,169.10
92.68,178.00
97.19,207.50
101.69,279.80
106.20,446.70
110.69,658.40
115.19,842.10
119.69,990.90
124.18,1053.10
128.67,954.40
133.15,752.10
137.63,623.00
142.12,630.40
146.59,716.20
151.07,760.40
155.54,766.10
160.01,759.00
164.48,772.80
168.94,785.20
173.40,807.60
177.86,848.40
182.32,945.30
186.77,1060.60
191.22,1139.40
195.67,1198.60
200.11,1266.80
204.56,1313.40
208.99,1278.00
213.43,1192.60
217.87,1123.50
222.30,1063.90
226.73,1032.70
231.15,994.90
235.58,959.80
240.00,916.10
244.41,892.00
248.83,871.20
253.24,872.30
257.65,910.80
262.06,944.20
266.46,990.40
270.86,988.40
275.26,999.10
279.66,1074.60
284.05,1316.10
288.44,1616.10
292.83,1822.40
297.21,1786.20
301.60,1614.80
305.98,1393.10
310.35,1185.60
314.73,987.90
319.10,834.50
323.47,692.50
327.83,608.80
332.20,535.80
336.56,502.60
340.92,475.90
345.27,473.80
349.62,464.70
353.97,467.50
358.32,483.30
362.66,515.60
367.01,623.90
371.35,945.50
375.68,1355.00
380.01,1295.70
384.35,918.10
388.67,682.70
393.00,576.90
397.32,525.20
401.64,504.00
405.96,483.10
410.27,454.10
414.58,419.80
418.89,385.40
423.20,359.30
427.50,333.40
431.80,314.80
436.10,297.10
440.40,297.00
444.69,329.70
448.98,475.00
453.27,1032.40
457.55,1379.20
461.84,834.30
466.11,429.80
470.39,330.80
474.67,341.40
478.94,366.70
483.20,330.50
487.47,293.10
491.73,276.00
495.99,271.00
500.25,266.00
504.51,266.70
508.76,265.70
513.01,298.10
517.26,352.50
521.50,328.50
525.74,290.70
529.98,297.60
534.22,306.40
538.45,259.50
542.68,224.40
546.91,220.90
551.13,223.90
555.35,251.40
559.57,363.70
563.79,723.00
568.01,940.90
572.22,595.80
576.43,324.40
580.63,241.50
584.84,224.60
589.04,225.00
593.24,226.10
597.43,236.00
601.62,245.60
605.81,242.30
610.00,232.80
614.19,225.40
618.37,221.90
622.55,229.80
626.73,251.50
630.90,308.40
635.07,547.90
639.24,1219.50
643.41,1847.70
647.57,1333.90
651.73,636.10
655.89,349.80
660.04,254.80
664.19,219.80
668.34,207.90
672.49,201.10
676.64,193.60
680.78,186.50
684.92,177.70
689.05,176.60
693.19,174.70
697.32,191.30
701.45,210.90
705.57,267.10
709.70,257.50
713.82,219.10
717.93,197.70
722.05,205.70
726.16,275.30
730.27,373.20
734.38,298.80
738.48,226.40
742.58,203.60
746.68,215.20
750.78,263.60
754.87,486.50
758.96,799.30
763.05,656.40
767.14,389.40
771.22,335.80
775.30,552.60
779.38,1226.80
783.45,1233.10
787.52,591.80
791.59,307.60
795.66,244.30
799.72,231.30
803.79,248.50
807.85,280.30
811.90,362.80
815.96,426.70
820.01,401.90
824.05,382.70
828.10,511.80
832.14,758.90
836.18,1041.40
840.22,1720.40
844.26,2074.40
848.29,1333.40
852.32,1188.60
856.34,1609.20
860.37,1523.70
864.39,1057.20
868.41,798.50
872.43,604.70
876.44,580.20
880.45,917.70
884.46,1094.70
888.46,781.10
892.47,472.90
896.47,328.10
900.47,280.80
904.46,270.00
908.45,269.70
912.44,270.90
916.43,270.40
920.41,264.60
924.40,273.80
928.38,288.10
932.35,309.40
936.33,345.00
940.30,440.60
944.27,700.40
948.23,1356.30
952.19,1761.90
956.16,1147.40
960.11,683.70
964.07,901.50
968.02,1895.70
971.97,2176.70
975.92,2143.00
979.86,2575.60
983.81,1612.30
987.75,820.90
991.68,659.50
995.62,554.00
999.55,435.30
1003.48,363.00
1007.40,336.80
1011.33,326.80
1015.25,320.80
1019.17,316.00
1023.08,329.10
1027.00,363.80
1030.91,437.80
1034.82,604.80
1038.72,852.80
1042.62,1148.50
1046.52,1904.20
1050.42,2626.30
1054.32,2164.60
1058.21,1407.30
1062.10,1100.00
1065.98,997.50
1069.87,823.30
1073.75,632.40
1077.63,537.40
1081.51,498.10
1085.38,497.40
1089.25,528.00
1093.12,621.10
1096.99,892.50
1100.85,1677.60
1104.71,2724.60
1108.57,2242.80
1112.42,1179.90
1116.28,731.60
1120.13,613.40
1123.97,587.00
1127.82,579.40
1131.66,584.50
1135.50,600.80
1139.34,629.40
1143.17,676.00
1147.01,762.40
1150.84,911.10
1154.66,1193.30
1158.49,1845.30
1162.31,2818.60
