ENLIGHTEN Version,1.6.8
Measurement ID,20190304-083733-457000-unknown
Serial Number,unknown
Label,2019-03-04 08:38:24 Benzene 10x10ms Spectrum
Integration Time,25
Timestamp,2019-03-04 08:37:33.457000
Note,
Temperature,-99
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
265.63,-1.00
267.83,3.50
270.02,3.00
272.22,3.60
274.41,4.60
276.60,3.60
278.80,5.90
280.99,5.20
283.18,11.00
285.37,9.50
287.55,5.50
289.74,12.30
291.93,15.90
294.11,17.70
296.30,17.60
298.48,20.50
300.66,20.80
302.84,22.70
305.02,15.70
307.20,22.80
309.38,26.90
311.56,21.40
313.74,19.80
315.91,21.40
318.09,20.10
320.26,18.10
322.43,22.50
324.61,25.30
326.78,26.40
328.95,25.20
331.12,24.00
333.28,23.20
335.45,23.10
337.62,21.40
339.78,24.50
341.95,23.00
344.11,30.80
346.27,24.20
348.43,24.90
350.59,29.20
352.75,29.80
354.91,29.20
357.07,30.00
359.23,30.70
361.38,29.10
363.54,31.80
365.69,40.50
367.84,37.60
370.00,42.60
372.15,42.40
374.30,42.20
376.45,49.20
378.59,50.10
380.74,53.00
382.89,52.90
385.03,64.50
387.18,64.20
389.32,72.50
391.46,79.80
393.60,83.30
395.74,92.50
397.88,97.20
400.02,94.00
402.16,98.70
404.29,94.80
406.43,94.80
408.57,83.00
410.70,76.60
412.83,74.50
414.96,71.60
417.09,69.20
419.22,60.30
421.35,56.60
423.48,54.40
425.61,54.10
427.73,53.50
429.86,43.00
431.98,48.00
434.11,47.30
436.23,40.50
438.35,48.40
440.47,44.70
442.59,33.20
444.71,32.30
446.82,40.40
448.94,36.70
451.05,36.40
453.17,34.30
455.28,31.60
457.39,34.10
459.51,34.20
461.62,30.80
463.73,31.90
465.83,31.50
467.94,34.00
470.05,30.50
472.15,29.40
474.26,27.80
476.36,32.50
478.47,33.50
480.57,27.30
482.67,27.80
484.77,27.10
486.87,24.10
488.97,28.30
491.06,24.80
493.16,26.00
495.25,24.80
497.35,26.80
499.44,27.40
501.53,24.40
503.62,25.90
505.71,23.20
507.80,30.70
509.89,25.30
511.98,29.90
514.07,22.50
516.15,30.60
518.24,28.80
520.32,28.00
522.40,32.00
524.48,26.20
526.56,29.20
528.64,28.90
530.72,30.60
532.80,25.30
534.88,30.00
536.95,32.80
539.03,35.30
541.10,38.90
543.17,30.90
545.24,39.90
547.32,37.70
549.39,40.00
551.45,42.80
553.52,45.20
555.59,45.30
557.66,52.90
559.72,55.00
561.78,57.70
563.85,57.20
565.91,61.50
567.97,66.30
570.03,72.10
572.09,75.20
574.15,82.50
576.21,94.90
578.26,99.30
580.32,110.80
582.37,127.70
584.42,146.70
586.48,162.30
588.53,196.90
590.58,239.00
592.63,307.30
594.68,406.70
596.72,560.20
598.77,805.00
600.82,1127.50
602.86,1466.90
604.90,1693.70
606.95,1777.90
608.99,1653.90
611.03,1380.20
613.07,1046.30
615.11,736.40
617.15,519.80
619.18,383.40
621.22,290.70
623.25,238.30
625.29,203.50
627.32,173.40
629.35,145.30
631.38,132.60
633.41,121.40
635.44,115.30
637.47,108.30
639.50,96.70
641.52,90.30
643.55,84.00
645.57,83.00
647.60,81.20
649.62,76.90
651.64,74.10
653.66,70.10
655.68,68.20
657.70,73.30
659.71,71.30
661.73,71.80
663.75,72.90
665.76,77.20
667.77,76.00
669.79,79.30
671.80,88.40
673.81,90.70
675.82,96.70
677.83,95.80
679.83,99.50
681.84,93.30
683.84,99.70
685.85,92.70
687.85,87.10
689.86,80.90
691.86,75.30
693.86,74.40
695.86,62.70
697.86,62.70
699.85,63.70
701.85,58.40
703.85,54.10
705.84,51.40
707.84,53.90
709.83,52.10
711.82,44.40
713.81,52.50
715.80,43.60
717.79,37.90
719.78,42.70
721.76,40.60
723.75,43.20
725.74,42.90
727.72,37.00
729.70,34.30
731.68,36.00
733.67,36.70
735.65,40.20
737.62,33.60
739.60,31.80
741.58,35.40
743.56,40.00
745.53,30.40
747.51,28.70
749.48,29.10
751.45,28.60
753.42,34.90
755.39,30.20
757.36,29.70
759.33,33.00
761.30,39.60
763.26,35.00
765.23,33.90
767.19,33.60
769.16,33.80
771.12,37.10
773.08,35.50
775.04,39.90
777.00,39.10
778.96,41.30
780.92,40.10
782.87,50.60
784.83,53.70
786.78,48.50
788.74,57.30
790.69,73.40
792.64,87.10
794.59,107.40
796.54,126.70
798.49,150.00
800.44,166.30
802.38,158.70
804.33,150.40
806.27,140.60
808.22,123.90
810.16,108.10
812.10,88.50
814.04,87.90
815.98,80.40
817.92,78.20
819.86,77.90
821.80,87.90
823.73,86.70
825.67,100.50
827.60,105.10
829.53,112.50
831.47,123.00
833.40,134.80
835.33,146.90
837.26,173.10
839.18,190.20
841.11,226.70
843.04,268.50
844.96,299.00
846.89,319.50
848.81,339.40
850.73,331.00
852.65,300.40
854.57,274.40
856.49,226.10
858.41,192.40
860.33,152.50
862.24,126.90
864.16,118.70
866.07,97.70
867.99,90.60
869.90,74.80
871.81,70.80
873.72,72.00
875.63,65.50
877.54,65.50
879.44,58.30
881.35,61.70
883.26,59.10
885.16,53.80
887.06,55.80
888.97,56.20
890.87,54.00
892.77,53.00
894.67,59.20
896.57,56.00
898.46,56.90
900.36,57.60
902.26,55.30
904.15,56.90
906.04,62.20
907.94,57.90
909.83,57.40
911.72,66.10
913.61,61.80
915.50,68.40
917.38,69.10
919.27,71.90
921.16,67.00
923.04,71.00
924.92,75.00
926.81,80.80
928.69,83.30
930.57,81.20
932.45,89.70
934.33,89.30
936.20,98.20
938.08,101.20
939.96,105.50
941.83,112.70
943.71,119.60
945.58,127.80
947.45,136.40
949.32,139.40
951.19,149.80
953.06,166.30
954.93,180.40
956.79,209.20
958.66,230.10
960.52,264.50
962.39,302.80
964.25,355.00
966.11,422.00
967.97,529.30
969.83,687.50
971.69,937.10
973.55,1304.60
975.41,1862.20
977.26,2545.30
979.12,3409.70
980.97,4395.50
982.82,6150.00
984.68,9990.90
986.53,16747.80
988.38,24332.80
990.23,29988.30
992.07,32148.50
993.92,30173.30
995.77,24124.80
997.61,16233.40
999.46,9517.70
1001.30,5355.90
1003.14,3175.20
1004.98,2015.90
1006.82,1375.00
1008.66,1001.80
1010.50,756.60
1012.34,584.20
1014.17,457.50
1016.01,386.60
1017.84,335.90
1019.68,307.90
1021.51,267.20
1023.34,254.20
1025.17,242.40
1027.00,229.70
1028.83,218.10
1030.65,210.20
1032.48,200.50
1034.31,193.80
1036.13,180.60
1037.95,169.90
1039.77,159.90
1041.60,148.90
1043.42,142.10
1045.24,135.00
1047.05,126.30
1048.87,126.00
1050.69,121.20
1052.50,120.00
1054.32,111.20
1056.13,111.10
1057.94,112.20
1059.75,106.90
1061.56,105.20
1063.37,103.10
1065.18,108.80
1066.99,98.30
1068.80,104.40
1070.60,113.90
1072.41,108.80
1074.21,115.30
1076.01,118.10
1077.81,114.20
1079.61,117.30
1081.41,117.10
1083.21,109.30
1085.01,111.00
1086.81,105.40
1088.60,101.70
1090.40,91.40
1092.19,91.90
1093.98,84.80
1095.77,91.10
1097.56,85.90
1099.35,84.00
1101.14,79.10
1102.93,81.90
1104.72,77.30
1106.50,83.70
1108.29,83.50
1110.07,86.20
1111.85,90.90
1113.63,92.20
1115.41,91.70
1117.19,93.20
1118.97,91.00
1120.75,104.00
1122.53,108.90
1124.30,110.70
1126.08,118.40
1127.85,126.70
1129.62,134.30
1131.39,143.40
1133.17,159.00
1134.93,172.20
1136.70,185.70
1138.47,204.80
1140.24,226.50
1142.00,237.50
1143.77,255.80
1145.53,276.30
1147.29,298.20
1149.06,313.30
1150.82,331.90
1152.58,354.00
1154.34,386.40
1156.09,422.10
1157.85,458.00
1159.61,526.40
1161.36,599.50
1163.11,721.50
1164.87,888.40
1166.62,1100.90
1168.37,1375.20
1170.12,1710.90
1171.87,2067.80
1173.62,2362.40
1175.36,2553.10
1177.11,2587.20
1178.85,2479.00
1180.60,2229.80
1182.34,1884.80
1184.08,1559.60
1185.82,1253.90
1187.56,1001.00
1189.30,795.40
1191.04,652.30
1192.78,540.60
1194.51,460.70
1196.25,394.50
1197.98,343.90
1199.71,303.50
1201.45,270.50
1203.18,244.40
1204.91,224.10
1206.64,204.10
1208.36,191.40
1210.09,184.20
1211.82,172.40
1213.54,168.00
1215.27,161.10
1216.99,144.10
1218.71,132.40
1220.43,117.00
1222.15,108.80
1223.87,97.80
1225.59,95.10
1227.31,87.30
1229.02,83.40
1230.74,77.80
1232.45,71.30
1234.16,74.00
1235.88,70.70
1237.59,66.90
1239.30,62.50
1241.01,59.40
1242.71,57.80
1244.42,54.90
1246.13,50.10
1247.83,47.70
1249.54,51.00
1251.24,40.10
1252.94,42.40
1254.64,41.90
1256.34,38.10
1258.04,45.50
1259.74,38.80
1261.44,27.90
1263.13,38.60
1264.83,31.40
1266.52,29.70
1268.22,26.80
1269.91,34.40
1271.60,25.10
1273.29,30.10
1274.98,32.70
1276.67,28.40
1278.35,28.50
1280.04,34.90
1281.73,25.10
1283.41,26.70
1285.09,22.70
1286.78,25.70
1288.46,31.80
1290.14,25.50
1291.82,25.70
1293.49,29.50
1295.17,33.80
1296.85,31.10
1298.52,29.60
1300.20,29.90
1301.87,31.00
1303.54,28.90
1305.21,36.40
1306.88,35.80
1308.55,39.20
1310.22,37.40
1311.89,35.20
1313.56,42.30
1315.22,34.40
1316.89,28.00
1318.55,36.70
1320.21,35.20
1321.87,25.60
1323.53,27.10
1325.19,21.40
1326.85,36.90
1328.51,34.80
1330.16,36.40
1331.82,27.40
1333.47,32.00
1335.13,33.10
1336.78,27.10
1338.43,30.70
1340.08,35.50
1341.73,26.50
1343.38,37.50
1345.03,33.90
1346.67,32.80
1348.32,30.90
1349.96,37.70
1351.61,48.20
1353.25,45.50
1354.89,38.40
1356.53,45.80
1358.17,46.00
1359.81,48.00
1361.45,50.20
1363.08,47.60
1364.72,52.10
1366.35,54.90
1367.99,58.20
1369.62,52.90
1371.25,59.90
1372.88,41.00
1374.51,46.50
1376.14,46.70
1377.77,42.20
1379.39,30.20
1381.02,31.30
1382.64,35.60
1384.27,32.50
1385.89,29.50
1387.51,33.00
1389.13,36.80
1390.75,43.80
1392.37,42.30
1393.99,41.80
1395.60,55.50
1397.22,62.40
1398.83,80.80
1400.45,103.00
1402.06,121.10
1403.67,136.80
1405.28,144.80
1406.89,132.00
1408.50,113.70
1410.11,104.50
1411.71,73.80
1413.32,61.80
1414.92,54.00
1416.53,41.30
1418.13,36.30
1419.73,27.60
1421.33,30.30
1422.93,30.90
1424.53,30.50
1426.13,30.60
1427.72,33.20
1429.32,37.50
1430.91,36.10
1432.51,33.10
1434.10,39.90
1435.69,31.40
1437.28,38.50
1438.87,24.50
1440.46,36.10
1442.05,41.30
1443.64,35.90
1445.22,32.40
1446.81,36.90
1448.39,38.60
1449.97,36.90
1451.55,35.70
1453.14,35.70
1454.72,34.90
1456.29,38.50
1457.87,40.70
1459.45,39.60
1461.02,42.60
