ENLIGHTEN Version,1.6.8
Measurement ID,20190304-193649-405000-unknown
Serial Number,unknown
Label,2019-03-04 19:43:25 Caffeine 1x500ms Spectrum
Integration Time,200
Timestamp,2019-03-04 19:36:49.405000
Note,
Temperature,-99
CCD C0,535.4879760742188
CCD C1,0.12055999785661697
CCD C2,-1.2115999652451137e-06
CCD C3,-8.375500293311688e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
122.44,5756.00
126.64,5771.00
130.84,5813.00
135.04,5802.00
139.24,5820.00
143.43,5836.00
147.63,5843.00
151.82,5851.00
156.01,5889.00
160.20,5891.00
164.38,5986.00
168.57,5963.00
172.75,5999.00
176.93,6012.00
181.10,6020.00
185.28,6003.00
189.45,6018.00
193.63,6034.00
197.80,6092.00
201.96,6168.00
206.13,6138.00
210.29,6137.00
214.45,6165.00
218.61,6179.00
222.77,6178.00
226.93,6183.00
231.08,6263.00
235.23,6272.00
239.38,6255.00
243.53,6317.00
247.68,6293.00
251.82,6361.00
255.96,6346.00
260.10,6354.00
264.24,6380.00
268.38,6411.00
272.51,6409.00
276.64,6436.00
280.77,6464.00
284.90,6424.00
289.03,6460.00
293.15,6483.00
297.27,6506.00
301.39,6536.00
305.51,6527.00
309.63,6535.00
313.74,6586.00
317.85,6576.00
321.96,6616.00
326.07,6646.00
330.18,6616.00
334.28,6678.00
338.38,6694.00
342.48,6762.00
346.58,6791.00
350.68,6778.00
354.77,6787.00
358.86,6808.00
362.95,6838.00
367.04,6866.00
371.13,6897.00
375.21,6914.00
379.30,7007.00
383.38,6982.00
387.45,7015.00
391.53,7024.00
395.60,7093.00
399.68,7036.00
403.75,7138.00
407.81,7132.00
411.88,7168.00
415.94,7191.00
420.01,7228.00
424.07,7280.00
428.13,7295.00
432.18,7337.00
436.24,7385.00
440.29,7404.00
444.34,7413.00
448.39,7467.00
452.43,7459.00
456.48,7524.00
460.52,7527.00
464.56,7612.00
468.60,7616.00
