ENLIGHTEN Version,1.6.8
Measurement ID,20190528-102552-900417-SIGD-0003
Serial Number,SIGD-0003
Label,Coconut Oil
Integration Time,50
Timestamp,2019-05-28 10:25:52.900417
Note,
Temperature,-99
CCD C0,613.8702392578125
CCD C1,0.10380711406469345
CCD C2,-1.9689399778144434e-05
CCD C3,3.600099995892947e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,633.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1952

Wavenumber,Processed
-492.30,0.00
-489.55,0.00
-486.79,0.00
-484.04,215.00
-481.30,-31.00
-478.55,275.00
-475.81,296.00
-473.06,491.00
-470.32,-444.00
-467.59,-902.00
-464.85,136.00
-462.12,57.00
-459.38,-533.00
-456.65,-385.00
-453.93,389.00
-451.20,-79.00
-448.48,-431.00
-445.75,-287.00
-443.03,403.00
-440.31,312.00
-437.60,52.00
-434.88,323.00
-432.17,-100.00
-429.46,160.00
-426.75,-371.00
-424.04,-221.00
-421.34,-71.00
-418.64,-48.00
-415.93,201.00
-413.24,193.00
-410.54,-463.00
-407.84,788.00
-405.15,-137.00
-402.46,1.00
-399.77,-154.00
-397.08,-125.00
-394.39,111.00
-391.71,41.00
-389.03,388.00
-386.35,463.00
-383.67,12.00
-380.99,225.00
-378.32,-145.00
-375.65,367.00
-372.98,-108.00
-370.31,310.00
-367.64,323.00
-364.98,152.00
-362.31,936.00
-359.65,-452.00
-356.99,104.00
-354.33,351.00
-351.68,-104.00
-349.03,183.00
-346.37,-415.00
-343.72,572.00
-341.08,234.00
-338.43,222.00
-335.78,601.00
-333.14,438.00
-330.50,125.00
-327.86,273.00
-325.23,-67.00
-322.59,439.00
-319.96,262.00
-317.33,185.00
-314.70,443.00
-312.07,-199.00
-309.44,221.00
-306.82,154.00
-304.20,-75.00
-301.57,80.00
-298.96,82.00
-296.34,120.00
-293.72,-348.00
-291.11,288.00
-288.50,309.00
-285.89,-293.00
-283.28,397.00
-280.68,316.00
-278.07,-822.00
-275.47,70.00
-272.87,180.00
-270.27,-50.00
-267.68,54.00
-265.08,-153.00
-262.49,275.00
-259.90,-308.00
-257.31,-423.00
-254.72,-101.00
-252.13,-633.00
-249.55,-33.00
-246.97,266.00
-244.39,496.00
-241.81,-223.00
-239.23,43.00
-236.65,-443.00
-234.08,382.00
-231.51,-206.00
-228.94,-359.00
-226.37,30.00
-223.81,-967.00
-221.24,-520.00
-218.68,-720.00
-216.12,458.00
-213.56,-87.00
-211.00,113.00
-208.45,-35.00
-205.89,119.00
-203.34,-296.00
-200.79,-723.00
-198.24,-71.00
-195.69,870.00
-193.15,-193.00
-190.61,-160.00
-188.06,163.00
-185.52,-4.00
-182.99,-32.00
-180.45,182.00
-177.92,17.00
-175.38,46.00
-172.85,-235.00
-170.32,354.00
-167.79,-146.00
-165.27,249.00
-162.74,-40.00
-160.22,441.00
-157.70,-378.00
-155.18,195.00
-152.66,-224.00
-150.15,454.00
-147.64,-143.00
-145.12,-496.00
-142.61,-184.00
-140.10,-155.00
-137.60,-357.00
-135.09,-62.00
-132.59,400.00
-130.09,161.00
-127.59,-243.00
-125.09,40.00
-122.59,-157.00
-120.10,60.00
-117.60,191.00
-115.11,-485.00
-112.62,-32.00
-110.13,309.00
-107.65,-289.00
-105.16,-25.00
-102.68,-535.00
-100.20,-61.00
-97.72,-607.00
-95.24,291.00
-92.76,-376.00
-90.29,160.00
-87.82,572.00
-85.35,-60.00
-82.88,158.00
-80.41,94.00
-77.94,396.00
-75.48,374.00
-73.01,253.00
