ENLIGHTEN Version,1.6.8
Measurement ID,20190528-092945-936479-WP-00169
Serial Number,WP-00169
Label,Cyclohexane
Integration Time,200
Timestamp,2019-05-28 09:29:45.936479
Note,
Temperature,-99
CCD C0,843.7628784179688
CCD C1,0.150859996676445
CCD C2,-7.925799764052499e-06
CCD C3,-8.2813995661013e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,830.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
196.52,13.00
198.64,48.00
200.76,44.00
202.87,46.00
204.99,40.00
207.10,63.00
209.22,74.00
211.33,59.00
213.44,51.00
215.55,70.00
217.66,82.00
219.77,84.00
221.88,83.00
223.99,89.00
226.09,110.00
228.20,114.00
230.30,114.00
232.40,84.00
234.51,104.00
236.61,139.00
238.71,104.00
240.80,125.00
242.90,85.00
245.00,100.00
247.10,133.00
249.19,102.00
251.28,91.00
253.38,78.00
255.47,102.00
257.56,88.00
259.65,78.00
261.74,63.00
263.83,71.00
265.92,92.00
268.00,72.00
270.09,78.00
272.17,56.00
274.25,55.00
276.34,53.00
278.42,47.00
280.50,54.00
282.58,44.00
284.65,65.00
286.73,63.00
288.81,43.00
290.88,50.00
292.96,61.00
295.03,65.00
297.10,39.00
299.18,44.00
301.25,47.00
303.32,42.00
305.38,36.00
307.45,38.00
309.52,40.00
311.58,40.00
313.65,52.00
315.71,40.00
317.77,47.00
319.84,40.00
321.90,72.00
323.96,44.00
326.01,44.00
328.07,33.00
330.13,59.00
332.18,42.00
334.24,58.00
336.29,59.00
338.35,42.00
340.40,93.00
342.45,61.00
344.50,67.00
346.55,64.00
348.59,107.00
350.64,87.00
352.69,106.00
354.73,124.00
356.78,135.00
358.82,173.00
360.86,177.00
362.90,192.00
364.94,236.00
366.98,310.00
369.02,363.00
371.06,471.00
373.09,599.00
375.13,784.00
377.16,1009.00
379.19,1221.00
381.23,1427.00
383.26,1503.00
385.29,1480.00
387.32,1303.00
389.34,1065.00
391.37,805.00
393.40,580.00
395.42,468.00
397.45,409.00
399.47,329.00
401.49,308.00
403.51,346.00
405.53,348.00
407.55,340.00
409.57,415.00
411.59,501.00
413.61,567.00
415.62,711.00
417.64,936.00
419.65,1214.00
421.66,1526.00
423.67,1876.00
425.68,2031.00
427.69,2056.00
429.70,1861.00
431.71,1541.00
433.71,1153.00
435.72,870.00
437.72,668.00
439.73,537.00
441.73,452.00
443.73,367.00
445.73,329.00
447.73,285.00
449.73,262.00
451.73,258.00
453.73,230.00
455.72,217.00
457.72,197.00
459.71,213.00
461.70,193.00
463.69,181.00
465.69,181.00
467.68,222.00
469.66,236.00
471.65,239.00
473.64,246.00
475.62,261.00
477.61,284.00
479.59,255.00
481.58,236.00
483.56,204.00
485.54,194.00
487.52,186.00
489.50,137.00
491.48,108.00
493.45,109.00
495.43,134.00
497.40,107.00
499.38,89.00
501.35,74.00
503.32,90.00
505.29,58.00
507.26,99.00
509.23,99.00
511.20,80.00
513.17,101.00
515.13,90.00
517.10,95.00
519.06,81.00
521.03,119.00
522.99,118.00
524.95,89.00
526.91,89.00
528.87,81.00
530.83,112.00
532.79,78.00
534.74,49.00
536.70,67.00
538.65,80.00
540.61,57.00
542.56,42.00
544.51,40.00
546.46,44.00
548.41,66.00
550.36,59.00
552.30,26.00
554.25,38.00
556.20,48.00
558.14,34.00
560.08,21.00
562.03,33.00
563.97,31.00
565.91,40.00
567.85,44.00
569.79,23.00
571.73,26.00
573.66,24.00
575.60,40.00
577.53,16.00
579.47,30.00
581.40,33.00
583.33,36.00
585.26,17.00
587.19,21.00
589.12,27.00
591.05,40.00
592.97,38.00
594.90,11.00
596.83,42.00
598.75,22.00
600.67,49.00
602.59,48.00
604.51,40.00
606.43,0.00
608.35,44.00
610.27,42.00
612.19,23.00
614.10,32.00
616.02,32.00
617.93,66.00
619.85,61.00
621.76,38.00
623.67,42.00
625.58,68.00
627.49,59.00
629.40,26.00
631.30,14.00
633.21,27.00
635.12,39.00
637.02,61.00
638.92,32.00
640.83,14.00
642.73,42.00
644.63,11.00
646.53,19.00
648.42,37.00
650.32,49.00
652.22,25.00
654.11,40.00
656.01,27.00
657.90,34.00
659.79,42.00
661.68,36.00
663.58,38.00
665.46,34.00
667.35,15.00
669.24,27.00
671.13,8.00
673.01,59.00
674.90,13.00
676.78,25.00
678.66,31.00
680.54,23.00
682.43,19.00
684.31,-7.00
686.18,21.00
688.06,29.00
689.94,17.00
691.81,17.00
693.69,33.00
695.56,13.00
697.43,25.00
699.31,32.00
701.18,7.00
703.05,34.00
704.92,25.00
706.78,36.00
708.65,35.00
710.52,33.00
712.38,53.00
714.25,51.00
716.11,27.00
717.97,62.00
719.83,62.00
721.69,61.00
723.55,61.00
725.41,71.00
727.27,84.00
729.12,88.00
730.98,85.00
732.83,92.00
734.68,68.00
736.54,83.00
738.39,127.00
740.24,97.00
742.09,104.00
743.93,143.00
745.78,145.00
747.63,148.00
749.47,190.00
751.32,198.00
753.16,238.00
755.00,236.00
756.84,260.00
758.68,297.00
760.52,316.00
762.36,357.00
764.20,400.00
766.04,432.00
767.87,447.00
769.71,523.00
771.54,540.00
773.37,597.00
775.20,694.00
777.03,782.00
778.86,871.00
780.69,1050.00
782.52,1206.00
784.35,1411.00
786.17,1613.00
788.00,1948.00
789.82,2406.00
791.64,3274.00
793.46,4895.00
795.28,8161.00
797.10,14762.00
798.92,24018.00
800.74,31216.00
802.56,34084.00
804.37,32987.00
806.19,27135.00
808.00,17553.00
809.82,9580.00
811.63,5041.00
813.44,2994.00
815.25,1988.00
817.06,1488.00
818.86,1154.00
820.67,955.00
822.48,801.00
824.28,686.00
826.09,611.00
827.89,547.00
829.69,502.00
831.49,443.00
833.29,384.00
835.09,388.00
836.89,333.00
838.69,341.00
840.48,299.00
842.28,319.00
844.07,282.00
845.87,305.00
847.66,342.00
849.45,299.00
851.24,327.00
853.03,335.00
854.82,318.00
856.61,301.00
858.39,272.00
860.18,257.00
861.96,218.00
863.75,213.00
865.53,179.00
867.31,173.00
869.09,159.00
870.87,150.00
872.65,148.00
874.43,141.00
876.20,148.00
877.98,129.00
879.75,131.00
881.53,128.00
883.30,144.00
885.07,133.00
886.84,118.00
888.61,129.00
890.38,143.00
892.15,140.00
893.91,145.00
895.68,129.00
897.44,127.00
899.21,166.00
900.97,152.00
902.73,160.00
904.49,129.00
906.25,180.00
908.01,154.00
909.77,130.00
911.53,146.00
913.28,132.00
915.04,118.00
916.79,116.00
918.55,109.00
920.30,116.00
922.05,88.00
923.80,97.00
925.55,112.00
927.30,61.00
929.05,92.00
930.79,99.00
932.54,84.00
934.28,76.00
936.02,83.00
937.77,73.00
939.51,78.00
941.25,88.00
942.99,78.00
944.73,75.00
946.46,63.00
948.20,73.00
949.94,76.00
951.67,80.00
953.40,85.00
955.14,72.00
956.87,82.00
958.60,82.00
960.33,95.00
962.06,74.00
963.78,135.00
965.51,110.00
967.24,124.00
968.96,142.00
970.69,148.00
972.41,145.00
974.13,167.00
975.85,181.00
977.57,200.00
979.29,223.00
981.01,232.00
982.73,235.00
984.44,299.00
986.16,312.00
987.87,352.00
989.58,376.00
991.30,373.00
993.01,447.00
994.72,489.00
996.43,540.00
998.13,620.00
999.84,668.00
1001.55,760.00
1003.25,843.00
1004.96,1004.00
1006.66,1139.00
1008.36,1305.00
1010.06,1520.00
1011.76,1686.00
1013.46,2017.00
1015.16,2409.00
1016.86,2964.00
1018.56,3624.00
1020.25,4427.00
1021.95,5469.00
1023.64,6616.00
1025.33,7816.00
1027.02,8707.00
1028.71,9226.00
1030.40,9269.00
1032.09,8697.00
1033.78,7780.00
1035.47,6704.00
1037.15,5572.00
1038.84,4537.00
1040.52,3721.00
1042.20,3042.00
1043.89,2551.00
1045.57,2169.00
1047.25,1908.00
1048.93,1681.00
1050.60,1433.00
1052.28,1252.00
1053.96,1149.00
1055.63,990.00
1057.31,940.00
1058.98,795.00
1060.65,738.00
1062.32,685.00
1063.99,620.00
1065.66,544.00
1067.33,519.00
1069.00,469.00
1070.66,451.00
1072.33,415.00
1073.99,354.00
1075.66,352.00
1077.32,340.00
1078.98,335.00
1080.64,298.00
1082.30,297.00
1083.96,266.00
1085.62,259.00
1087.27,272.00
1088.93,259.00
1090.58,249.00
1092.24,251.00
1093.89,246.00
1095.54,230.00
1097.19,218.00
1098.84,218.00
1100.49,232.00
1102.14,249.00
1103.79,241.00
1105.43,242.00
1107.08,240.00
1108.72,270.00
1110.36,233.00
1112.01,202.00
1113.65,223.00
1115.29,228.00
1116.93,209.00
1118.56,195.00
1120.20,224.00
1121.84,192.00
1123.47,182.00
1125.11,169.00
1126.74,175.00
1128.37,156.00
1130.00,219.00
1131.63,202.00
1133.26,196.00
1134.89,219.00
1136.52,223.00
1138.14,253.00
1139.77,262.00
1141.39,289.00
1143.02,303.00
1144.64,346.00
1146.26,377.00
1147.88,434.00
1149.50,550.00
1151.12,704.00
1152.74,980.00
1154.36,1368.00
1155.97,1813.00
1157.59,2040.00
1159.20,2165.00
1160.81,2085.00
1162.42,1717.00
1164.04,1320.00
1165.65,892.00
1167.25,633.00
1168.86,453.00
1170.47,346.00
1172.08,274.00
1173.68,240.00
1175.28,208.00
1176.89,185.00
1178.49,148.00
1180.09,150.00
1181.69,149.00
1183.29,135.00
1184.89,124.00
1186.49,114.00
1188.08,107.00
1189.68,105.00
1191.27,104.00
1192.87,101.00
1194.46,112.00
1196.05,99.00
1197.64,118.00
1199.23,116.00
1200.82,112.00
1202.41,131.00
1203.99,124.00
1205.58,132.00
