ENLIGHTEN Version,1.6.8
Measurement ID,20190305-164457-477000-unknown
Serial Number,unknown
Label,Dark
Integration Time,60
Timestamp,2019-03-05 16:44:57.477000
Note,
Temperature,-99
CCD C0,536.9515991210938
CCD C1,0.12007000297307968
CCD C2,-1.7113000012614066e-06
CCD C3,-8.254399830320835e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
173.34,515.60
177.50,516.30
181.67,516.10
185.82,516.80
189.98,515.00
194.14,518.50
198.29,515.60
202.44,514.70
206.59,516.70
210.74,520.50
214.89,520.20
219.03,521.20
223.17,517.60
227.31,517.10
231.45,519.10
235.58,517.70
239.72,519.70
243.85,519.30
247.98,516.60
252.11,515.10
256.23,515.80
260.36,519.70
264.48,517.30
268.60,519.60
272.72,519.60
276.83,517.10
280.95,517.90
285.06,518.10
289.17,518.90
293.28,516.60
297.38,521.40
301.49,523.30
305.59,518.50
309.69,518.80
313.79,521.10
317.88,520.00
321.98,521.70
326.07,520.70
330.16,518.50
334.25,520.80
338.33,520.50
342.42,518.80
346.50,518.70
350.58,519.80
354.66,521.80
358.73,520.50
362.81,520.40
366.88,519.30
370.95,521.20
375.02,521.20
379.08,520.60
383.15,521.50
387.21,521.40
391.27,523.40
395.33,522.50
399.38,520.70
403.44,521.00
407.49,518.60
411.54,521.60
415.59,524.10
419.63,524.00
423.68,524.60
427.72,523.20
431.76,521.20
435.80,520.10
439.84,520.00
443.87,524.40
447.90,523.00
451.93,526.20
455.96,524.40
459.99,524.80
464.01,523.70
468.03,523.60
472.05,523.60
476.07,523.90
480.09,524.20
484.10,525.90
488.11,525.50
492.12,524.70
496.13,525.60
500.14,526.30
504.14,527.80
508.14,527.80
512.14,526.80
516.14,523.20
520.14,526.60
524.13,525.30
528.12,527.30
532.11,530.80
536.10,527.90
540.09,526.70
544.07,525.20
548.06,532.20
552.04,532.20
556.01,527.10
559.99,527.40
563.96,526.40
567.94,527.40
571.91,528.90
575.87,528.30
579.84,528.90
583.80,529.20
587.77,528.90
591.73,528.50
595.69,527.90
599.64,529.00
603.60,527.60
607.55,529.30
611.50,526.60
615.45,529.60
619.39,528.60
623.34,526.90
627.28,525.30
631.22,529.90
635.16,529.10
639.09,531.00
643.03,535.20
646.96,529.00
650.89,533.00
654.82,530.70
658.74,525.80
662.67,530.80
666.59,532.90
670.51,532.00
674.43,534.90
678.34,533.50
682.26,527.50
686.17,529.30
690.08,530.40
693.99,534.70
697.89,537.70
701.80,533.10
705.70,527.80
709.60,527.80
713.50,532.60
717.39,535.50
721.29,537.10
725.18,532.90
729.07,534.00
732.96,532.80
736.84,534.80
740.72,537.10
744.61,537.10
748.49,536.90
752.36,534.30
756.24,533.90
760.11,533.20
763.99,535.60
767.86,537.60
771.72,535.60
775.59,534.30
779.45,534.00
783.31,533.70
787.17,535.00
791.03,537.30
794.89,538.50
798.74,536.90
802.59,536.40
806.44,537.00
810.29,535.90
814.14,532.60
817.98,534.40
821.82,537.70
825.66,537.70
829.50,538.40
833.33,535.40
837.17,537.50
841.00,536.60
844.83,536.60
848.66,539.40
852.48,536.00
856.31,540.80
860.13,538.20
863.95,540.50
867.76,539.60
871.58,538.00
875.39,542.20
879.20,541.40
883.01,541.60
886.82,540.50
890.63,538.20
894.43,541.00
898.23,542.20
902.03,537.60
905.83,541.10
909.62,541.10
913.42,541.80
917.21,540.20
921.00,540.50
924.79,540.20
928.57,541.60
932.35,546.30
936.13,545.10
939.91,542.70
943.69,545.10
947.47,542.20
951.24,545.50
955.01,545.30
958.78,548.40
962.55,549.20
966.31,543.10
970.08,548.40
973.84,543.00
