ENLIGHTEN Version,1.6.8
Measurement ID,20190528-082044-743214-WP-00391
Serial Number,WP-00391
Label,Ethanol
Integration Time,500
Timestamp,2019-05-28 08:20:44.743214
Note,
Temperature,-99
CCD C0,789.0726928710938
CCD C1,0.16069164872169495
CCD C2,5.064120159659069e-06
CCD C3,-4.444800083547307e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,2048

Wavenumber,Processed
65.75,190.00
68.33,253.00
70.91,220.00
73.49,195.00
76.07,222.00
78.64,228.00
81.22,229.00
83.79,239.00
86.37,224.00
88.94,245.00
91.51,237.00
94.09,254.00
96.66,243.00
99.23,253.00
101.79,258.00
104.36,224.00
106.93,302.00
109.50,268.00
112.06,298.00
114.63,275.00
117.19,281.00
119.75,308.00
122.31,285.00
124.87,328.00
127.43,291.00
129.99,332.00
132.55,321.00
135.11,327.00
137.66,346.00
140.22,310.00
142.78,345.00
145.33,321.00
147.88,357.00
150.43,376.00
152.98,338.00
155.53,358.00
158.08,359.00
160.63,389.00
163.18,383.00
165.73,376.00
168.27,404.00
170.82,391.00
173.36,404.00
175.90,406.00
178.45,396.00
180.99,437.00
183.53,395.00
186.07,461.00
188.61,439.00
191.14,437.00
193.68,439.00
196.22,450.00
198.75,481.00
201.29,406.00
203.82,467.00
206.35,459.00
208.88,491.00
211.41,437.00
213.94,462.00
216.47,439.00
219.00,448.00
221.53,435.00
224.05,431.00
226.58,399.00
229.10,448.00
231.63,397.00
234.15,426.00
236.67,391.00
239.19,410.00
241.71,410.00
244.23,389.00
246.75,397.00
249.27,403.00
251.78,391.00
254.30,378.00
256.81,412.00
259.33,412.00
261.84,378.00
264.35,392.00
266.86,395.00
269.38,397.00
271.88,373.00
274.39,378.00
276.90,360.00
279.41,329.00
281.91,319.00
284.42,342.00
286.92,328.00
289.43,280.00
291.93,248.00
294.43,279.00
296.93,212.00
299.43,197.00
301.93,180.00
304.43,182.00
306.92,176.00
309.42,135.00
311.91,150.00
314.41,156.00
316.90,144.00
319.39,142.00
321.89,119.00
324.38,127.00
326.87,87.00
329.36,138.00
331.84,114.00
334.33,118.00
336.82,101.00
339.30,88.00
341.79,112.00
344.27,108.00
346.75,133.00
349.24,100.00
351.72,113.00
354.20,144.00
356.68,127.00
359.16,132.00
361.63,114.00
364.11,127.00
366.59,120.00
369.06,125.00
371.53,156.00
374.01,167.00
376.48,167.00
378.95,161.00
381.42,184.00
383.89,203.00
386.36,209.00
388.83,229.00
391.29,224.00
393.76,283.00
396.23,289.00
398.69,355.00
401.15,392.00
403.62,404.00
