ENLIGHTEN Version,1.6.8
Measurement ID,20190304-083733-457000-unknown
Serial Number,unknown
Label,2019-03-04 08:43:30 Fructose 10x300ms Spectrum
Integration Time,25
Timestamp,2019-03-04 08:37:33.457000
Note,
Temperature,-99
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
265.63,86.40
267.83,137.10
270.02,190.40
272.22,256.20
274.41,362.80
276.60,490.40
278.80,646.10
280.99,844.20
283.18,1090.40
285.37,1263.90
287.55,1459.50
289.74,1590.70
291.93,1682.00
294.11,1734.60
296.30,1790.20
298.48,1852.50
300.66,1959.60
302.84,2134.40
305.02,2256.40
307.20,2366.20
309.38,2391.90
311.56,2388.10
313.74,2320.80
315.91,2257.00
318.09,2166.40
320.26,2157.00
322.43,2149.30
324.61,2151.00
326.78,2186.70
328.95,2262.60
331.12,2338.80
333.28,2446.70
335.45,2574.40
337.62,2735.80
339.78,2813.10
341.95,2798.50
344.11,2712.40
346.27,2551.30
348.43,2380.00
350.59,2273.30
352.75,2131.80
354.91,2100.80
357.07,2087.10
359.23,2072.90
361.38,2125.00
363.54,2122.00
365.69,2154.30
367.84,2206.80
370.00,2301.00
372.15,2365.80
374.30,2455.00
376.45,2596.80
378.59,2712.00
380.74,2878.80
382.89,3121.80
385.03,3357.90
387.18,3635.10
389.32,3925.80
391.46,4223.50
393.60,4461.10
395.74,4726.60
397.88,4933.40
400.02,5103.30
402.16,5239.00
404.29,5392.90
406.43,5712.30
408.57,6306.70
410.70,7228.60
412.83,8374.10
414.96,9461.40
417.09,10324.80
419.22,10841.70
421.35,11017.20
423.48,10677.30
425.61,10014.90
427.73,9093.10
429.86,7972.70
431.98,6790.50
434.11,5657.40
436.23,4773.40
438.35,4103.30
440.47,3703.10
442.59,3454.00
444.71,3360.10
446.82,3446.30
448.94,3672.00
451.05,4182.50
453.17,4952.90
455.28,5943.20
457.39,6979.00
459.51,7916.00
461.62,8556.60
463.73,8932.20
465.83,8806.50
467.94,8266.40
470.05,7391.80
472.15,6375.10
474.26,5306.10
476.36,4316.10
478.47,3561.20
480.57,3080.70
482.67,2756.60
484.77,2591.90
486.87,2512.90
488.97,2442.70
491.06,2429.10
493.16,2437.30
495.25,2460.30
497.35,2515.20
499.44,2611.70
501.53,2736.10
503.62,2915.50
505.71,3207.70
507.80,3624.30
509.89,4187.40
511.98,5025.00
514.07,6181.80
516.15,7664.00
518.24,9274.50
520.32,10768.40
522.40,11783.00
524.48,11969.60
526.56,11502.60
528.64,10352.40
530.72,8915.90
532.80,7536.00
534.88,6394.50
536.95,5556.30
539.03,4997.80
541.10,4608.10
543.17,4337.40
545.24,4104.70
547.32,3930.70
549.39,3799.30
551.45,3730.50
553.52,3633.60
555.59,3576.10
557.66,3560.60
559.72,3527.00
561.78,3501.90
563.85,3558.40
565.91,3546.80
567.97,3632.10
570.03,3703.50
572.09,3855.20
574.15,4063.80
576.21,4341.40
578.26,4759.90
580.32,5339.10
582.37,6183.30
584.42,7203.70
586.48,8452.50
588.53,9695.20
590.58,10624.30
592.63,11180.00
594.68,11057.90
596.72,10421.20
598.77,9353.20
600.82,8212.60
602.86,7247.30
604.90,6561.50
606.95,6232.90
608.99,6330.30
611.03,7058.90
613.07,8499.80
615.11,11124.20
617.15,14954.70
619.18,19702.80
621.22,24334.60
623.25,27679.60
625.29,29093.90
627.32,28067.90
629.35,25037.30
631.38,20995.80
633.41,16811.50
635.44,13649.60
637.47,10487.00
639.50,8464.00
641.52,7075.30
643.55,6135.10
645.57,5460.30
647.60,4954.40
649.62,4627.00
651.64,4338.60
653.66,4145.50
655.68,4023.20
657.70,3892.40
659.71,3752.10
661.73,3691.20
663.75,3619.10
665.76,3577.00
667.77,3532.30
669.79,3499.80
671.80,3468.80
673.81,3443.90
675.82,3442.40
677.83,3424.60
679.83,3414.30
681.84,3394.70
683.84,3382.70
685.85,3360.00
687.85,3328.00
689.86,3286.20
691.86,3248.50
693.86,3221.80
695.86,3184.80
697.86,3124.00
699.85,3083.70
701.85,3016.30
703.85,2927.50
705.84,2882.20
707.84,2817.60
709.83,2769.00
711.82,2714.00
713.81,2673.30
715.80,2595.00
717.79,2561.90
719.78,2524.20
721.76,2480.10
723.75,2412.40
725.74,2385.60
727.72,2386.50
729.70,2338.20
731.68,2333.00
733.67,2328.00
735.65,2316.80
737.62,2287.60
739.60,2310.90
741.58,2281.00
743.56,2301.20
745.53,2297.90
747.51,2303.80
749.48,2332.60
751.45,2333.50
753.42,2363.70
755.39,2392.00
757.36,2420.90
759.33,2475.40
761.30,2529.50
763.26,2617.10
765.23,2760.50
767.19,2913.10
769.16,3180.50
771.12,3442.90
773.08,3776.80
775.04,4104.90
777.00,4381.60
778.96,4538.60
780.92,4562.50
782.87,4560.50
784.83,4349.00
786.78,4159.10
788.74,3917.40
790.69,3702.90
792.64,3585.50
794.59,3517.00
796.54,3554.00
798.49,3653.10
800.44,3876.20
802.38,4407.80
804.33,4940.00
806.27,6009.70
808.22,7713.20
810.16,10228.00
812.10,13459.50
814.04,16580.70
815.98,18909.80
817.92,19469.90
819.86,18411.20
821.80,15783.00
823.73,12499.50
825.67,9490.00
827.60,7103.50
829.53,5532.90
831.47,4580.40
833.40,4050.90
835.33,3520.90
837.26,3221.70
839.18,3059.70
841.11,2922.80
843.04,2881.00
844.96,2875.20
846.89,2892.70
848.81,2969.80
850.73,3119.60
852.65,3363.20
854.57,3730.60
856.49,4289.30
858.41,5182.70
860.33,6477.70
862.24,8228.90
864.16,10747.40
866.07,13640.20
867.99,16686.00
869.90,18934.30
871.81,19630.30
873.72,18608.80
875.63,16063.20
877.54,12660.10
879.44,9279.90
881.35,6655.50
883.26,4895.60
885.16,3856.30
887.06,3236.90
888.97,2848.30
890.87,2617.80
892.77,2437.80
894.67,2323.60
896.57,2258.20
898.46,2202.00
900.36,2128.10
902.26,2141.80
904.15,2157.70
906.04,2201.40
907.94,2269.40
909.83,2363.00
911.72,2595.40
913.61,2975.20
915.50,3592.10
917.38,4668.40
919.27,6043.80
921.16,7471.20
923.04,8513.90
924.92,8856.60
926.81,8346.50
928.69,7202.20
930.57,5758.20
932.45,4362.40
934.33,3396.40
936.20,2778.00
938.08,2444.10
939.96,2236.90
941.83,2129.50
943.71,2078.40
945.58,2023.10
947.45,2017.60
949.32,1999.50
951.19,1997.40
953.06,2008.10
954.93,2056.00
956.79,2089.40
958.66,2143.40
960.52,2281.70
962.39,2469.80
964.25,2765.20
966.11,3310.60
967.97,4252.00
969.83,5698.10
971.69,7599.40
973.55,9515.20
975.41,11143.70
977.26,11764.80
979.12,11387.80
980.97,10007.50
982.82,8164.60
984.68,6276.70
986.53,4727.30
988.38,3670.80
990.23,3021.10
992.07,2670.80
993.92,2436.60
995.77,2340.20
997.61,2240.40
999.46,2205.30
1001.30,2184.80
1003.14,2163.60
1004.98,2164.80
1006.82,2165.20
1008.66,2186.90
1010.50,2239.30
1012.34,2298.90
1014.17,2370.10
1016.01,2441.60
1017.84,2578.50
1019.68,2756.90
1021.51,2966.80
1023.34,3256.20
1025.17,3634.80
1027.00,4092.00
1028.83,4597.30
1030.65,5076.70
1032.48,5555.10
1034.31,5981.10
1036.13,6510.70
1037.95,7231.50
1039.77,8409.00
1041.60,9586.50
1043.42,10828.30
1045.24,11847.20
1047.05,12299.60
1048.87,12129.60
1050.69,11592.60
1052.50,11058.80
1054.32,10677.10
1056.13,10685.80
1057.94,10826.50
1059.75,10866.20
1061.56,10622.50
1063.37,10073.30
1065.18,9377.20
1066.99,8809.40
1068.80,8664.70
1070.60,9297.80
1072.41,10837.10
1074.21,13093.90
1076.01,15631.70
1077.81,17978.10
1079.61,19512.80
1081.41,20166.60
1083.21,19619.30
1085.01,18217.40
1086.81,16213.40
1088.60,13832.30
1090.40,11411.30
1092.19,9201.30
1093.98,7305.90
1095.77,5988.40
1097.56,5013.10
1099.35,4420.80
1101.14,4024.20
1102.93,3810.10
1104.72,3639.80
1106.50,3546.20
1108.29,3511.80
1110.07,3538.40
1111.85,3503.70
1113.63,3597.80
1115.41,3643.80
1117.19,3756.00
1118.97,3962.20
1120.75,4173.10
1122.53,4478.40
1124.30,4859.20
1126.08,5353.80
1127.85,5920.40
1129.62,6695.10
1131.39,7542.40
1133.17,8326.10
1134.93,9210.30
1136.70,9943.40
1138.47,10558.00
1140.24,10972.00
1142.00,10927.10
1143.77,10544.80
1145.53,9832.90
1147.29,8869.50
1149.06,7844.40
1150.82,7029.40
1152.58,6371.60
1154.34,5926.90
1156.09,5692.10
1157.85,5595.70
1159.61,5577.50
1161.36,5721.40
1163.11,6007.40
1164.87,6568.80
1166.62,7405.70
1168.37,8538.70
1170.12,9915.30
1171.87,11295.00
1173.62,12445.10
1175.36,13078.00
1177.11,13106.00
1178.85,12491.70
1180.60,11307.50
1182.34,9922.30
1184.08,8575.40
1185.82,7390.10
1187.56,6434.80
1189.30,5756.40
1191.04,5215.00
1192.78,4804.00
1194.51,4575.60
1196.25,4425.60
1197.98,4318.00
1199.71,4276.20
1201.45,4266.90
1203.18,4337.30
1204.91,4511.40
1206.64,4679.60
1208.36,4899.70
1210.09,5231.90
1211.82,5632.40
1213.54,6091.40
1215.27,6526.30
1216.99,6915.60
1218.71,7225.30
1220.43,7380.20
1222.15,7430.60
1223.87,7287.80
1225.59,7126.00
1227.31,6964.80
1229.02,6840.50
1230.74,6869.60
1232.45,7014.80
1234.16,7391.00
1235.88,7880.00
1237.59,8368.90
1239.30,9067.90
1241.01,9854.00
1242.71,10866.20
1244.42,11935.40
1246.13,12902.50
1247.83,13699.20
1249.54,14170.40
1251.24,14198.30
1252.94,14045.60
1254.64,14022.00
1256.34,14440.10
1258.04,15472.50
1259.74,17062.20
1261.44,18703.60
1263.13,19858.80
1264.83,20141.30
1266.52,19478.40
1268.22,17937.60
1269.91,16299.20
1271.60,14692.60
1273.29,13385.00
1274.98,12255.10
1276.67,11285.70
1278.35,10302.80
1280.04,9297.70
1281.73,8428.40
1283.41,7608.40
1285.09,7006.30
1286.78,6511.90
1288.46,6232.90
1290.14,6020.90
1291.82,5864.80
1293.49,5851.60
1295.17,5838.40
1296.85,5850.00
1298.52,5890.90
1300.20,5920.60
1301.87,5957.70
1303.54,6007.70
1305.21,6063.90
1306.88,6070.80
1308.55,6154.10
1310.22,6227.00
1311.89,6321.70
1313.56,6467.40
1315.22,6670.30
1316.89,6966.60
1318.55,7299.20
1320.21,7599.60
1321.87,7910.40
1323.53,8128.30
1325.19,8364.30
1326.85,8632.70
1328.51,8909.40
1330.16,9206.20
1331.82,9609.50
1333.47,9965.70
1335.13,10292.30
1336.78,10638.20
1338.43,10818.60
1340.08,10936.10
1341.73,10961.50
1343.38,10864.50
1345.03,10616.70
1346.67,10209.20
1348.32,9867.10
1349.96,9464.70
1351.61,8925.80
1353.25,8481.50
1354.89,8001.70
1356.53,7692.10
1358.17,7519.00
1359.81,7258.40
1361.45,7180.20
1363.08,7214.90
1364.72,7231.50
1366.35,7375.60
