ENLIGHTEN Version,1.6.8
Measurement ID,20190305-164457-477000-unknown
Serial Number,unknown
Label,2019-03-05 16:54:26 Glucose 100g/L 10x1s Spectrum
Integration Time,60
Timestamp,2019-03-05 16:44:57.477000
Note,
Temperature,-99
CCD C0,536.9515991210938
CCD C1,0.12007000297307968
CCD C2,-1.7113000012614066e-06
CCD C3,-8.254399830320835e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
173.34,16002.60
177.50,16002.30
181.67,15985.10
185.82,15951.70
189.98,15938.00
194.14,15923.80
198.29,15919.40
202.44,15911.70
206.59,15871.40
210.74,15860.10
214.89,15833.20
219.03,15810.30
223.17,15787.00
227.31,15762.10
231.45,15732.50
235.58,15711.70
239.72,15691.40
243.85,15651.50
247.98,15652.20
252.11,15603.30
256.23,15567.70
260.36,15534.80
264.48,15527.00
268.60,15493.00
272.72,15448.00
276.83,15466.40
280.95,15416.30
285.06,15402.30
289.17,15357.40
293.28,15349.20
297.38,15347.40
301.49,15281.50
305.59,15256.80
309.69,15250.30
313.79,15213.70
317.88,15221.50
321.98,15227.70
326.07,15182.30
330.16,15180.70
334.25,15168.30
338.33,15126.90
342.42,15120.80
346.50,15103.50
350.58,15071.80
354.66,15052.10
358.73,15070.50
362.81,15043.60
366.88,15043.30
370.95,15015.70
375.02,15024.50
379.08,15010.50
383.15,15011.70
387.21,15028.70
391.27,15026.70
395.33,15031.80
399.38,15020.90
403.44,15016.10
407.49,15009.60
411.54,15001.20
415.59,15016.10
419.63,15019.80
423.68,15007.60
427.72,15037.40
431.76,14999.40
435.80,15003.20
439.84,15026.00
443.87,15024.50
447.90,14997.50
451.93,14984.70
455.96,14982.90
459.99,14953.90
464.01,14940.00
468.03,14899.00
472.05,14875.40
476.07,14816.00
480.09,14792.30
484.10,14746.30
488.11,14681.30
492.12,14629.00
496.13,14564.20
500.14,14486.00
504.14,14442.30
508.14,14330.40
512.14,14263.00
516.14,14152.20
520.14,14073.10
524.13,13969.30
528.12,13837.50
532.11,13728.10
536.10,13591.50
540.09,13463.80
544.07,13341.80
548.06,13184.30
552.04,13053.40
556.01,12894.10
559.99,12730.20
563.96,12564.20
567.94,12386.60
571.91,12222.30
575.87,12016.80
579.84,11798.60
583.80,11620.60
587.77,11424.50
591.73,11244.10
595.69,11059.30
599.64,10850.00
603.60,10630.70
607.55,10456.70
611.50,10261.30
615.45,10061.20
619.39,9862.20
623.34,9686.30
627.28,9465.80
631.22,9294.20
635.16,9109.30
639.09,8934.60
643.03,8720.50
646.96,8538.70
650.89,8361.30
654.82,8201.90
658.74,8011.10
662.67,7840.60
666.59,7668.20
670.51,7501.60
674.43,7331.00
678.34,7163.40
682.26,7014.60
686.17,6853.80
690.08,6693.20
693.99,6535.70
697.89,6382.70
701.80,6231.70
705.70,6086.20
709.60,5929.10
713.50,5811.50
717.39,5666.70
721.29,5529.70
725.18,5388.30
729.07,5254.00
732.96,5124.20
736.84,4976.70
740.72,4878.40
744.61,4745.10
748.49,4648.60
752.36,4524.80
756.24,4401.60
760.11,4296.30
763.99,4199.20
767.86,4069.40
771.72,3987.00
775.59,3890.20
779.45,3790.90
783.31,3704.00
787.17,3610.00
791.03,3521.60
794.89,3440.70
798.74,3349.30
802.59,3277.30
806.44,3231.10
810.29,3154.70
814.14,3089.80
817.98,3027.50
821.82,2975.20
825.66,2921.90
829.50,2875.90
833.33,2846.20
837.17,2806.90
841.00,2771.60
844.83,2774.80
848.66,2769.60
852.48,2775.30
856.31,2793.60
860.13,2814.80
863.95,2865.20
867.76,2910.10
871.58,2959.50
875.39,2989.10
