ENLIGHTEN Version,1.6.8
Measurement ID,20190528-081904-837059-WP-00391
Serial Number,WP-00391
Label,Glucose 100g per L
Integration Time,1000
Timestamp,2019-05-28 08:19:04.837059
Note,
Temperature,-99
CCD C0,789.0726928710938
CCD C1,0.16069164872169495
CCD C2,5.064120159659069e-06
CCD C3,-4.444800083547307e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,2048

Wavenumber,Processed
65.75,192.00
68.33,196.00
70.91,186.00
73.49,192.00
76.07,207.00
78.64,228.00
81.22,211.00
83.79,205.00
86.37,226.00
88.94,234.00
91.51,224.00
94.09,279.00
96.66,294.00
99.23,288.00
101.79,323.00
104.36,328.00
106.93,425.00
109.50,405.00
112.06,405.00
114.63,469.00
117.19,493.00
119.75,513.00
122.31,533.00
124.87,579.00
127.43,604.00
129.99,685.00
132.55,723.00
135.11,767.00
137.66,816.00
140.22,874.00
142.78,927.00
145.33,982.00
147.88,1070.00
150.43,1107.00
152.98,1146.00
155.53,1236.00
158.08,1263.00
160.63,1394.00
163.18,1488.00
165.73,1522.00
168.27,1629.00
170.82,1697.00
173.36,1762.00
175.90,1794.00
178.45,1885.00
180.99,1950.00
183.53,1976.00
186.07,2032.00
188.61,2132.00
191.14,2174.00
193.68,2213.00
196.22,2198.00
198.75,2210.00
201.29,2258.00
203.82,2322.00
206.35,2286.00
208.88,2335.00
211.41,2352.00
213.94,2354.00
216.47,2343.00
219.00,2371.00
221.53,2315.00
224.05,2265.00
226.58,2217.00
229.10,2248.00
231.63,2202.00
234.15,2155.00
236.67,2157.00
239.19,2126.00
241.71,2062.00
244.23,2048.00
246.75,1950.00
249.27,1973.00
251.78,1863.00
254.30,1891.00
256.81,1764.00
259.33,1823.00
261.84,1747.00
264.35,1742.00
266.86,1707.00
269.38,1620.00
271.88,1623.00
274.39,1598.00
276.90,1549.00
279.41,1525.00
281.91,1494.00
284.42,1449.00
286.92,1466.00
289.43,1401.00
291.93,1376.00
294.43,1367.00
296.93,1352.00
299.43,1348.00
301.93,1274.00
304.43,1279.00
306.92,1263.00
309.42,1305.00
311.91,1255.00
314.41,1251.00
316.90,1262.00
319.39,1225.00
321.89,1247.00
324.38,1238.00
326.87,1262.00
329.36,1216.00
331.84,1275.00
334.33,1247.00
336.82,1274.00
339.30,1287.00
341.79,1312.00
344.27,1291.00
346.75,1341.00
349.24,1342.00
351.72,1370.00
354.20,1366.00
356.68,1361.00
359.16,1270.00
361.63,1274.00
364.11,1312.00
366.59,1243.00
369.06,1245.00
371.53,1280.00
374.01,1289.00
376.48,1297.00
378.95,1233.00
381.42,1300.00
383.89,1319.00
386.36,1306.00
388.83,1416.00
391.29,1451.00
393.76,1463.00
396.23,1547.00
398.69,1680.00
401.15,1691.00
403.62,1754.00
406.08,1784.00
408.54,1760.00
411.00,1782.00
413.46,1874.00
415.91,1944.00
418.37,2041.00
420.83,2125.00
423.28,2142.00
425.74,2060.00
428.19,1972.00
430.64,1873.00
433.10,1760.00
435.55,1751.00
438.00,1809.00
440.45,1807.00
442.90,1887.00
445.34,1925.00
447.79,1925.00
450.24,1863.00
452.68,1790.00
455.12,1697.00
457.57,1640.00
460.01,1536.00
462.45,1553.00
464.89,1408.00
467.33,1337.00
469.77,1313.00
472.21,1300.00
474.64,1289.00
477.08,1245.00
479.52,1316.00
481.95,1363.00
484.38,1394.00
486.82,1452.00
489.25,1534.00
491.68,1578.00
494.11,1650.00
496.54,1694.00
498.96,1674.00
501.39,1684.00
503.82,1726.00
