ENLIGHTEN Version,1.6.8
Measurement ID,20190304-193649-405000-unknown
Serial Number,unknown
Label,2019-03-04 19:54:30 Glucose Solution 1x5s Spectrum
Integration Time,200
Timestamp,2019-03-04 19:36:49.405000
Note,
Temperature,-99
CCD C0,535.4879760742188
CCD C1,0.12055999785661697
CCD C2,-1.2115999652451137e-06
CCD C3,-8.375500293311688e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
122.44,23082.00
126.64,23102.00
130.84,23021.00
135.04,23032.00
139.24,22980.00
143.43,22929.00
147.63,22942.00
151.82,22931.00
156.01,22784.00
160.20,22785.00
164.38,22713.00
168.57,22720.00
172.75,22628.00
176.93,22610.00
181.10,22528.00
185.28,22485.00
189.45,22470.00
193.63,22440.00
197.80,22362.00
201.96,22396.00
206.13,22344.00
210.29,22263.00
214.45,22208.00
218.61,22217.00
222.77,22168.00
226.93,22135.00
231.08,22075.00
235.23,22020.00
239.38,22005.00
243.53,21900.00
247.68,21969.00
251.82,21972.00
255.96,21942.00
260.10,21819.00
264.24,21824.00
268.38,21790.00
272.51,21760.00
276.64,21813.00
280.77,21865.00
284.90,21800.00
289.03,21813.00
293.15,21634.00
297.27,21771.00
301.39,21716.00
305.51,21629.00
309.63,21680.00
313.74,21653.00
317.85,21654.00
321.96,21694.00
326.07,21715.00
330.18,21684.00
334.28,21646.00
338.38,21646.00
342.48,21623.00
346.58,21622.00
350.68,21703.00
354.77,21615.00
358.86,21690.00
362.95,21635.00
367.04,21674.00
371.13,21551.00
375.21,21515.00
379.30,21628.00
383.38,21473.00
387.45,21500.00
391.53,21425.00
395.60,21412.00
399.68,21386.00
403.75,21336.00
407.81,21335.00
411.88,21160.00
415.94,21026.00
420.01,20971.00
424.07,20860.00
428.13,20765.00
432.18,20585.00
436.24,20564.00
440.29,20372.00
444.34,20287.00
448.39,20100.00
452.43,19852.00
456.48,19689.00
460.52,19573.00
464.56,19359.00
468.60,19151.00
