ENLIGHTEN Version,1.6.8
Measurement ID,20190528-091617-777242-WP-00382
Serial Number,WP-00382
Label,Isopropanol
Integration Time,500
Timestamp,2019-05-28 09:16:17.777242
Note,
Temperature,-99
CCD C0,798.9494018554688
CCD C1,0.3235599994659424
CCD C2,-4.676200114772655e-05
CCD C3,-1.6238999478446203e-08
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,830.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
-468.24,-4.00
-463.18,-9.00
-458.12,6.00
-453.06,0.00
-448.01,7.00
-442.97,-6.00
-437.93,-6.00
-432.90,-4.00
-427.87,-5.00
-422.85,8.00
-417.83,15.00
-412.82,2.00
-407.82,-8.00
-402.82,-6.00
-397.82,-6.00
-392.83,-12.00
-387.85,8.00
-382.87,6.00
-377.90,6.00
-372.93,-15.00
-367.97,0.00
-363.01,15.00
-358.06,6.00
-353.12,4.00
-348.18,0.00
-343.24,-4.00
-338.31,-8.00
-333.39,5.00
-328.47,2.00
-323.56,2.00
-318.65,6.00
-313.75,-4.00
-308.85,8.00
-303.96,5.00
-299.08,-1.00
-294.19,-6.00
-289.32,4.00
-284.45,-13.00
-279.58,4.00
-274.72,11.00
-269.87,12.00
-265.02,7.00
-260.18,-6.00
-255.34,-17.00
-250.51,-4.00
-245.68,11.00
-240.86,-8.00
-236.04,0.00
-231.23,-9.00
-226.42,-9.00
-221.62,6.00
-216.82,14.00
-212.03,-8.00
-207.25,2.00
-202.46,-5.00
-197.69,-14.00
-192.92,6.00
-188.15,11.00
-183.39,1.00
-178.64,11.00
-173.89,-5.00
-169.15,4.00
-164.41,4.00
-159.67,-3.00
-154.94,-4.00
-150.22,9.00
-145.50,6.00
-140.79,-11.00
-136.08,9.00
-131.38,-2.00
-126.68,2.00
-121.99,-9.00
-117.30,-5.00
-112.62,2.00
-107.94,2.00
-103.27,3.00
-98.60,10.00
-93.94,-2.00
-89.28,-2.00
-84.63,4.00
-79.98,5.00
-75.34,0.00
-70.70,-4.00
-66.07,4.00
-61.44,-14.00
-56.82,5.00
-52.20,-2.00
-47.59,2.00
-42.98,4.00
-38.38,-10.00
-33.78,3.00
-29.19,-9.00
-24.60,10.00
-20.02,8.00
-15.44,4.00
-10.87,0.00
-6.31,10.00
-1.74,15.00
2.81,0.00
7.37,6.00
11.91,0.00
16.46,4.00
20.99,-2.00
25.53,-4.00
30.05,7.00
34.58,5.00
39.09,12.00
43.61,-8.00
48.12,-2.00
52.62,0.00
57.12,10.00
61.61,0.00
66.10,6.00
70.58,8.00
75.06,0.00
79.54,2.00
84.01,13.00
88.47,2.00
92.93,0.00
97.38,9.00
101.83,-2.00
106.28,7.00
110.72,13.00
115.16,14.00
119.59,2.00
124.01,12.00
128.43,-8.00
132.85,7.00
137.26,14.00
141.67,0.00
146.07,-2.00
150.47,10.00
154.86,1.00
159.25,-8.00
163.63,4.00
168.01,15.00
172.38,-2.00
176.75,8.00
181.12,10.00
185.47,21.00
189.83,13.00
194.18,9.00
198.52,30.00
202.87,17.00
207.20,30.00
211.53,46.00
215.86,71.00
220.18,103.00
224.50,159.00
228.81,218.00
233.12,329.00
237.42,441.00
241.72,525.00
246.02,565.00
250.30,616.00
254.59,621.00
258.87,615.00
263.15,626.00
267.42,617.00
271.68,601.00
275.94,588.00
280.20,531.00
284.45,523.00
288.70,502.00
292.95,460.00
297.18,445.00
301.42,422.00
305.65,400.00
309.87,401.00
314.09,395.00
318.31,409.00
322.52,369.00
326.73,357.00
330.93,362.00
335.13,395.00
339.32,424.00
343.51,404.00
347.69,436.00
351.87,468.00
356.05,541.00
360.22,639.00
364.39,799.00
368.55,1068.00
372.71,1511.00
376.86,1925.00
381.01,1806.00
385.15,1377.00
389.29,1070.00
393.43,900.00
397.56,857.00
401.68,831.00
405.80,860.00
409.92,973.00
414.03,1071.00
418.14,1252.00
422.25,1513.00
426.35,1862.00
430.44,2194.00
434.53,2366.00
438.62,2338.00
442.70,2245.00
446.78,2036.00
450.85,1813.00
454.92,1560.00
458.98,1356.00
463.04,1215.00
467.10,1107.00
471.15,1016.00
475.20,1039.00
479.24,1141.00
483.28,1510.00
487.31,1988.00
491.34,2520.00
495.37,2616.00
499.39,2347.00
503.41,1839.00
507.42,1350.00
511.43,1056.00
515.43,814.00
519.43,662.00
523.42,567.00
527.42,468.00
531.40,445.00
535.38,358.00
539.36,398.00
543.34,360.00
547.31,303.00
551.27,310.00
555.23,293.00
559.19,299.00
563.14,298.00
567.09,308.00
571.03,278.00
574.97,240.00
578.91,238.00
582.84,281.00
586.77,287.00
590.69,283.00
594.61,224.00
598.52,225.00
602.43,226.00
606.34,258.00
610.24,240.00
614.14,219.00
618.03,230.00
621.92,248.00
625.80,229.00
629.68,242.00
633.56,229.00
637.43,236.00
641.30,221.00
645.17,215.00
649.03,199.00
652.88,227.00
656.73,205.00
660.58,215.00
664.42,183.00
668.26,223.00
672.10,200.00
675.93,201.00
679.76,217.00
683.58,167.00
687.40,223.00
691.21,204.00
695.02,203.00
698.83,228.00
702.63,215.00
706.43,205.00
710.22,227.00
714.02,245.00
717.80,199.00
721.58,257.00
725.36,269.00
729.13,247.00
732.90,283.00
736.67,269.00
740.43,251.00
744.19,291.00
747.94,342.00
751.69,341.00
755.44,346.00
759.18,375.00
762.92,392.00
766.65,430.00
770.38,457.00
774.11,474.00
777.83,520.00
781.55,575.00
785.26,655.00
788.97,782.00
792.67,880.00
796.38,1116.00
800.07,1471.00
803.77,1988.00
807.46,3053.00
811.14,5233.00
814.82,9810.00
818.50,18616.00
822.18,30382.00
825.85,33780.00
829.51,23615.00
833.17,11967.00
836.83,5973.00
840.49,3360.00
844.14,2286.00
847.78,1577.00
851.42,1220.00
855.06,1023.00
858.70,866.00
862.33,796.00
865.96,686.00
869.58,647.00
873.20,605.00
876.81,571.00
880.42,514.00
884.03,470.00
887.63,503.00
891.23,483.00
894.83,504.00
898.42,555.00
902.01,575.00
905.59,651.00
909.17,742.00
912.75,842.00
916.32,1031.00
919.89,1269.00
923.46,1510.00
927.02,1843.00
930.57,2208.00
934.13,2726.00
937.68,3428.00
941.22,4070.00
944.76,4391.00
948.30,4726.00
951.84,5416.00
955.37,6295.00
958.89,6502.00
962.42,5528.00
965.94,3961.00
969.45,2667.00
972.96,1784.00
976.47,1368.00
979.98,1054.00
983.48,889.00
986.97,713.00
990.46,665.00
993.95,550.00
997.44,504.00
1000.92,421.00
1004.40,434.00
1007.87,364.00
1011.34,312.00
1014.81,310.00
1018.27,341.00
1021.73,287.00
1025.19,244.00
1028.64,253.00
1032.09,241.00
1035.53,222.00
1038.97,272.00
1042.41,253.00
1045.84,270.00
1049.27,278.00
1052.70,285.00
1056.12,290.00
1059.54,291.00
1062.95,371.00
1066.36,373.00
1069.77,444.00
1073.17,442.00
1076.57,537.00
1079.97,608.00
1083.36,697.00
1086.75,829.00
1090.13,930.00
1093.52,1103.00
1096.89,1404.00
1100.27,1699.00
1103.64,2125.00
1107.01,2557.00
1110.37,3104.00
1113.73,3476.00
1117.09,3803.00
1120.44,3870.00
1123.79,3925.00
1127.13,4107.00
1130.47,4495.00
1133.81,4975.00
1137.15,5224.00
1140.48,4854.00
1143.80,4133.00
1147.13,3370.00
1150.45,2790.00
1153.77,2556.00
1157.08,2458.00
1160.39,2458.00
1163.69,2615.00
1167.00,2831.00
1170.29,2926.00
1173.59,2751.00
1176.88,2199.00
1180.17,1670.00
1183.45,1379.00
1186.73,1048.00
1190.01,894.00
1193.29,800.00
1196.56,693.00
1199.82,647.00
1203.09,561.00
1206.35,533.00
1209.60,493.00
1212.85,468.00
1216.10,430.00
1219.35,424.00
1222.59,405.00
1225.83,356.00
1229.06,371.00
1232.30,346.00
1235.52,352.00
1238.75,341.00
1241.97,339.00
1245.19,341.00
1248.40,360.00
1251.61,343.00
1254.82,341.00
1258.02,363.00
1261.22,407.00
1264.42,383.00
1267.61,443.00
1270.80,447.00
1273.99,475.00
1277.17,519.00
1280.35,566.00
1283.53,628.00
1286.70,707.00
1289.87,809.00
1293.03,892.00
