ENLIGHTEN Version,1.6.8
Measurement ID,20190528-110943-644255-WP-00357
Serial Number,WP-00357
Label,Linseed Oil
Integration Time,1
Timestamp,2019-05-28 11:09:43.644255
Note,
Temperature,-99
CCD C0,801.1829833984375
CCD C1,0.12474799901247025
CCD C2,-2.2862799596623518e-05
CCD C3,4.907460215974879e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1952

Wavenumber,Processed
257.31,0.00
259.25,0.00
261.19,0.00
263.13,11.00
265.07,182.00
267.01,446.00
268.95,276.00
270.88,-872.00
272.82,172.00
274.75,206.00
276.68,-30.00
278.61,235.00
280.54,465.00
282.46,934.00
284.39,-104.00
286.31,305.00
288.24,182.00
290.16,-110.00
292.08,-58.00
294.00,-171.00
295.92,756.00
297.83,544.00
299.75,-586.00
301.66,463.00
303.58,169.00
305.49,471.00
307.40,146.00
309.31,406.00
311.22,-8.00
313.12,-280.00
315.03,-62.00
316.93,411.00
318.83,-193.00
320.73,-9.00
322.63,622.00
324.53,302.00
326.43,911.00
328.33,1019.00
330.22,479.00
332.12,920.00
334.01,-89.00
335.90,-48.00
337.79,157.00
339.68,554.00
341.57,441.00
343.45,720.00
345.34,93.00
347.22,1026.00
349.10,374.00
350.98,1522.00
352.86,786.00
354.74,1372.00
356.62,904.00
358.50,1802.00
360.37,1946.00
362.24,2322.00
364.12,2462.00
365.99,3682.00
367.86,3734.00
369.73,5601.00
371.59,5556.00
373.46,7188.00
375.33,6634.00
377.19,9917.00
379.05,11572.00
380.91,14528.00
382.77,14641.00
384.63,18300.00
386.49,19929.00
388.35,24702.00
390.20,23529.00
392.06,29145.00
393.91,28470.00
395.76,32072.00
397.61,32812.00
399.46,34168.00
401.31,31110.00
403.15,35052.00
405.00,31951.00
406.84,34828.00
408.69,32792.00
410.53,34754.00
412.37,31084.00
414.21,34028.00
416.05,32184.00
417.88,32202.00
419.72,30713.00
421.55,33820.00
423.39,32632.00
425.22,34346.00
427.05,31853.00
428.88,34335.00
430.71,28383.00
432.54,33481.00
434.36,32100.00
436.19,33316.00
