ENLIGHTEN Version,1.6.8
Measurement ID,20190528-085203-481108-WP-00414
Serial Number,WP-00414
Label,MEK
Integration Time,1000
Timestamp,2019-05-28 08:52:03.481108
Note,
Temperature,-99
CCD C0,802.3497924804688
CCD C1,0.14086101949214935
CCD C2,-5.3832700359635055e-06
CCD C3,-8.582899724274284e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
275.46,8.00
277.65,9.00
279.84,12.00
282.02,15.00
284.21,4.00
286.39,21.00
288.57,18.00
290.76,17.00
292.94,11.00
295.12,26.00
297.30,8.00
299.47,15.00
301.65,25.00
303.83,32.00
306.00,38.00
308.18,32.00
310.35,48.00
312.52,51.00
314.70,47.00
316.87,58.00
319.04,73.00
321.20,97.00
323.37,131.00
325.54,160.00
327.71,169.00
329.87,200.00
332.03,258.00
334.20,288.00
336.36,334.00
338.52,391.00
340.68,420.00
342.84,486.00
345.00,530.00
347.16,562.00
349.31,545.00
351.47,594.00
353.62,576.00
355.78,634.00
357.93,624.00
360.08,623.00
362.23,625.00
364.38,636.00
366.53,746.00
368.68,700.00
370.83,680.00
372.97,723.00
375.12,729.00
377.26,788.00
379.41,752.00
381.55,809.00
383.69,856.00
385.83,881.00
387.97,993.00
390.11,1077.00
392.25,1154.00
394.39,1288.00
396.52,1492.00
398.66,1798.00
400.79,2147.00
402.92,2665.00
405.05,3357.00
407.19,4053.00
409.32,4460.00
411.45,4289.00
413.57,3706.00
415.70,2956.00
417.83,2310.00
419.95,1925.00
422.08,1558.00
424.20,1436.00
426.32,1248.00
428.44,1124.00
430.57,1053.00
432.69,962.00
434.80,920.00
436.92,862.00
439.04,847.00
441.15,820.00
443.27,786.00
445.38,778.00
447.50,769.00
449.61,777.00
451.72,784.00
453.83,807.00
455.94,784.00
458.05,786.00
460.16,824.00
462.26,849.00
464.37,860.00
466.47,867.00
468.57,917.00
470.68,970.00
472.78,951.00
474.88,1031.00
476.98,991.00
479.08,1012.00
481.18,953.00
483.27,928.00
485.37,948.00
487.46,874.00
489.56,868.00
491.65,900.00
493.74,769.00
495.83,837.00
497.92,817.00
500.01,883.00
502.10,883.00
504.19,917.00
506.28,928.00
508.36,1023.00
510.45,1092.00
512.53,1166.00
514.61,1321.00
516.69,1433.00
518.77,1557.00
520.85,1568.00
522.93,1488.00
525.01,1327.00
527.09,1194.00
529.16,1086.00
531.24,965.00
533.31,987.00
535.38,907.00
537.46,921.00
539.53,881.00
541.60,879.00
543.67,860.00
545.74,898.00
547.80,890.00
549.87,903.00
551.93,951.00
554.00,941.00
556.06,1001.00
558.12,1018.00
560.19,1080.00
562.25,1120.00
564.31,1188.00
566.36,1295.00
568.42,1362.00
570.48,1490.00
572.53,1634.00
574.59,1798.00
576.64,2010.00
578.70,2244.00
580.75,2650.00
582.80,3066.00
584.85,3710.00
586.90,4372.00
588.95,5101.00
590.99,5777.00
593.04,6037.00
595.08,5767.00
597.13,5010.00
599.17,4069.00
601.21,3285.00
603.25,2724.00
605.29,2166.00
607.33,1857.00
609.37,1534.00
611.41,1384.00
613.45,1187.00
615.48,1115.00
617.52,989.00
619.55,931.00
621.58,856.00
623.61,835.00
625.65,743.00
627.67,735.00
629.70,717.00
631.73,710.00
633.76,666.00
635.78,680.00
637.81,615.00
639.83,631.00
641.86,605.00
643.88,585.00
645.90,582.00
647.92,579.00
649.94,589.00
651.96,573.00
653.97,576.00
655.99,537.00
658.01,547.00
660.02,539.00
662.03,537.00
664.05,539.00
666.06,555.00
668.07,589.00
670.08,554.00
672.08,581.00
674.09,556.00
676.10,541.00
678.10,537.00
680.11,558.00
682.11,549.00
684.12,549.00
686.12,615.00
688.12,598.00
690.12,607.00
692.12,621.00
694.11,642.00
696.11,602.00
698.11,638.00
700.10,596.00
702.10,651.00
704.09,655.00
706.08,727.00
708.07,714.00
710.06,754.00
712.05,782.00
714.04,788.00
716.03,807.00
718.01,857.00
720.00,898.00
721.98,953.00
723.97,1014.00
725.95,1107.00
727.93,1176.00
729.91,1306.00
731.89,1443.00
733.87,1613.00
735.85,1847.00
737.82,2127.00
739.80,2441.00
741.77,2846.00
743.75,3322.00
745.72,4080.00
747.69,4970.00
749.66,6047.00
751.63,7301.00
753.60,8786.00
755.57,10303.00
757.53,12566.00
759.50,15712.00
761.46,19927.00
763.43,24141.00
765.39,25035.00
767.35,21956.00
769.31,16080.00
771.27,10840.00
773.23,7514.00
775.19,5371.00
777.15,4169.00
779.11,3350.00
781.06,2779.00
783.01,2384.00
784.97,2159.00
786.92,1908.00
788.87,1686.00
790.82,1556.00
792.77,1476.00
794.72,1355.00
796.67,1266.00
798.61,1199.00
800.56,1148.00
802.50,1091.00
804.45,999.00
806.39,950.00
808.33,920.00
810.27,923.00
812.21,901.00
814.15,839.00
816.09,812.00
818.02,793.00
819.96,795.00
821.89,791.00
823.83,749.00
825.76,742.00
827.69,750.00
829.62,693.00
831.55,708.00
833.48,662.00
835.41,658.00
837.34,615.00
839.26,640.00
841.19,628.00
843.11,625.00
845.03,590.00
846.96,636.00
848.88,611.00
850.80,598.00
852.72,579.00
854.63,615.00
856.55,567.00
858.47,589.00
860.38,565.00
862.30,534.00
864.21,568.00
866.12,600.00
868.03,572.00
869.94,554.00
871.85,573.00
873.76,570.00
875.67,585.00
877.58,577.00
879.48,548.00
881.39,588.00
883.29,587.00
885.19,545.00
887.09,602.00
888.99,586.00
890.89,600.00
892.79,623.00
894.69,569.00
