ENLIGHTEN Version,1.6.8
Measurement ID,20190528-081958-410142-WP-00391
Serial Number,WP-00391
Label,Methanol
Integration Time,1000
Timestamp,2019-05-28 08:19:58.410142
Note,
Temperature,-99
CCD C0,789.0726928710938
CCD C1,0.16069164872169495
CCD C2,5.064120159659069e-06
CCD C3,-4.444800083547307e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,2048

Wavenumber,Processed
65.75,433.00
68.33,393.00
70.91,416.00
73.49,414.00
76.07,429.00
78.64,469.00
81.22,446.00
83.79,490.00
86.37,461.00
88.94,545.00
91.51,497.00
94.09,553.00
96.66,588.00
99.23,590.00
101.79,706.00
104.36,617.00
106.93,742.00
109.50,769.00
112.06,705.00
114.63,825.00
117.19,808.00
119.75,877.00
122.31,888.00
124.87,941.00
127.43,993.00
129.99,962.00
132.55,1096.00
135.11,1080.00
137.66,1110.00
140.22,1118.00
142.78,1153.00
145.33,1179.00
147.88,1205.00
150.43,1247.00
152.98,1275.00
155.53,1279.00
158.08,1312.00
160.63,1322.00
163.18,1403.00
165.73,1391.00
168.27,1418.00
170.82,1467.00
173.36,1494.00
175.90,1517.00
178.45,1557.00
180.99,1591.00
183.53,1587.00
186.07,1625.00
188.61,1661.00
191.14,1688.00
193.68,1754.00
196.22,1693.00
198.75,1741.00
201.29,1743.00
203.82,1752.00
206.35,1821.00
208.88,1749.00
211.41,1866.00
213.94,1787.00
216.47,1811.00
219.00,1862.00
221.53,1760.00
224.05,1829.00
226.58,1740.00
229.10,1807.00
231.63,1743.00
234.15,1767.00
236.67,1745.00
239.19,1611.00
241.71,1701.00
244.23,1640.00
246.75,1640.00
249.27,1659.00
251.78,1542.00
254.30,1603.00
256.81,1477.00
259.33,1485.00
261.84,1447.00
264.35,1429.00
266.86,1414.00
269.38,1318.00
271.88,1316.00
274.39,1200.00
276.90,1251.00
279.41,1177.00
281.91,1160.00
284.42,1128.00
286.92,1052.00
289.43,1042.00
291.93,970.00
294.43,976.00
296.93,890.00
299.43,811.00
301.93,855.00
304.43,738.00
306.92,720.00
309.42,680.00
311.91,636.00
314.41,624.00
316.90,541.00
319.39,604.00
321.89,547.00
324.38,505.00
326.87,451.00
329.36,413.00
331.84,421.00
334.33,353.00
336.82,408.00
339.30,310.00
341.79,355.00
344.27,325.00
346.75,295.00
349.24,319.00
351.72,290.00
354.20,315.00
356.68,243.00
359.16,242.00
361.63,268.00
364.11,251.00
366.59,264.00
369.06,239.00
371.53,289.00
374.01,279.00
376.48,247.00
378.95,209.00
381.42,189.00
383.89,209.00
386.36,224.00
388.83,180.00
391.29,245.00
393.76,114.00
396.23,195.00
