ENLIGHTEN Version,1.6.8
Measurement ID,20190528-094030-594475-WP-00204
Serial Number,WP-00204
Label,Mineral Oil
Integration Time,2000
Timestamp,2019-05-28 09:40:30.594475
Note,
Temperature,-99
CCD C0,640.9744873046875
CCD C1,0.11524999886751175
CCD C2,-5.4810998335597105e-06
CCD C3,-6.335299840287689e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,633.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
196.54,1537.00
199.35,1550.00
202.15,1551.00
204.95,1552.00
207.75,1528.00
210.55,1551.00
213.35,1489.00
216.15,1491.00
218.94,1535.00
221.74,1493.00
224.53,1476.00
227.32,1454.00
230.11,1466.00
232.90,1463.00
235.69,1440.00
238.48,1478.00
241.26,1470.00
244.05,1459.00
246.83,1421.00
249.61,1416.00
252.39,1395.00
255.17,1375.00
257.95,1391.00
260.72,1379.00
263.50,1419.00
266.27,1415.00
269.05,1364.00
271.82,1385.00
274.59,1379.00
277.36,1379.00
280.12,1335.00
282.89,1355.00
285.66,1339.00
288.42,1339.00
291.18,1293.00
293.94,1263.00
296.70,1252.00
299.46,1296.00
302.22,1286.00
304.97,1263.00
307.73,1242.00
310.48,1251.00
313.23,1223.00
315.99,1187.00
318.73,1195.00
321.48,1177.00
324.23,1135.00
326.98,1149.00
329.72,1156.00
332.46,1134.00
335.21,1162.00
337.95,1152.00
340.69,1111.00
343.42,1105.00
346.16,1139.00
348.90,1079.00
351.63,1101.00
354.36,1056.00
357.10,1071.00
359.83,1114.00
362.55,1069.00
365.28,1031.00
368.01,1054.00
370.73,1031.00
373.46,1047.00
376.18,1029.00
378.90,982.00
381.62,1002.00
384.34,995.00
387.06,1006.00
389.78,1003.00
392.49,1002.00
395.20,961.00
397.92,943.00
400.63,949.00
403.34,985.00
406.05,961.00
408.75,947.00
411.46,928.00
414.16,909.00
416.87,922.00
419.57,926.00
422.27,901.00
424.97,866.00
427.67,875.00
430.37,860.00
433.06,851.00
435.76,871.00
438.45,913.00
441.14,927.00
443.83,877.00
446.52,865.00
449.21,852.00
451.90,892.00
454.58,856.00
457.27,833.00
459.95,862.00
462.63,879.00
465.31,835.00
467.99,816.00
470.67,788.00
473.35,816.00
476.02,786.00
478.70,845.00
481.37,861.00
484.04,801.00
486.71,789.00
489.38,820.00
492.05,828.00
494.71,803.00
497.38,778.00
500.04,767.00
502.70,785.00
505.37,765.00
508.03,769.00
510.68,747.00
513.34,809.00
516.00,725.00
518.65,741.00
521.31,769.00
523.96,738.00
526.61,717.00
529.26,757.00
531.91,698.00
534.55,719.00
537.20,671.00
539.84,662.00
542.49,681.00
545.13,647.00
547.77,683.00
550.41,675.00
553.05,698.00
555.68,652.00
558.32,645.00
560.95,643.00
563.59,650.00
566.22,664.00
568.85,632.00
571.48,624.00
574.11,634.00
576.73,645.00
579.36,597.00
581.98,586.00
584.61,584.00
587.23,615.00
589.85,613.00
592.47,635.00
595.08,589.00
597.70,599.00
600.31,584.00
602.93,576.00
605.54,605.00
608.15,586.00
610.76,597.00
613.37,562.00
615.98,588.00
618.58,542.00
621.19,588.00
623.79,562.00
626.39,523.00
629.00,546.00
631.59,540.00
634.19,577.00
636.79,565.00
639.39,546.00
641.98,563.00
644.57,523.00
647.17,540.00
649.76,576.00
652.35,537.00
654.93,554.00
657.52,560.00
660.11,498.00
662.69,536.00
665.27,525.00
667.85,536.00
670.43,551.00
673.01,527.00
675.59,567.00
678.17,552.00
680.74,523.00
683.32,556.00
685.89,561.00
688.46,554.00
691.03,552.00
693.60,578.00
696.17,571.00
698.73,605.00
701.30,605.00
703.86,590.00
706.43,606.00
708.99,613.00
711.55,596.00
714.10,629.00
716.66,637.00
719.22,689.00
721.77,700.00
724.33,664.00
726.88,689.00
729.43,711.00
731.98,702.00
734.53,712.00
737.07,732.00
739.62,734.00
742.16,755.00
744.71,761.00
747.25,776.00
749.79,780.00
752.33,825.00
754.87,801.00
757.40,823.00
759.94,843.00
762.47,852.00
765.01,864.00
767.54,873.00
770.07,886.00
772.60,883.00
775.12,877.00
777.65,863.00
780.18,828.00
782.70,818.00
785.22,849.00
787.74,877.00
790.26,871.00
792.78,910.00
795.30,911.00
797.82,886.00
800.33,902.00
802.84,934.00
805.36,959.00
807.87,944.00
810.38,953.00
812.89,959.00
815.39,953.00
817.90,1001.00
820.40,980.00
822.91,976.00
825.41,972.00
827.91,1039.00
830.41,1026.00
832.91,1004.00
835.40,1018.00
837.90,1010.00
840.39,1079.00
842.89,1039.00
845.38,1006.00
847.87,1036.00
850.36,956.00
852.85,947.00
855.33,968.00
857.82,974.00
860.30,1005.00
862.79,987.00
865.27,978.00
867.75,965.00
870.23,970.00
872.70,973.00
875.18,932.00
877.66,902.00
880.13,925.00
882.60,958.00
885.07,971.00
887.54,941.00
890.01,991.00
892.48,966.00
894.95,934.00
897.41,900.00
899.87,896.00
902.34,825.00
904.80,886.00
907.26,829.00
909.72,846.00
912.17,845.00
914.63,880.00
917.08,846.00
919.54,821.00
921.99,875.00
924.44,841.00
926.89,832.00
929.34,841.00
931.78,841.00
934.23,856.00
936.67,831.00
939.12,825.00
941.56,818.00
944.00,856.00
946.44,873.00
948.88,894.00
951.31,901.00
953.75,896.00
956.18,867.00
958.61,860.00
961.05,884.00
963.48,885.00
965.91,862.00
968.33,872.00
970.76,877.00
973.18,881.00
975.61,894.00
978.03,879.00
980.45,907.00
982.87,877.00
985.29,877.00
987.71,864.00
990.12,860.00
992.54,890.00
994.95,892.00
997.36,910.00
999.78,933.00
1002.19,944.00
1004.59,949.00
1007.00,932.00
1009.41,957.00
1011.81,991.00
1014.21,995.00
1016.62,1041.00
1019.02,1062.00
1021.42,1056.00
1023.82,1118.00
1026.21,1170.00
1028.61,1189.00
1031.00,1198.00
1033.39,1196.00
1035.79,1229.00
1038.18,1235.00
1040.57,1215.00
1042.95,1213.00
1045.34,1210.00
1047.73,1277.00
1050.11,1294.00
1052.49,1368.00
1054.87,1413.00
1057.25,1432.00
1059.63,1436.00
1062.01,1446.00
1064.39,1426.00
1066.76,1377.00
1069.14,1421.00
1071.51,1444.00
1073.88,1472.00
1076.25,1404.00
1078.62,1390.00
1080.99,1358.00
1083.35,1320.00
1085.72,1294.00
1088.08,1215.00
1090.44,1206.00
1092.80,1183.00
1095.16,1137.00
1097.52,1137.00
1099.88,1153.00
1102.24,1071.00
1104.59,1079.00
1106.94,1092.00
1109.30,1088.00
1111.65,1063.00
1114.00,1092.00
1116.34,1069.00
1118.69,1117.00
1121.04,1138.00
1123.38,1164.00
1125.72,1145.00
1128.07,1208.00
1130.41,1219.00
1132.75,1250.00
1135.08,1246.00
1137.42,1291.00
1139.76,1333.00
1142.09,1320.00
1144.42,1372.00
1146.76,1343.00
1149.09,1381.00
1151.41,1388.00
1153.74,1356.00
1156.07,1389.00
1158.39,1314.00
1160.72,1340.00
1163.04,1282.00
1165.36,1307.00
1167.68,1303.00
1170.00,1266.00
1172.32,1245.00
1174.63,1225.00
1176.95,1258.00
1179.26,1225.00
1181.58,1199.00
1183.89,1192.00
1186.20,1168.00
1188.51,1221.00
1190.81,1193.00
1193.12,1193.00
1195.42,1164.00
1197.73,1222.00
1200.03,1225.00
1202.33,1212.00
1204.63,1229.00
1206.93,1233.00
1209.23,1220.00
1211.52,1240.00
1213.82,1194.00
1216.11,1242.00
1218.40,1254.00
1220.69,1212.00
1222.98,1248.00
1225.27,1235.00
1227.56,1290.00
1229.84,1301.00
1232.13,1301.00
1234.41,1282.00
1236.69,1286.00
1238.97,1349.00
