ENLIGHTEN Version,1.6.8
Measurement ID,20190528-092959-866498-WP-00169
Serial Number,WP-00169
Label,Naphthalene
Integration Time,200
Timestamp,2019-05-28 09:29:59.866498
Note,
Temperature,-99
CCD C0,843.7628784179688
CCD C1,0.150859996676445
CCD C2,-7.925799764052499e-06
CCD C3,-8.2813995661013e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,830.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
196.52,380.00
198.64,453.00
200.76,479.00
202.87,510.00
204.99,549.00
207.10,594.00
209.22,622.00
211.33,618.00
213.44,612.00
215.55,635.00
217.66,655.00
219.77,649.00
221.88,669.00
223.99,647.00
226.09,671.00
228.20,664.00
230.30,679.00
232.40,662.00
234.51,645.00
236.61,664.00
238.71,664.00
240.80,677.00
242.90,652.00
245.00,660.00
247.10,643.00
249.19,639.00
251.28,662.00
253.38,639.00
255.47,633.00
257.56,635.00
259.65,615.00
261.74,586.00
263.83,602.00
265.92,611.00
268.00,597.00
270.09,582.00
272.17,577.00
274.25,563.00
276.34,580.00
278.42,572.00
280.50,550.00
282.58,559.00
284.65,577.00
286.73,565.00
288.81,555.00
290.88,558.00
292.96,586.00
295.03,602.00
297.10,548.00
299.18,567.00
301.25,578.00
303.32,584.00
305.38,563.00
307.45,577.00
309.52,553.00
311.58,576.00
313.65,579.00
315.71,573.00
317.77,557.00
319.84,555.00
321.90,616.00
323.96,580.00
326.01,592.00
328.07,573.00
330.13,611.00
332.18,582.00
334.24,598.00
336.29,598.00
338.35,565.00
340.40,593.00
342.45,575.00
344.50,594.00
346.55,574.00
348.59,571.00
350.64,595.00
352.69,591.00
354.73,586.00
356.78,601.00
358.82,618.00
360.86,628.00
362.90,624.00
364.94,668.00
366.98,717.00
369.02,728.00
371.06,747.00
373.09,761.00
375.13,759.00
377.16,782.00
379.19,789.00
381.23,906.00
383.26,1158.00
385.29,1570.00
387.32,2053.00
389.34,2517.00
391.37,2623.00
393.40,2372.00
395.42,1969.00
397.45,1433.00
399.47,970.00
401.49,763.00
403.51,679.00
405.53,664.00
407.55,656.00
409.57,685.00
411.59,655.00
413.61,664.00
415.62,664.00
417.64,679.00
419.65,634.00
421.66,672.00
423.67,676.00
425.68,641.00
427.69,639.00
429.70,653.00
431.71,626.00
433.71,648.00
435.72,594.00
437.72,638.00
439.73,603.00
441.73,622.00
443.73,582.00
445.73,582.00
447.73,614.00
449.73,607.00
451.73,597.00
453.73,609.00
455.72,613.00
457.72,593.00
459.71,683.00
461.70,798.00
463.69,851.00
465.69,889.00
467.68,897.00
469.66,837.00
471.65,747.00
473.64,680.00
475.62,641.00
477.61,617.00
479.59,605.00
481.58,598.00
483.56,584.00
485.54,603.00
487.52,603.00
489.50,608.00
491.48,587.00
493.45,637.00
495.43,666.00
497.40,696.00
499.38,783.00
501.35,1008.00
503.32,1693.00
505.29,3248.00
507.26,5410.00
509.23,8760.00
511.20,11599.00
513.17,12373.00
515.13,11234.00
517.10,9067.00
519.06,5613.00
521.03,2631.00
522.99,1320.00
524.95,880.00
526.91,728.00
528.87,654.00
530.83,668.00
532.79,596.00
534.74,592.00
536.70,590.00
538.65,588.00
540.61,569.00
542.56,578.00
544.51,570.00
546.46,580.00
548.41,620.00
550.36,607.00
552.30,582.00
554.25,591.00
556.20,586.00
558.14,561.00
560.08,568.00
562.03,565.00
563.97,546.00
565.91,590.00
567.85,581.00
569.79,513.00
571.73,532.00
573.66,538.00
575.60,546.00
577.53,554.00
579.47,538.00
581.40,531.00
583.33,565.00
585.26,529.00
587.19,555.00
589.12,516.00
591.05,537.00
592.97,524.00
594.90,528.00
596.83,535.00
598.75,540.00
600.67,519.00
602.59,577.00
604.51,525.00
606.43,472.00
608.35,531.00
610.27,559.00
612.19,510.00
614.10,518.00
616.02,519.00
617.93,574.00
619.85,560.00
621.76,519.00
623.67,518.00
625.58,521.00
627.49,552.00
629.40,515.00
631.30,502.00
633.21,497.00
635.12,546.00
637.02,560.00
638.92,532.00
640.83,520.00
642.73,535.00
644.63,542.00
646.53,511.00
648.42,506.00
650.32,536.00
652.22,548.00
654.11,550.00
656.01,535.00
657.90,554.00
659.79,544.00
661.68,552.00
663.58,533.00
665.46,553.00
667.35,517.00
669.24,582.00
671.13,552.00
673.01,556.00
674.90,540.00
676.78,544.00
678.66,567.00
680.54,538.00
682.43,544.00
684.31,559.00
686.18,548.00
688.06,561.00
689.94,556.00
691.81,555.00
693.69,584.00
695.56,561.00
697.43,556.00
699.31,575.00
701.18,557.00
703.05,567.00
