ENLIGHTEN Version,1.6.8
Measurement ID,20190528-080900-146090-WP-00341
Serial Number,WP-00341
Label,Sodium Perchlorate
Integration Time,200
Timestamp,2019-05-28 08:09:00.146090
Note,
Temperature,-99
CCD C0,801.1921997070312
CCD C1,0.14250999689102173
CCD C2,-6.432900136132957e-06
CCD C3,-8.346599855713066e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
257.45,0.00
259.67,4.00
261.89,2.00
264.11,17.00
266.33,-15.00
268.54,-10.00
270.76,-2.00
272.97,4.00
275.18,2.00
277.39,12.00
279.61,7.00
281.82,-9.00
284.02,-6.00
286.23,-2.00
288.44,-8.00
290.64,16.00
292.85,-2.00
295.05,21.00
297.26,21.00
299.46,29.00
301.66,40.00
303.86,57.00
306.06,66.00
308.25,78.00
310.45,99.00
312.65,107.00
314.84,116.00
317.04,144.00
319.23,152.00
321.42,160.00
323.61,180.00
325.80,167.00
327.99,168.00
330.18,184.00
332.36,192.00
334.55,177.00
336.73,196.00
338.92,208.00
341.10,194.00
343.28,171.00
345.46,224.00
347.64,183.00
349.82,215.00
352.00,179.00
354.18,217.00
356.35,202.00
358.53,223.00
360.70,215.00
362.88,192.00
365.05,213.00
367.22,201.00
369.39,223.00
371.56,206.00
373.72,211.00
375.89,220.00
378.06,222.00
380.22,219.00
382.39,217.00
384.55,222.00
386.71,214.00
388.87,236.00
391.03,225.00
393.19,213.00
395.35,241.00
397.51,234.00
399.66,217.00
401.82,213.00
403.97,209.00
406.12,253.00
408.28,227.00
410.43,255.00
412.58,248.00
414.73,211.00
416.87,228.00
419.02,245.00
421.17,245.00
423.31,232.00
425.46,246.00
427.60,238.00
429.74,276.00
431.88,238.00
434.02,251.00
436.16,266.00
438.30,270.00
440.44,327.00
442.57,318.00
444.71,430.00
446.84,542.00
448.97,925.00
451.11,1606.00
453.24,2737.00
455.37,4182.00
457.50,5718.00
459.62,7182.00
461.75,8028.00
463.88,7602.00
466.00,6451.00
468.12,4737.00
470.25,2960.00
472.37,1573.00
474.49,864.00
476.61,577.00
478.73,468.00
480.85,392.00
482.96,407.00
485.08,343.00
487.20,352.00
489.31,345.00
491.42,312.00
493.53,318.00
495.64,316.00
497.75,342.00
499.86,341.00
501.97,319.00
504.08,316.00
506.18,325.00
508.29,335.00
510.39,318.00
512.50,350.00
514.60,349.00
516.70,346.00
518.80,372.00
520.90,365.00
523.00,352.00
525.09,409.00
527.19,385.00
529.28,392.00
531.38,384.00
533.47,384.00
535.56,362.00
537.65,373.00
539.74,364.00
541.83,403.00
543.92,387.00
546.01,344.00
548.09,373.00
550.18,377.00
552.26,371.00
554.34,387.00
556.42,394.00
558.51,396.00
560.59,415.00
562.66,399.00
564.74,418.00
566.82,426.00
568.89,399.00
570.97,371.00
573.04,378.00
575.12,388.00
577.19,371.00
579.26,359.00
581.33,339.00
583.40,350.00
585.46,359.00
587.53,350.00
589.60,362.00
591.66,371.00
593.73,385.00
595.79,350.00
597.85,359.00
599.91,365.00
601.97,356.00
604.03,356.00
606.09,374.00
608.14,424.00
610.20,398.00
612.25,485.00
614.31,613.00
616.36,952.00
618.41,1463.00
620.46,2444.00
622.51,3598.00
624.56,4838.00
626.61,5903.00
628.65,6574.00
630.70,6565.00
632.74,6186.00
634.79,5401.00
636.83,4663.00
638.87,3927.00
640.91,3210.00
642.95,2416.00
644.99,1670.00
647.03,1067.00
649.06,605.00
651.10,390.00
653.13,287.00
655.17,248.00
657.20,239.00
659.23,219.00
661.26,213.00
663.29,205.00
665.32,205.00
667.35,234.00
669.37,202.00
671.40,223.00
673.42,234.00
675.45,236.00
677.47,234.00
679.49,215.00
681.51,245.00
683.53,207.00
685.55,244.00
687.57,236.00
689.58,236.00
691.60,242.00
693.61,213.00
695.62,270.00
697.64,230.00
699.65,257.00
701.66,253.00
703.67,267.00
705.68,241.00
707.68,268.00
709.69,249.00
711.69,238.00
713.70,255.00
715.70,260.00
717.70,246.00
719.70,251.00
721.71,261.00
723.70,249.00
725.70,232.00
727.70,266.00
729.70,272.00
731.69,234.00
733.68,242.00
735.68,269.00
737.67,262.00
739.66,210.00
741.65,244.00
743.64,217.00
745.63,238.00
747.61,238.00
749.60,211.00
751.59,234.00
753.57,226.00
755.55,207.00
757.53,194.00
759.52,225.00
761.50,227.00
763.47,194.00
765.45,200.00
767.43,239.00
769.41,216.00
771.38,190.00
773.35,231.00
775.33,218.00
777.30,203.00
779.27,190.00
781.24,188.00
783.21,170.00
785.18,194.00
787.14,209.00
789.11,222.00
791.07,192.00
793.04,196.00
795.00,211.00
796.96,205.00
798.92,206.00
800.88,221.00
802.84,198.00
804.80,192.00
806.75,204.00
808.71,217.00
810.67,213.00
812.62,236.00
814.57,217.00
816.52,203.00
818.47,207.00
820.42,211.00
822.37,198.00
824.32,207.00
826.27,215.00
828.21,194.00
830.16,190.00
832.10,205.00
834.04,219.00
