ENLIGHTEN Version,1.6.8
Measurement ID,20190528-093854-572303-WP-00204
Serial Number,WP-00204
Label,Sucrose
Integration Time,2000
Timestamp,2019-05-28 09:38:54.572303
Note,
Temperature,-99
CCD C0,640.9744873046875
CCD C1,0.11524999886751175
CCD C2,-5.4810998335597105e-06
CCD C3,-6.335299840287689e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,633.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
196.54,327.00
199.35,293.00
202.15,286.00
204.95,285.00
207.75,286.00
210.55,295.00
213.35,321.00
216.15,335.00
218.94,350.00
221.74,386.00
224.53,426.00
227.32,385.00
230.11,371.00
232.90,373.00
235.69,314.00
238.48,305.00
241.26,342.00
244.05,295.00
246.83,327.00
249.61,320.00
252.39,347.00
255.17,344.00
257.95,333.00
260.72,278.00
263.50,302.00
266.27,301.00
269.05,280.00
271.82,314.00
274.59,338.00
277.36,381.00
280.12,352.00
282.89,369.00
285.66,380.00
288.42,354.00
291.18,356.00
293.94,352.00
296.70,363.00
299.46,373.00
302.22,381.00
304.97,373.00
307.73,375.00
310.48,359.00
313.23,371.00
315.99,322.00
318.73,303.00
321.48,359.00
324.23,295.00
326.98,293.00
329.72,319.00
332.46,287.00
335.21,351.00
337.95,342.00
340.69,360.00
343.42,331.00
346.16,374.00
348.90,371.00
351.63,375.00
354.36,362.00
357.10,401.00
359.83,447.00
362.55,441.00
365.28,358.00
368.01,397.00
370.73,396.00
373.46,356.00
376.18,379.00
378.90,339.00
381.62,375.00
384.34,399.00
387.06,409.00
389.78,470.00
392.49,578.00
395.20,658.00
397.92,759.00
400.63,669.00
403.34,523.00
406.05,453.00
408.75,418.00
411.46,430.00
414.16,455.00
416.87,432.00
419.57,399.00
422.27,361.00
424.97,356.00
427.67,392.00
430.37,390.00
433.06,430.00
435.76,475.00
438.45,515.00
441.14,529.00
443.83,407.00
446.52,388.00
449.21,365.00
451.90,372.00
454.58,346.00
457.27,353.00
459.95,369.00
462.63,363.00
465.31,362.00
467.99,383.00
470.67,371.00
473.35,362.00
476.02,343.00
478.70,390.00
481.37,391.00
484.04,375.00
486.71,384.00
489.38,390.00
492.05,419.00
494.71,420.00
497.38,384.00
500.04,386.00
502.70,414.00
505.37,390.00
508.03,390.00
510.68,401.00
513.34,478.00
516.00,460.00
518.65,576.00
521.31,689.00
523.96,626.00
526.61,606.00
529.26,575.00
531.91,597.00
534.55,624.00
537.20,595.00
539.84,593.00
542.49,618.00
545.13,615.00
547.77,611.00
550.41,610.00
553.05,597.00
555.68,485.00
558.32,463.00
560.95,445.00
563.59,454.00
566.22,449.00
568.85,407.00
571.48,398.00
574.11,400.00
576.73,462.00
579.36,474.00
581.98,511.00
584.61,460.00
587.23,424.00
589.85,402.00
592.47,409.00
595.08,380.00
597.70,380.00
600.31,409.00
602.93,365.00
605.54,396.00
608.15,387.00
610.76,386.00
613.37,409.00
615.98,404.00
618.58,404.00
621.19,424.00
623.79,425.00
626.39,437.00
629.00,485.00
631.59,519.00
634.19,579.00
636.79,573.00
639.39,592.00
641.98,521.00
644.57,492.00
647.17,449.00
649.76,456.00
652.35,400.00
654.93,398.00
657.52,427.00
660.11,359.00
662.69,373.00
665.27,354.00
667.85,392.00
670.43,409.00
673.01,407.00
675.59,441.00
678.17,455.00
680.74,407.00
683.32,424.00
685.89,419.00
688.46,417.00
691.03,449.00
693.60,447.00
696.17,434.00
698.73,451.00
701.30,436.00
703.86,415.00
706.43,414.00
708.99,430.00
711.55,443.00
714.10,414.00
716.66,428.00
719.22,438.00
721.77,424.00
724.33,406.00
726.88,426.00
729.43,502.00
731.98,484.00
734.53,457.00
737.07,475.00
739.62,462.00
742.16,457.00
744.71,424.00
747.25,418.00
749.79,402.00
752.33,420.00
754.87,441.00
757.40,421.00
759.94,400.00
762.47,400.00
765.01,384.00
767.54,413.00
770.07,409.00
772.60,417.00
775.12,428.00
777.65,416.00
780.18,409.00
782.70,390.00
785.22,422.00
787.74,420.00
790.26,416.00
792.78,406.00
795.30,435.00
797.82,424.00
800.33,401.00
802.84,404.00
805.36,439.00
807.87,417.00
810.38,415.00
812.89,398.00
815.39,409.00
817.90,423.00
820.40,409.00
822.91,418.00
825.41,426.00
827.91,413.00
830.41,463.00
832.91,460.00
835.40,491.00
837.90,557.00
840.39,659.00
842.89,864.00
845.38,1053.00
847.87,981.00
850.36,692.00
852.85,569.00
855.33,521.00
