ENLIGHTEN Version,1.6.8
Measurement ID,20190228-161858-924000-unknown
Serial Number,unknown
Label,2019-02-28 16:29:12 Sugar Spectrum
Integration Time,100
Timestamp,2019-02-28 16:18:58.924000
Note,
Temperature,-99
CCD C0,783.9953003
CCD C1,0.281180382
CCD C2,1.69e-05
CCD C3,-2.37e-08
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
-16.32,29.00
-11.75,27.00
-7.18,23.50
-2.61,22.50
1.95,35.50
6.51,26.50
11.07,44.00
15.63,38.00
20.18,37.00
24.74,33.00
29.28,44.50
33.83,25.50
38.37,30.50
42.91,26.00
47.45,75.50
51.99,129.50
56.52,212.50
61.05,293.00
65.58,393.00
70.10,542.50
74.62,670.50
79.14,761.00
83.66,791.50
88.17,698.50
92.68,544.50
97.19,448.00
101.69,436.50
106.20,523.50
110.69,692.00
115.19,875.00
119.69,934.00
124.18,943.50
128.67,1048.00
133.15,1197.00
137.63,1375.00
142.12,1579.50
146.59,1760.50
151.07,1949.50
155.54,2339.00
160.01,2733.50
164.48,2948.50
168.94,3097.50
173.40,3360.00
177.86,3610.50
182.32,3827.50
186.77,4277.00
191.22,4916.00
195.67,5590.00
200.11,5899.50
204.56,5822.50
208.99,5821.50
213.43,6275.00
217.87,7065.50
222.30,8462.50
226.73,9982.50
231.15,10391.00
235.58,9829.50
240.00,8862.50
244.41,8068.00
248.83,8115.50
253.24,8728.50
257.65,8918.50
262.06,8507.00
266.46,7967.50
270.86,7731.50
275.26,8171.00
279.66,9340.50
284.05,10182.50
288.44,10206.50
292.83,10369.00
297.21,10655.00
301.60,10636.00
305.98,10812.00
310.35,11189.00
314.73,11252.00
319.10,10546.50
323.47,9416.00
327.83,8690.50
332.20,8457.00
336.56,8521.00
340.92,8841.00
345.27,9205.50
349.62,9259.00
353.97,9234.50
358.32,9668.50
362.66,10880.00
367.01,11284.50
371.35,10258.00
375.68,9227.50
380.01,8753.50
384.35,8867.00
388.67,9490.50
393.00,11415.00
397.32,16266.50
401.64,21938.00
405.96,20536.50
410.27,15089.00
414.58,12588.00
418.89,12121.00
423.20,10916.00
427.50,9641.50
431.80,9393.50
436.10,10584.00
440.40,12981.50
444.69,13918.00
448.98,11735.00
453.27,9444.50
457.55,8338.00
461.84,7928.50
466.11,7823.00
470.39,8007.50
474.67,8358.00
478.94,8376.50
483.20,8228.00
487.47,8523.50
491.73,9083.50
495.99,9767.50
500.25,9793.50
504.51,9219.00
508.76,8786.50
513.01,8866.50
517.26,10109.00
521.50,13776.50
525.74,17940.50
529.98,17664.00
534.22,16773.50
538.45,17303.00
542.68,17510.50
546.91,17766.00
551.13,18300.00
555.35,17611.00
559.57,14994.00
563.79,12022.50
568.01,10280.00
572.22,9627.00
576.43,9659.50
580.63,10701.50
584.84,11990.00
589.04,11189.50
593.24,9460.50
597.43,8457.50
601.62,8092.00
605.81,7898.50
610.00,7915.00
614.19,7935.00
618.37,8094.50
622.55,8357.00
626.73,8816.50
630.90,9695.50
635.07,11481.00
639.24,13774.00
643.41,14646.50
647.57,12890.00
651.73,10395.00
655.89,8764.00
660.04,7876.50
664.19,7394.50
668.34,7217.50
672.49,7160.00
676.64,7630.50
680.78,8052.00
684.92,7952.50
689.05,7746.00
693.19,7897.00
697.32,8156.50
701.45,8382.00
705.57,8334.00
709.70,8044.50
713.82,7791.50
717.93,7676.50
722.05,7570.00
726.16,7640.50
730.27,8004.00
734.38,8812.50
738.48,9602.50
742.58,9420.00
746.68,8674.50
750.78,8069.00
754.87,7515.00
758.96,7144.50
763.05,6907.50
767.14,6699.00
771.22,6566.00
775.30,6482.50
779.38,6375.00
783.45,6339.00
787.52,6290.00
791.59,6252.50
795.66,6238.50
799.72,6255.50
803.79,6243.00
807.85,6264.50
811.90,6317.50
815.96,6357.50
820.01,6428.00
824.05,6567.50
828.10,6805.00
832.14,7038.50
836.18,7714.50
840.22,9222.00
844.26,13347.00
848.29,22095.00
852.32,25874.00
856.34,18445.50
860.37,11749.00
864.39,9630.00
868.41,9954.50
872.43,10534.00
876.44,10408.00
880.45,9423.00
884.46,8040.00
888.46,7198.00
892.47,6941.00
896.47,6934.50
900.47,7175.00
904.46,8003.50
908.45,9857.50
912.44,11471.50
916.43,12090.50
920.41,12961.00
924.40,13388.50
928.38,11350.00
932.35,9016.00
936.33,8392.50
940.30,9247.50
944.27,10476.50
948.23,9676.00
952.19,7915.50
956.16,6914.50
960.11,6493.50
964.07,6307.50
968.02,6275.00
971.97,6314.00
975.92,6331.00
979.86,6419.50
983.81,6682.50
987.75,7219.50
991.68,7862.00
995.62,8070.00
999.55,7925.50
1003.48,8302.00
1007.40,9273.50
1011.33,10694.50
1015.25,11843.50
1019.17,11197.00
1023.08,9461.50
1027.00,8636.50
1030.91,9500.50
1034.82,13021.50
1038.72,17628.00
1042.62,17816.00
1046.52,15094.50
1050.42,13037.50
1054.32,12071.50
1058.21,11242.50
1062.10,10294.00
1065.98,10218.50
1069.87,10738.50
1073.75,11036.50
1077.63,11525.50
1081.51,12386.50
1085.38,13011.00
1089.25,13412.00
