ENLIGHTEN Version,1.6.8
Measurement ID,20190528-122101-698337-WP-00352
Serial Number,WP-00352
Label,Sulfur
Integration Time,20
Timestamp,2019-05-28 12:21:01.698337
Note,
Temperature,-99
CCD C0,537.1995239257812
CCD C1,0.11956000328063965
CCD C2,-1.4522999663313385e-05
CCD C3,-2.756999961661677e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
181.94,28.00
186.08,30.00
190.22,29.00
194.35,34.00
198.48,34.00
202.61,34.00
206.74,34.00
210.87,23.00
214.99,31.00
219.11,38.00
223.22,43.00
227.34,43.00
231.45,30.00
235.55,27.00
239.66,38.00
243.76,40.00
247.86,57.00
251.96,34.00
256.05,57.00
260.14,36.00
264.23,48.00
268.31,35.00
272.39,57.00
276.47,43.00
280.55,45.00
284.62,53.00
288.70,57.00
292.76,46.00
296.83,46.00
300.89,64.00
304.95,74.00
309.01,74.00
313.06,65.00
317.11,81.00
321.16,88.00
325.21,92.00
329.25,108.00
333.29,107.00
337.33,139.00
341.36,154.00
345.40,183.00
349.42,217.00
353.45,295.00
357.47,379.00
361.50,490.00
365.51,615.00
369.53,833.00
373.54,1145.00
377.55,1490.00
381.56,2031.00
385.56,2612.00
389.56,3373.00
393.56,4326.00
397.56,5188.00
401.55,6339.00
405.54,7366.00
409.53,8532.00
413.52,9662.00
417.50,10985.00
421.48,12282.00
425.45,13758.00
429.43,15269.00
433.40,16520.00
437.37,17384.00
441.33,17331.00
445.30,16522.00
449.26,15491.00
453.22,15814.00
457.17,18612.00
461.12,24649.00
465.07,33803.00
469.02,44199.00
472.96,52526.00
476.91,54301.00
480.84,48666.00
484.78,38172.00
488.71,26222.00
492.64,17212.00
496.57,13606.00
500.50,12200.00
504.42,11682.00
508.34,11460.00
512.26,11401.00
516.17,11169.00
520.08,11262.00
523.99,11287.00
527.90,11256.00
531.80,11317.00
535.70,11234.00
539.60,11164.00
543.50,11300.00
547.39,11443.00
551.28,11511.00
555.17,11435.00
559.05,11480.00
562.94,11546.00
566.81,11481.00
570.69,11452.00
574.57,11525.00
578.44,11589.00
582.31,11532.00
586.17,11689.00
590.04,11846.00
593.90,11941.00
597.76,12011.00
601.61,11994.00
605.46,12158.00
609.31,12103.00
613.16,12209.00
617.01,12367.00
620.85,12301.00
624.69,12348.00
628.53,12478.00
632.36,12458.00
636.19,12532.00
640.02,12670.00
643.85,12838.00
647.67,12755.00
651.49,12744.00
655.31,12982.00
659.13,13031.00
662.94,13141.00
666.75,13147.00
670.56,13268.00
674.37,13412.00
678.17,13389.00
681.97,13587.00
685.77,13624.00
689.56,13746.00
693.35,13832.00
697.14,13881.00
700.93,13912.00
704.72,13982.00
708.50,13925.00
712.28,13972.00
716.05,14110.00
719.83,14237.00
723.60,14271.00
727.37,14290.00
731.14,14496.00
734.90,14476.00
738.66,14403.00
742.42,14562.00
746.18,14566.00
749.93,14621.00
753.68,14737.00
757.43,14807.00
761.17,14875.00
764.92,14996.00
768.66,15116.00
772.40,14977.00
776.13,15112.00
779.86,15071.00
783.60,15213.00
787.32,15352.00
791.05,15381.00
794.77,15506.00
798.49,15613.00
802.21,15683.00
805.92,15887.00
809.64,15786.00
813.35,16057.00
817.05,16324.00
820.76,16514.00
824.46,16606.00
828.16,16651.00
831.86,16796.00
835.55,16845.00
839.24,16908.00
842.93,16951.00
846.62,17007.00
850.30,17230.00
853.98,17401.00
857.66,17471.00
861.34,17781.00
865.02,18057.00
868.69,18322.00
872.36,18485.00
876.02,18396.00
879.69,18369.00
883.35,18134.00
887.01,18047.00
890.66,17861.00
894.32,17700.00
897.97,17673.00
901.62,17525.00
905.26,17720.00
908.91,17652.00
912.55,17595.00
916.19,17601.00
919.83,17675.00
923.46,17659.00
927.09,17762.00
930.72,17920.00
934.35,17921.00
937.97,17951.00
941.59,17940.00
945.21,17977.00
948.83,17960.00
952.44,17971.00
956.05,18027.00
959.66,18027.00
963.27,18156.00
966.87,18188.00
970.47,18305.00
974.07,18239.00
977.67,18146.00
981.26,18313.00
984.85,18357.00
988.44,18519.00
992.03,18618.00
995.61,18754.00
999.19,18812.00
1002.77,18913.00
1006.35,18995.00
1009.92,18972.00
1013.50,19026.00
1017.07,19145.00
1020.63,19145.00
1024.20,19145.00
1027.76,19157.00
1031.32,19273.00
1034.87,19333.00
1038.43,19414.00
1041.98,19469.00
1045.53,19369.00
1049.08,19567.00
1052.62,19575.00
1056.16,19699.00
1059.70,19661.00
1063.24,19712.00
1066.78,19636.00
1070.31,19733.00
1073.84,19857.00
1077.37,19835.00
1080.89,19974.00
1084.42,20093.00
1087.94,20029.00
1091.45,20237.00
1094.97,20163.00
1098.48,20233.00
1101.99,20264.00
1105.50,20397.00
1109.01,20315.00
1112.51,20309.00
1116.01,20372.00
1119.51,20654.00
1123.00,20722.00
1126.50,20705.00
1129.99,20627.00
1133.48,20865.00
1136.96,20931.00
1140.45,20989.00
1143.93,21091.00
1147.41,21084.00
1150.89,21017.00
1154.36,21217.00
1157.83,21300.00
1161.30,21298.00
1164.77,21382.00
1168.23,21497.00
1171.70,21549.00
1175.16,21529.00
1178.61,21461.00
1182.07,21666.00
1185.52,21778.00
1188.97,21690.00
1192.42,21755.00
1195.87,21811.00
1199.31,21845.00
1202.75,21890.00
1206.19,21978.00
1209.62,22009.00
1213.06,22066.00
1216.49,22088.00
1219.92,22158.00
1223.34,22179.00
1226.77,22223.00
1230.19,22130.00
1233.61,22267.00
1237.03,22326.00
1240.44,22282.00
1243.85,22387.00
1247.26,22452.00
1250.67,22461.00
1254.08,22456.00
1257.48,22692.00
1260.88,22760.00
1264.28,22671.00
1267.67,22847.00
1271.07,22933.00
1274.46,22994.00
1277.85,23064.00
1281.23,23233.00
1284.62,23120.00
1288.00,23403.00
1291.38,23407.00
1294.76,23580.00
1298.13,23622.00
1301.50,23574.00
1304.87,23646.00
1308.24,23648.00
1311.61,23795.00
1314.97,23929.00
1318.33,23930.00
1321.69,23935.00
1325.04,23972.00
1328.40,23937.00
1331.75,24118.00
1335.10,24183.00
1338.44,24291.00
1341.79,24194.00
1345.13,24202.00
1348.47,24275.00
1351.81,24200.00
1355.14,24280.00
1358.48,24342.00
1361.81,24263.00
1365.13,24295.00
1368.46,24453.00
1371.78,24430.00
1375.11,24521.00
1378.42,24378.00
1381.74,24394.00
1385.06,24388.00
1388.37,24428.00
1391.68,24508.00
1394.98,24515.00
1398.29,24628.00
1401.59,24643.00
1404.89,24592.00
1408.19,24616.00
1411.49,24743.00
1414.78,24859.00
1418.07,24984.00
1421.36,24877.00
1424.65,24873.00
1427.93,24986.00
1431.21,25094.00
1434.49,24997.00
1437.77,25010.00
1441.05,24994.00
1444.32,25120.00
1447.59,25137.00
1450.86,25155.00
1454.12,25250.00
1457.39,25393.00
1460.65,25261.00
1463.91,25493.00
1467.17,25351.00
1470.42,25469.00
1473.67,25436.00
1476.92,25371.00
1480.17,25641.00
1483.42,25767.00
1486.66,25738.00
1489.90,25752.00
1493.14,25887.00
