ENLIGHTEN Version,1.6.8
Measurement ID,20190528-111043-567347-WP-00357
Serial Number,WP-00357
Label,Sulfur out of focus
Integration Time,1
Timestamp,2019-05-28 11:10:43.567347
Note,
Temperature,-99
CCD C0,801.1829833984375
CCD C1,0.12474799901247025
CCD C2,-2.2862799596623518e-05
CCD C3,4.907460215974879e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1952

Wavenumber,Processed
257.31,0.00
259.25,0.00
261.19,0.00
263.13,-74.00
265.07,-464.00
267.01,70.00
268.95,98.00
270.88,-27.00
272.82,-270.00
274.75,-113.00
276.68,461.00
278.61,240.00
280.54,386.00
282.46,7.00
284.39,-333.00
286.31,324.00
288.24,-234.00
290.16,392.00
292.08,69.00
294.00,-51.00
295.92,-75.00
297.83,154.00
299.75,-468.00
301.66,91.00
303.58,340.00
305.49,-185.00
307.40,410.00
309.31,-185.00
311.22,-107.00
313.12,-121.00
315.03,-204.00
316.93,53.00
318.83,-246.00
320.73,326.00
322.63,249.00
324.53,126.00
326.43,320.00
328.33,209.00
330.22,1018.00
332.12,501.00
334.01,-892.00
335.90,-345.00
337.79,-777.00
339.68,-434.00
341.57,144.00
343.45,76.00
345.34,190.00
347.22,240.00
349.10,133.00
350.98,584.00
352.86,545.00
354.74,117.00
356.62,426.00
358.50,-82.00
360.37,737.00
362.24,718.00
364.12,378.00
365.99,733.00
367.86,848.00
369.73,455.00
371.59,611.00
373.46,344.00
375.33,244.00
377.19,891.00
379.05,883.00
380.91,1270.00
382.77,545.00
384.63,1354.00
386.49,1386.00
388.35,2468.00
390.20,1516.00
392.06,2202.00
393.91,2320.00
395.76,2865.00
397.61,3385.00
399.46,3092.00
401.31,2425.00
403.15,3693.00
405.00,3226.00
406.84,3880.00
408.69,3607.00
410.53,3352.00
412.37,3566.00
414.21,4589.00
416.05,3926.00
417.88,4454.00
419.72,5945.00
421.55,5191.00
423.39,6284.00
425.22,6237.00
427.05,7162.00
428.88,9791.00
430.71,8002.00
432.54,9759.00
434.36,9183.00
436.19,11218.00
438.01,10625.00
439.83,11634.00
441.65,9753.00
443.48,9635.00
445.29,9704.00
447.11,9700.00
448.93,8638.00
450.74,9768.00
452.56,9882.00
454.37,11843.00
456.18,11440.00
457.99,12369.00
459.80,15052.00
461.61,19345.00
463.42,23472.00
465.23,31111.00
467.03,38918.00
468.83,43439.00
470.64,50408.00
472.44,52328.00
474.24,50073.00
476.04,51949.00
477.84,45121.00
479.63,40459.00
481.43,33709.00
483.22,28837.00
485.02,23582.00
486.81,21527.00
488.60,16971.00
490.39,16921.00
492.18,13706.00
493.96,12538.00
495.75,10351.00
497.54,8908.00
499.32,7428.00
501.10,6714.00
502.88,5553.00
504.67,4525.00
506.45,4240.00
508.22,4253.00
510.00,3351.00
511.78,3196.00
513.55,3479.00
515.33,2974.00
517.10,3233.00
518.87,2794.00
520.64,3746.00
522.41,3357.00
524.18,2502.00
525.94,3217.00
527.71,2235.00
529.47,1441.00
531.24,3188.00
533.00,2976.00
534.76,2290.00
536.52,2114.00
538.28,2599.00
540.04,2888.00
541.80,2598.00
543.55,2501.00
545.31,3245.00
547.06,3152.00
548.81,2659.00
550.56,1843.00
552.31,2689.00
554.06,2138.00
555.81,3279.00
557.56,3006.00
559.30,3420.00
561.05,2388.00
562.79,2970.00
564.53,2504.00
566.28,2057.00
568.02,2342.00
569.75,2181.00
571.49,2439.00
573.23,2409.00
574.97,3113.00
576.70,2775.00
578.43,2380.00
580.17,2615.00
581.90,2648.00
583.63,1888.00
585.36,2484.00
587.09,2850.00
588.81,2520.00
590.54,1232.00
592.26,2672.00
593.99,2188.00
595.71,2359.00
597.43,2511.00
599.15,2123.00
600.87,2383.00
602.59,2725.00
604.31,1945.00
606.02,2154.00
607.74,1322.00
609.45,3386.00
611.17,2668.00
612.88,2062.00
614.59,2997.00
616.30,2724.00
618.01,2052.00
619.71,2302.00
621.42,3060.00
623.13,3202.00
624.83,2452.00
626.53,2103.00
628.24,2238.00
629.94,3280.00
631.64,3144.00
633.34,2677.00
635.04,2750.00
636.73,2322.00
638.43,2454.00
640.12,2956.00
641.82,1449.00
643.51,2372.00
645.20,3118.00
646.89,2342.00
648.58,2758.00
650.27,2428.00
651.96,2388.00
653.65,2378.00
655.33,3240.00
657.02,3455.00
658.70,1247.00
660.38,2864.00
662.06,2513.00
663.74,3079.00
665.42,2764.00
667.10,2616.00
668.78,2443.00
670.45,3474.00
672.13,3145.00
673.80,2896.00
675.48,2535.00
677.15,2346.00
678.82,2275.00
680.49,2987.00
682.16,2593.00
683.83,3041.00
685.49,2243.00
687.16,3129.00
688.82,3284.00
690.49,2753.00
692.15,2057.00
693.81,2421.00
695.47,2431.00
697.13,2303.00
698.79,2258.00
700.45,3233.00
702.11,2330.00
703.76,2561.00
705.42,1318.00
707.07,2395.00
708.72,2752.00
710.37,1634.00
712.02,2675.00
713.67,2772.00
715.32,1685.00
716.97,2482.00
718.62,2754.00
720.26,2158.00
721.91,3012.00
723.55,2701.00
725.19,2264.00
726.84,1795.00
728.48,2432.00
730.12,2067.00
731.75,2158.00
733.39,2389.00
735.03,2462.00
736.66,1675.00
738.30,2506.00
739.93,2869.00
741.57,1671.00
743.20,1641.00
744.83,2636.00
746.46,1892.00
748.09,1872.00
749.71,2186.00
751.34,2820.00
752.97,1602.00
754.59,2584.00
756.22,3091.00
757.84,1623.00
759.46,2751.00
761.08,2111.00
762.70,1823.00
764.32,2592.00
765.94,1928.00
767.56,2067.00
769.17,1655.00
770.79,1639.00
772.40,1797.00
774.01,2419.00
775.63,2657.00
777.24,2278.00
778.85,1388.00
780.46,1294.00
782.07,1638.00
783.67,2185.00
785.28,2582.00
786.88,2781.00
788.49,2777.00
790.09,2231.00
791.70,2097.00
793.30,2058.00
794.90,2131.00
796.50,2093.00
798.10,2745.00
799.69,2427.00
801.29,1619.00
802.89,2332.00
804.48,2442.00
806.08,2514.00
807.67,2077.00
809.26,2273.00
810.85,1175.00
812.44,1354.00
814.03,2192.00
815.62,1578.00
817.21,2922.00
818.79,1597.00
820.38,2415.00
821.96,2002.00
823.55,2988.00
825.13,2119.00
826.71,2151.00
828.29,1751.00
829.87,2412.00
831.45,2332.00
833.03,3293.00
834.61,2365.00
836.18,3237.00
837.76,3000.00
839.33,2558.00
840.91,2510.00
842.48,2473.00
844.05,1508.00
845.62,2227.00
847.19,2068.00
848.76,2403.00
850.33,3096.00
851.90,3135.00
853.46,2822.00
855.03,3699.00
856.59,2097.00
858.15,2070.00
859.72,2087.00
861.28,1564.00
862.84,2509.00
864.40,2842.00
865.96,2757.00
867.52,2361.00
869.07,1853.00
870.63,2897.00
872.18,3065.00
873.74,3391.00
875.29,2765.00
876.84,2846.00
878.40,3547.00
879.95,3462.00
881.50,2936.00
883.04,2417.00
884.59,3034.00
886.14,1970.00
887.69,3189.00
889.23,3897.00
890.78,3065.00
892.32,1937.00
893.86,2878.00
895.40,2305.00
896.94,2433.00
898.48,3090.00
900.02,2539.00
901.56,3031.00
903.10,1788.00
904.63,2695.00
906.17,3088.00
907.70,2481.00
909.24,2273.00
910.77,2382.00
912.30,2373.00
913.83,2876.00
915.36,2359.00
916.89,2659.00
918.42,2492.00
919.95,3003.00
921.48,2341.00
923.00,1545.00
924.53,1990.00
926.05,3188.00
927.57,2698.00
929.10,2314.00
930.62,2366.00
932.14,3056.00
933.66,2850.00
935.18,2912.00
936.70,3175.00
938.21,2866.00
939.73,2662.00
941.24,2692.00
942.76,2456.00
944.27,2563.00
945.79,2280.00
947.30,2368.00
948.81,1780.00
950.32,1267.00
951.83,1869.00
953.34,3332.00
954.84,2175.00
956.35,2738.00
957.86,1927.00
959.36,2677.00
960.87,2616.00
962.37,3197.00
963.87,2352.00
965.37,2284.00
966.88,2585.00
968.38,2146.00
969.87,1444.00
971.37,1830.00
972.87,2606.00
974.37,2694.00
975.86,2531.00
977.36,2678.00
978.85,2090.00
980.35,1753.00
981.84,2135.00
983.33,2176.00
984.82,1705.00
986.31,1888.00
987.80,1615.00
989.29,3375.00
990.77,1823.00
992.26,2296.00
993.75,2072.00
995.23,1711.00
996.72,2178.00
998.20,1854.00
999.68,2570.00
1001.16,2298.00
1002.64,1892.00
1004.12,2211.00
1005.60,1610.00
1007.08,1235.00
1008.56,1761.00
1010.04,1326.00
1011.51,2306.00
1012.99,2041.00
1014.46,2177.00
1015.93,1451.00
1017.41,1628.00
1018.88,2179.00
1020.35,2062.00
1021.82,2006.00
1023.29,2502.00
1024.76,1819.00
1026.23,1969.00
1027.69,2437.00
1029.16,2186.00
1030.62,2484.00
1032.09,2140.00
1033.55,1584.00
1035.02,2306.00
1036.48,2131.00
1037.94,2022.00
1039.40,1997.00
1040.86,1968.00
1042.32,1630.00
1043.78,2252.00
1045.23,1931.00
1046.69,1872.00
1048.15,2022.00
1049.60,1964.00
1051.05,1517.00
1052.51,1948.00
1053.96,1788.00
1055.41,1548.00
1056.86,1535.00
1058.31,1515.00
1059.76,1756.00
1061.21,1730.00
1062.66,2109.00
1064.10,693.00
1065.55,2450.00
1067.00,1225.00
1068.44,1394.00
1069.88,1321.00
1071.33,2079.00
1072.77,2440.00
1074.21,1884.00
1075.65,2547.00
1077.09,2061.00
1078.53,1495.00
1079.97,1731.00
1081.41,1410.00
1082.84,1361.00
1084.28,1378.00
1085.71,2054.00
1087.15,1483.00
1088.58,1616.00
1090.02,1187.00
1091.45,2549.00
1092.88,1917.00
1094.31,1132.00
1095.74,1726.00
1097.17,2181.00
1098.60,2616.00
1100.02,1916.00
1101.45,1984.00
1102.88,1567.00
1104.30,806.00
1105.73,2188.00
1107.15,1545.00
1108.57,1437.00
1109.99,1337.00
1111.42,1421.00
1112.84,2082.00
1114.26,2217.00
1115.68,1377.00
1117.09,1601.00
1118.51,1201.00
1119.93,1721.00
1121.34,2123.00
1122.76,1830.00
1124.17,1853.00
1125.59,1514.00
1127.00,1301.00
1128.41,1967.00
1129.82,2034.00
1131.24,1969.00
1132.65,1605.00
1134.05,2446.00
1135.46,1633.00
1136.87,1491.00
1138.28,1345.00
1139.68,1517.00
1141.09,2218.00
1142.50,1604.00
1143.90,1743.00
1145.30,1399.00
1146.71,2075.00
1148.11,2282.00
1149.51,1871.00
1150.91,2989.00
1152.31,1474.00
1153.71,1840.00
1155.11,1600.00
1156.50,2770.00
1157.90,1761.00
1159.30,2765.00
1160.69,2076.00
1162.08,1475.00
1163.48,1803.00
1164.87,1947.00
1166.26,1569.00
1167.66,1811.00
1169.05,1466.00
1170.44,2124.00
1171.83,1586.00
1173.21,1829.00
1174.60,2050.00
1175.99,2446.00
1177.38,1626.00
1178.76,2207.00
1180.15,2431.00
1181.53,2318.00
1182.92,2337.00
1184.30,1887.00
1185.68,1825.00
1187.06,1259.00
1188.44,1340.00
1189.82,1970.00
1191.20,1597.00
1192.58,2148.00
1193.96,2094.00
1195.34,2350.00
1196.71,2838.00
1198.09,1509.00
1199.46,1542.00
1200.84,1799.00
1202.21,2269.00
1203.58,1567.00
1204.96,1686.00
1206.33,1464.00
1207.70,1347.00
1209.07,1254.00
1210.44,1985.00
1211.81,1903.00
1213.17,2291.00
1214.54,2488.00
1215.91,2135.00
1217.27,1367.00
1218.64,1868.00
1220.00,2644.00
1221.37,1628.00
1222.73,1733.00
1224.09,1805.00
1225.45,1650.00
1226.82,1842.00
1228.18,1969.00
1229.54,2541.00
1230.89,2200.00
1232.25,2883.00
1233.61,2515.00
1234.97,1359.00
1236.32,2073.00
1237.68,1760.00
1239.03,1844.00
1240.39,1273.00
1241.74,1739.00
1243.09,2406.00
1244.45,1815.00
1245.80,1907.00
1247.15,999.00
1248.50,1784.00
1249.85,2306.00
1251.20,1440.00
1252.54,1876.00
1253.89,2394.00
1255.24,1099.00
1256.58,2660.00
1257.93,1049.00
1259.27,1713.00
1260.62,2081.00
1261.96,2177.00
1263.30,1104.00
1264.64,1776.00
1265.98,1501.00
1267.33,2160.00
1268.67,2151.00
1270.00,1821.00
1271.34,1841.00
1272.68,1929.00
1274.02,2312.00
1275.35,2287.00
1276.69,1306.00
1278.03,1822.00
1279.36,1642.00
1280.69,1623.00
1282.03,1380.00
1283.36,1300.00
1284.69,2108.00
1286.02,1260.00
1287.35,1582.00
1288.68,1734.00
1290.01,994.00
1291.34,1460.00
1292.67,1671.00
1294.00,1692.00
1295.32,1532.00
1296.65,1031.00
1297.97,1874.00
1299.30,1596.00
1300.62,1716.00
1301.94,1203.00
1303.27,724.00
1304.59,508.00
1305.91,1052.00
1307.23,1408.00
1308.55,1226.00
1309.87,1836.00
1311.19,1406.00
1312.51,1450.00
1313.82,1525.00
1315.14,1614.00
1316.46,1397.00
1317.77,1557.00
1319.09,1237.00
1320.40,912.00
1321.72,1376.00
1323.03,889.00
1324.34,1000.00
1325.65,1837.00
1326.96,1642.00
1328.27,1087.00
1329.58,1063.00
1330.89,1734.00
1332.20,1323.00
1333.51,989.00
1334.82,1289.00
1336.12,769.00
1337.43,1118.00
1338.73,2107.00
1340.04,1830.00
1341.34,1647.00
1342.65,1441.00
1343.95,1434.00
1345.25,1558.00
1346.55,1778.00
1347.85,1343.00
1349.15,1576.00
1350.45,1307.00
1351.75,1489.00
1353.05,2079.00
1354.35,1558.00
1355.65,1366.00
1356.94,1816.00
1358.24,2468.00
1359.53,625.00
1360.83,1704.00
1362.12,1614.00
1363.42,2015.00
1364.71,1425.00
1366.00,982.00
1367.29,1692.00
1368.58,1094.00
1369.87,377.00
1371.16,903.00
1372.45,1519.00
1373.74,1347.00
1375.03,797.00
1376.32,1636.00
1377.60,855.00
1378.89,953.00
1380.17,768.00
1381.46,1390.00
1382.74,1483.00
1384.03,1100.00
1385.31,838.00
1386.59,1106.00
1387.87,1304.00
1389.15,1159.00
1390.43,1021.00
1391.71,1566.00
1392.99,1386.00
1394.27,1227.00
1395.55,1341.00
1396.83,1710.00
1398.11,890.00
1399.38,923.00
1400.66,1398.00
1401.93,1605.00
1403.21,1842.00
1404.48,1868.00
1405.75,1480.00
1407.03,1013.00
1408.30,1720.00
1409.57,1086.00
1410.84,998.00
1412.11,1140.00
1413.38,1604.00
1414.65,1530.00
1415.92,588.00
1417.19,838.00
1418.46,1033.00
1419.72,2149.00
1420.99,1584.00
1422.25,1328.00
1423.52,1558.00
