ENLIGHTEN Version,1.6.8
Measurement ID,20190528-175806-921018-WP-00421
Serial Number,WP-00421
Label,Toluene
Integration Time,100
Timestamp,2019-05-28 17:58:06.921018
Note,
Temperature,-99
CCD C0,845.722412109375
CCD C1,0.1515599936246872
CCD C2,-8.504200195602607e-06
CCD C3,-7.913800281755812e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,830.0
Laser Enable,True
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
223.98,1811.00
226.10,1811.00
228.22,1720.00
230.33,1581.00
232.45,1488.00
234.56,1365.00
236.68,1247.00
238.79,1137.00
240.90,1029.00
243.01,938.00
245.12,868.00
247.23,808.00
249.34,735.00
251.44,672.00
253.55,630.00
255.65,604.00
257.76,556.00
259.86,526.00
261.96,480.00
264.06,486.00
266.16,446.00
268.26,412.00
270.36,399.00
272.46,368.00
274.55,345.00
276.65,332.00
278.74,352.00
280.83,313.00
282.92,296.00
285.01,290.00
287.10,296.00
289.19,279.00
291.28,273.00
293.37,269.00
295.45,264.00
297.54,246.00
299.62,262.00
301.70,239.00
303.78,251.00
305.86,234.00
307.94,247.00
310.02,228.00
312.10,236.00
314.18,243.00
316.25,245.00
318.33,226.00
320.40,251.00
322.47,245.00
324.54,290.00
326.62,300.00
328.69,323.00
330.75,323.00
332.82,396.00
334.89,464.00
336.95,550.00
339.02,724.00
341.08,867.00
343.14,1014.00
345.21,1143.00
347.27,1092.00
349.33,1005.00
351.39,817.00
353.44,678.00
355.50,511.00
357.56,411.00
359.61,309.00
361.66,300.00
363.72,256.00
365.77,212.00
367.82,197.00
369.87,165.00
371.92,163.00
373.96,157.00
376.01,146.00
378.06,152.00
380.10,158.00
382.15,150.00
384.19,154.00
386.23,159.00
388.27,156.00
390.31,152.00
392.35,163.00
394.39,175.00
396.42,186.00
398.46,210.00
400.49,219.00
402.53,262.00
404.56,270.00
406.59,283.00
408.62,281.00
410.65,231.00
412.68,249.00
414.71,205.00
416.74,215.00
418.76,197.00
420.79,192.00
422.81,162.00
424.83,178.00
426.86,192.00
428.88,163.00
430.90,181.00
432.91,188.00
434.93,175.00
436.95,149.00
438.97,166.00
440.98,171.00
442.99,182.00
445.01,154.00
447.02,146.00
449.03,162.00
451.04,167.00
453.05,205.00
455.06,243.00
457.06,250.00
459.07,337.00
461.07,461.00
463.08,543.00
465.08,616.00
467.08,647.00
469.08,605.00
471.08,490.00
473.08,374.00
475.08,308.00
477.08,232.00
479.07,224.00
481.07,192.00
483.06,190.00
485.05,194.00
487.05,190.00
489.04,197.00
491.03,212.00
493.02,222.00
495.00,216.00
496.99,249.00
498.98,290.00
500.96,324.00
502.95,363.00
504.93,463.00
506.91,579.00
508.89,737.00
510.87,1012.00
512.85,1515.00
514.83,2491.00
516.81,4165.00
518.78,6896.00
520.76,9128.00
522.73,9718.00
524.71,8940.00
526.68,6785.00
528.65,4201.00
530.62,2402.00
532.59,1456.00
534.56,962.00
536.52,693.00
538.49,549.00
540.45,441.00
542.42,349.00
544.38,315.00
546.34,258.00
548.30,241.00
550.26,192.00
552.22,167.00
554.18,158.00
556.14,150.00
558.10,150.00
560.05,114.00
562.00,93.00
563.96,86.00
565.91,88.00
567.86,78.00
569.81,82.00
571.76,61.00
573.71,107.00
575.66,58.00
577.60,78.00
579.55,76.00
581.49,55.00
583.43,67.00
585.38,100.00
587.32,107.00
589.26,112.00
591.20,125.00
593.14,152.00
595.07,138.00
597.01,188.00
598.95,188.00
600.88,218.00
602.81,262.00
604.75,270.00
606.68,417.00
608.61,461.00
610.54,674.00
612.46,827.00
614.39,1177.00
616.32,1595.00
618.24,2097.00
620.17,2664.00
622.09,3108.00
624.01,3254.00
625.94,3093.00
627.86,2611.00
629.78,2064.00
631.69,1450.00
633.61,1097.00
635.53,748.00
637.44,579.00
639.36,427.00
641.27,323.00
643.18,252.00
645.10,221.00
647.01,159.00
648.92,127.00
650.82,118.00
652.73,78.00
654.64,53.00
656.54,80.00
658.45,32.00
660.35,78.00
662.25,27.00
664.16,36.00
666.06,46.00
667.96,6.00
669.86,-7.00
671.75,30.00
673.65,-9.00
675.55,6.00
677.44,29.00
679.33,51.00
681.23,4.00
683.12,15.00
685.01,22.00
686.90,27.00
688.79,64.00
690.68,76.00
692.56,110.00
694.45,103.00
696.33,88.00
698.22,106.00
700.10,49.00
701.98,49.00
703.86,51.00
705.74,51.00
707.62,61.00
709.50,38.00
711.38,45.00
713.25,78.00
715.13,106.00
717.00,107.00
718.87,72.00
720.75,127.00
722.62,211.00
724.49,260.00
726.36,345.00
728.22,397.00
730.09,461.00
731.96,539.00
733.82,514.00
735.69,414.00
737.55,368.00
739.41,312.00
741.27,235.00
743.13,188.00
744.99,145.00
746.85,109.00
748.71,116.00
750.56,106.00
752.42,86.00
754.27,102.00
756.12,132.00
757.98,125.00
759.83,169.00
761.68,191.00
763.53,190.00
765.38,270.00
767.22,312.00
769.07,389.00
770.91,518.00
772.76,688.00
774.60,1038.00
776.44,1703.00
778.29,2950.00
780.13,5215.00
781.97,9758.00
783.80,17234.00
785.64,24648.00
787.48,27947.00
789.31,26478.00
791.15,21331.00
792.98,13716.00
794.81,7139.00
796.64,3636.00
798.48,2178.00
800.30,1608.00
802.13,1292.00
803.96,1232.00
805.79,1258.00
807.61,1304.00
809.44,1382.00
811.26,1439.00
813.08,1420.00
814.91,1249.00
816.73,1070.00
818.55,832.00
820.36,615.00
822.18,454.00
824.00,363.00
825.81,268.00
827.63,233.00
829.44,234.00
831.26,183.00
833.07,192.00
834.88,214.00
836.69,233.00
838.50,300.00
840.30,331.00
842.11,380.00
843.92,401.00
845.72,355.00
847.53,317.00
849.33,322.00
851.13,230.00
852.93,177.00
854.73,178.00
856.53,97.00
858.33,103.00
860.13,106.00
861.92,96.00
863.72,93.00
865.51,63.00
867.30,21.00
869.10,42.00
870.89,59.00
872.68,59.00
874.47,48.00
876.26,42.00
878.04,45.00
879.83,71.00
881.61,74.00
883.40,118.00
885.18,66.00
886.96,88.00
888.75,114.00
890.53,137.00
892.30,182.00
894.08,183.00
895.86,222.00
897.64,228.00
899.41,252.00
901.19,209.00
902.96,172.00
904.73,117.00
906.50,125.00
908.27,103.00
910.04,59.00
911.81,103.00
913.58,63.00
915.35,46.00
917.11,66.00
918.88,59.00
920.64,63.00
922.40,83.00
924.17,82.00
925.93,55.00
927.69,89.00
929.44,95.00
931.20,83.00
932.96,139.00
934.71,125.00
936.47,106.00
938.22,93.00
