ENLIGHTEN Version,1.6.8
Measurement ID,20190528-091700-207301-WP-00382
Serial Number,WP-00382
Label,Urea
Integration Time,500
Timestamp,2019-05-28 09:17:00.207301
Note,
Temperature,-99
CCD C0,798.9494018554688
CCD C1,0.3235599994659424
CCD C2,-4.676200114772655e-05
CCD C3,-1.6238999478446203e-08
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,830.0
Laser Enable,False
Laser Power,100.0
Laser Temperature,-99
Pixel Count,1024

Wavenumber,Processed
-468.24,-6.00
-463.18,-17.00
-458.12,2.00
-453.06,10.00
-448.01,6.00
-442.97,-6.00
-437.93,-9.00
-432.90,-17.00
-427.87,-5.00
-422.85,2.00
-417.83,6.00
-412.82,5.00
-407.82,-8.00
-402.82,-10.00
-397.82,-13.00
-392.83,13.00
-387.85,-2.00
-382.87,8.00
-377.90,9.00
-372.93,-7.00
-367.97,-4.00
-363.01,2.00
-358.06,10.00
-353.12,10.00
-348.18,-7.00
-343.24,-7.00
-338.31,-2.00
-333.39,5.00
-328.47,13.00
-323.56,2.00
-318.65,4.00
-313.75,7.00
-308.85,12.00
-303.96,7.00
-299.08,2.00
-294.19,-6.00
-289.32,6.00
-284.45,-13.00
-279.58,5.00
-274.72,15.00
-269.87,17.00
-265.02,0.00
-260.18,-8.00
-255.34,-10.00
-250.51,13.00
-245.68,9.00
-240.86,0.00
-236.04,11.00
-231.23,0.00
-226.42,-11.00
-221.62,12.00
-216.82,25.00
-212.03,2.00
-207.25,-7.00
-202.46,-11.00
-197.69,-4.00
-192.92,2.00
-188.15,15.00
-183.39,1.00
-178.64,4.00
-173.89,0.00
-169.15,11.00
-164.41,10.00
-159.67,-2.00
-154.94,2.00
-150.22,7.00
-145.50,-6.00
-140.79,4.00
-136.08,19.00
-131.38,0.00
-126.68,2.00
-121.99,-2.00
-117.30,-11.00
-112.62,-7.00
-107.94,9.00
-103.27,9.00
-98.60,14.00
-93.94,-2.00
-89.28,-10.00
-84.63,8.00
-79.98,13.00
-75.34,3.00
-70.70,-4.00
-66.07,-2.00
-61.44,-17.00
-56.82,-2.00
-52.20,0.00
-47.59,2.00
-42.98,-4.00
-38.38,-15.00
-33.78,0.00
-29.19,-6.00
-24.60,25.00
-20.02,-6.00
-15.44,-11.00
-10.87,2.00
-6.31,2.00
-1.74,3.00
2.81,2.00
7.37,6.00
11.91,-15.00
16.46,-7.00
20.99,-15.00
25.53,7.00
30.05,11.00
34.58,-6.00
39.09,-1.00
43.61,-18.00
48.12,-10.00
52.62,10.00
57.12,10.00
61.61,-4.00
66.10,2.00
70.58,-6.00
75.06,-10.00
79.54,0.00
84.01,7.00
88.47,0.00
92.93,8.00
97.38,-15.00
101.83,6.00
106.28,0.00
110.72,17.00
115.16,-3.00
119.59,8.00
124.01,2.00
128.43,4.00
132.85,11.00
137.26,15.00
141.67,-8.00
146.07,-4.00
150.47,-4.00
154.86,5.00
159.25,6.00
163.63,8.00
168.01,26.00
172.38,10.00
176.75,12.00
181.12,18.00
185.47,29.00
189.83,25.00
194.18,26.00
198.52,38.00
202.87,42.00
207.20,51.00
211.53,97.00
215.86,105.00
220.18,162.00
224.50,211.00
228.81,300.00
233.12,407.00
237.42,521.00
241.72,591.00
246.02,568.00
250.30,614.00
254.59,552.00
258.87,502.00
263.15,474.00
267.42,455.00
271.68,434.00
275.94,389.00
280.20,388.00
284.45,390.00
288.70,388.00
292.95,359.00
297.18,382.00
301.42,360.00
305.65,343.00
309.87,317.00
314.09,363.00
318.31,336.00
322.52,331.00
326.73,321.00
330.93,327.00
335.13,336.00
339.32,371.00
343.51,339.00
347.69,354.00
351.87,331.00
356.05,407.00
360.22,409.00
364.39,449.00
368.55,466.00
372.71,491.00
376.86,506.00
381.01,554.00
385.15,551.00
389.29,544.00
393.43,516.00
397.56,493.00
401.68,471.00
405.80,478.00
409.92,413.00
414.03,426.00
418.14,398.00
422.25,404.00
426.35,380.00
430.44,379.00
434.53,397.00
438.62,386.00
442.70,375.00
446.78,405.00
450.85,378.00
454.92,394.00
458.98,384.00
463.04,437.00
467.10,424.00
471.15,415.00
475.20,401.00
479.24,424.00
483.28,462.00
487.31,500.00
491.34,458.00
495.37,464.00
499.39,462.00
503.41,502.00
507.42,496.00
511.43,508.00
515.43,532.00
519.43,554.00
523.42,601.00
527.42,628.00
531.40,708.00
535.38,851.00
539.36,1168.00
543.34,1806.00
547.31,3050.00
551.27,4573.00
555.23,4530.00
559.19,3173.00
563.14,2182.00
567.09,1826.00
571.03,1695.00
574.97,1602.00
578.91,1512.00
