Integration Time,25
Timestamp,2019-03-04 08_37_33.457000
Note,
Temperature,10.00
CCD C0,801.7174072265625
CCD C1,0.14122000336647034
CCD C2,-5.609700110653648e-06
CCD C3,-8.541699791919655e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,785.0
Laser Enable,True
Laser Power,100
Laser Temperature,0.00
Pixel Count,1024

Pixel,Wavelength,Wavenumber,2019-03-04 08:37:33 Toluene 10x25ms Spectrum,2019-03-04 08:37:51 Cyclohexane 10x25ms Spectrum,2019-03-04 08:38:24 Benzene 10x10ms Spectrum,2019-03-04 08:39:05 BMSB 10x5ms Spectrum,2019-03-04 08:39:49 Caffeine 10x50ms Spectrum,2019-03-04 08:40:06 AmmoniumNitrate 10x50ms Spectrum,2019-03-04 08:40:25 Isopropanol 10x50ms Spectrum,2019-03-04 08:40:43 Acetaminophen 10x50ms Spectrum,2019-03-04 08:41:02 Acetone 10x50ms Spectrum,2019-03-04 08:41:36 CoconutOil 10x100ms Spectrum,2019-03-04 08:41:51 Methanol 10x100ms Spectrum,2019-03-04 08:42:09 MineralOil 10x100ms Spectrum,2019-03-04 08:43:30 Fructose 10x300ms Spectrum,2019-03-04 08:43:50 Sugar 10x300ms Spectrum,2019-03-04 08:44:24 Sucrose 10x300ms Spectrum,2019-03-04 08:44:45 AmmoniumChloride 10x300ms Spectrum,2019-03-04 08:46:11 GlucoseSolution 10x1000ms Spectrum
0,801.72,265.63,9.10,0.20,-1.00,32.80,59.40,17.10,8.80,148.10,11.30,233.60,24.40,71.20,86.40,251.90,67.10,105.30,319.90
1,801.86,267.83,17.20,5.00,3.50,44.30,74.50,23.90,14.50,193.20,11.40,299.40,33.10,91.10,137.10,334.10,98.60,133.40,411.60
2,802.00,270.02,12.80,3.70,3.00,55.20,95.00,30.80,18.10,246.20,21.20,388.20,38.10,112.60,190.40,438.90,132.60,174.70,515.10
3,802.14,272.22,16.00,5.10,3.60,68.40,122.80,33.50,17.80,315.10,20.00,488.30,43.40,143.80,256.20,596.70,190.30,218.40,684.30
4,802.28,274.41,21.60,5.30,4.60,92.80,163.40,44.90,23.50,409.80,25.20,638.30,60.20,188.70,362.80,818.10,272.40,296.50,866.50
5,802.42,276.60,27.10,2.70,3.60,132.10,209.40,55.90,27.90,526.70,34.30,826.60,78.70,248.60,490.40,1099.00,386.10,381.60,1108.80
6,802.56,278.80,38.60,5.70,5.90,181.20,274.00,72.30,43.20,690.20,46.20,1081.40,98.00,312.60,646.10,1454.60,514.70,483.40,1421.90
7,802.71,280.99,45.60,11.20,5.20,256.80,357.30,89.50,44.80,882.40,57.00,1381.70,123.20,408.60,844.20,1867.90,681.30,626.00,1817.30
8,802.85,283.18,55.00,11.10,11.00,345.80,452.80,113.00,54.90,1111.00,74.60,1752.30,155.10,504.20,1090.40,2376.70,875.50,794.70,2269.70
9,802.99,285.37,64.20,10.70,9.50,464.10,564.50,136.40,71.60,1396.30,93.90,2194.70,187.50,633.20,1263.90,2965.50,1060.90,968.50,2807.50
10,803.13,287.55,72.80,5.20,5.50,575.70,684.50,157.10,78.10,1692.20,105.00,2690.50,218.20,773.70,1459.50,3614.00,1293.20,1168.80,3416.20
11,803.27,289.74,87.80,13.50,12.30,699.10,820.00,185.50,95.20,2032.70,134.30,3188.10,260.60,910.80,1590.70,4357.50,1545.40,1393.10,4017.10
12,803.41,291.93,100.60,16.90,15.90,810.90,977.50,213.90,108.10,2371.70,155.40,3735.20,291.40,1060.60,1682.00,5093.00,1843.60,1615.80,4675.90
13,803.55,294.11,113.40,15.10,17.70,903.80,1134.90,241.30,119.60,2712.30,169.10,4246.90,319.90,1188.20,1734.60,5788.50,2077.50,1849.80,5226.30
14,803.69,296.30,117.90,20.70,17.60,950.00,1280.40,259.00,138.30,2987.60,192.40,4672.70,345.20,1314.60,1790.20,6388.80,2283.10,2013.60,5746.80
15,803.83,298.48,135.30,20.00,20.50,982.30,1438.00,271.10,144.10,3252.90,193.40,5047.40,349.40,1409.50,1852.50,6898.40,2448.20,2171.30,6149.20
16,803.98,300.66,136.30,18.30,20.80,972.90,1592.20,274.70,154.60,3469.60,213.40,5353.20,368.50,1478.60,1959.60,7312.40,2603.90,2296.20,6492.10
17,804.12,302.84,145.80,20.00,22.70,935.20,1771.50,282.10,155.20,3648.10,226.60,5593.70,371.60,1538.90,2134.40,7693.20,2758.50,2384.10,6689.80
18,804.26,305.02,149.30,22.30,15.70,889.50,1915.30,278.00,158.70,3781.80,228.80,5678.00,353.40,1560.30,2256.40,7893.20,2877.80,2413.70,6778.60
19,804.40,307.20,142.20,19.20,22.80,833.50,2065.30,280.90,163.20,3919.80,228.90,5786.10,351.50,1566.50,2366.20,8173.50,3014.80,2473.20,6840.70
20,804.54,309.38,144.20,21.90,26.90,778.60,2138.40,280.60,159.90,4052.40,230.80,5820.10,338.70,1560.00,2391.90,8282.00,3060.50,2480.90,6836.70
21,804.68,311.56,140.60,18.60,21.40,728.40,2188.70,274.20,159.70,4228.30,226.90,5857.60,320.50,1559.80,2388.10,8330.20,3085.30,2497.70,6876.10
22,804.82,313.74,143.30,20.70,19.80,661.50,2166.50,267.70,162.50,4454.20,225.60,5839.70,318.60,1550.40,2320.80,8143.70,2968.30,2488.30,6835.30
23,804.96,315.91,148.70,19.70,21.40,616.30,2065.70,275.40,154.50,4775.10,227.70,5837.90,300.70,1541.20,2257.00,7866.70,2806.60,2486.60,6830.60
24,805.10,318.09,147.80,19.60,20.10,573.60,1944.80,255.20,151.40,5224.80,222.50,5827.30,284.40,1533.40,2166.40,7520.40,2559.90,2493.50,6802.80
25,805.24,320.26,156.10,22.60,18.10,527.00,1779.40,252.30,151.00,5782.00,220.70,5815.00,263.60,1511.80,2157.00,7184.70,2306.40,2495.90,6781.80
26,805.39,322.43,162.40,20.80,22.50,498.30,1648.20,252.00,154.30,6340.90,230.10,5830.50,269.20,1495.80,2149.30,6875.00,2084.30,2508.50,6846.20
27,805.53,324.61,180.30,21.70,25.30,457.90,1510.20,247.00,159.00,6843.50,220.40,5808.80,254.20,1506.50,2151.00,6608.70,1895.20,2495.70,6861.20
28,805.67,326.78,198.00,21.20,26.40,447.80,1424.00,244.90,160.00,7073.50,224.80,5794.50,235.70,1486.80,2186.70,6454.20,1804.30,2511.20,6863.50
29,805.81,328.95,225.20,21.50,25.20,428.40,1366.20,241.60,160.90,6976.20,224.90,5807.70,228.20,1476.30,2262.60,6440.60,1777.70,2508.20,6915.20
30,805.95,331.12,252.70,21.60,24.00,408.60,1307.80,237.90,161.60,6878.10,224.80,5821.00,220.50,1465.80,2338.80,6426.80,1750.60,2505.00,6966.70
31,806.09,333.28,299.90,27.00,23.20,398.90,1285.20,232.30,166.80,6520.40,218.60,5811.50,220.90,1448.80,2446.70,6519.10,1785.70,2512.10,7025.60
32,806.23,335.45,365.90,25.40,23.10,389.80,1279.40,227.30,165.40,6100.80,229.40,5823.20,211.90,1454.70,2574.40,6611.90,1848.90,2507.10,7088.40
33,806.37,337.62,454.70,30.60,21.40,381.00,1265.00,222.70,173.70,5659.80,224.80,5845.60,216.40,1431.80,2735.80,6763.80,1938.40,2516.90,7116.40
34,806.51,339.78,547.80,28.00,24.50,386.50,1269.90,219.20,175.30,5281.00,231.00,5830.50,209.30,1428.20,2813.10,6930.20,2038.30,2498.50,7233.50
35,806.65,341.95,610.60,32.70,23.00,373.80,1272.10,217.60,189.80,4873.10,234.20,5808.00,192.80,1405.70,2798.50,7044.30,2113.80,2516.90,7267.70
36,806.79,344.11,642.30,41.30,30.80,373.30,1293.70,222.20,200.20,4550.90,240.50,5841.40,188.20,1405.30,2712.40,7070.40,2141.20,2484.50,7345.90
37,806.93,346.27,625.40,41.20,24.20,382.40,1333.60,220.70,206.10,4294.60,240.80,5843.40,189.20,1387.80,2551.30,7129.40,2189.10,2469.10,7379.60
