Integration Time,200
Timestamp,2019-03-04 19_36_49.405000
Note,
Temperature,-15.41
CCD C0,535.4879760742188
CCD C1,0.12055999785661697
CCD C2,-1.2115999652451137e-06
CCD C3,-8.375500293311688e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100
Laser Temperature,0.00
Pixel Count,1024

Pixel,Wavelength,Wavenumber,2019-03-04 19:36:49 Benzene 1x200ms Spectrum,2019-03-04 19:37:47 BMSB 1x60ms Spectrum,2019-03-04 19:42:13 Toluene 1x500ms Spectrum,2019-03-04 19:42:42 Cyclohexane 1x500ms Spectrum,2019-03-04 19:43:25 Caffeine 1x500ms Spectrum,2019-03-04 19:43:52 AmmoniumNitrate 1x500ms Spectrum,2019-03-04 19:45:29 Isopropanol 1x1s Spectrum,2019-03-04 19:46:51 Acetaminophen 1x500ms Spectrum,2019-03-04 19:47:20 Acetone 1x500ms Spectrum,2019-03-04 19:47:54 Coconut Oil 1x500ms Spectrum,2019-03-04 19:48:54 Methanol 1x1s Spectrum,2019-03-04 19:49:23 Mineral Oil 1x1s Spectrum,2019-03-04 19:50:32 Fructose 1x2s Spectrum,2019-03-04 19:51:30 Sugar 1x1s Spectrum,2019-03-04 19:52:27 Ammonium Chloride 1x2s Spectrum,2019-03-04 19:52:56 Sucrose 1x2s Spectrum,2019-03-04 19:54:30 Glucose Solution 1x5s Spectrum
0,535.49,122.44,98.10,1565.50,12245.00,253.00,5756.00,145.00,1376.00,20648.00,703.00,13823.00,1986.00,1202.00,13754.00,22787.00,1507.00,7884.00,23082.00
1,535.61,126.64,101.50,1567.30,12291.00,245.00,5771.00,139.00,1354.00,20620.00,702.00,13809.00,1976.00,1226.00,13784.00,22838.00,1587.00,7835.00,23102.00
2,535.73,130.84,99.20,1577.40,12327.00,257.00,5813.00,150.00,1356.00,20746.00,691.00,13842.00,1976.00,1221.00,13794.00,22856.00,1592.00,7836.00,23021.00
3,535.85,135.04,98.90,1586.60,12372.00,249.00,5802.00,141.00,1355.00,20676.00,693.00,13917.00,1950.00,1208.00,13817.00,22762.00,1666.00,7797.00,23032.00
4,535.97,139.24,100.10,1587.90,12367.00,241.00,5820.00,136.00,1360.00,20856.00,681.00,13932.00,2005.00,1234.00,13841.00,22842.00,1665.00,7841.00,22980.00
5,536.09,143.43,93.30,1599.90,12408.00,264.00,5836.00,171.00,1363.00,20958.00,698.00,13993.00,2026.00,1246.00,13825.00,22878.00,1694.00,7814.00,22929.00
6,536.21,147.63,96.40,1596.20,12420.00,262.00,5843.00,150.00,1358.00,21012.00,699.00,13997.00,1986.00,1240.00,13809.00,22926.00,1730.00,7824.00,22942.00
7,536.33,151.82,97.30,1608.60,12452.00,247.00,5851.00,156.00,1339.00,21044.00,711.00,14061.00,2033.00,1240.00,13883.00,22944.00,1758.00,7877.00,22931.00
8,536.45,156.01,102.20,1607.40,12518.00,251.00,5889.00,171.00,1372.00,21143.00,672.00,14090.00,2008.00,1221.00,13872.00,23047.00,1775.00,7852.00,22784.00
9,536.57,160.20,97.90,1620.00,12475.00,273.00,5891.00,171.00,1351.00,21196.00,712.00,14164.00,2037.00,1249.00,13884.00,23038.00,1816.00,7941.00,22785.00
10,536.69,164.38,98.30,1616.30,12569.00,256.00,5986.00,173.00,1363.00,21291.00,718.00,14187.00,2046.00,1266.00,13974.00,23174.00,1842.00,7960.00,22713.00
11,536.81,168.57,96.10,1628.30,12512.00,268.00,5963.00,177.00,1340.00,21420.00,697.00,14246.00,2037.00,1270.00,13959.00,23248.00,1883.00,8057.00,22720.00
12,536.93,172.75,96.10,1629.70,12566.00,277.00,5999.00,180.00,1363.00,21439.00,714.00,14227.00,2058.00,1274.00,13992.00,23289.00,1887.00,8068.00,22628.00
13,537.06,176.93,97.90,1630.80,12581.00,290.00,6012.00,194.00,1352.00,21547.00,729.00,14356.00,2073.00,1262.00,14018.00,23317.00,1940.00,8124.00,22610.00
14,537.18,181.10,107.50,1635.70,12554.00,268.00,6020.00,183.00,1340.00,21684.00,708.00,14329.00,2083.00,1276.00,13976.00,23514.00,1979.00,8130.00,22528.00
15,537.30,185.28,102.10,1645.20,12655.00,273.00,6003.00,212.00,1344.00,21767.00,742.00,14348.00,2094.00,1311.00,14086.00,23533.00,2026.00,8207.00,22485.00
16,537.42,189.45,106.40,1645.10,12665.00,279.00,6018.00,202.00,1340.00,21777.00,733.00,14402.00,2069.00,1299.00,13990.00,23579.00,2056.00,8270.00,22470.00
17,537.54,193.63,101.50,1657.50,12670.00,262.00,6034.00,213.00,1319.00,21942.00,720.00,14419.00,2103.00,1321.00,13929.00,23651.00,2142.00,8300.00,22440.00
18,537.66,197.80,97.90,1668.90,12699.00,288.00,6092.00,207.00,1327.00,22102.00,740.00,14491.00,2105.00,1317.00,13961.00,23750.00,2168.00,8370.00,22362.00
19,537.78,201.96,100.40,1665.30,12744.00,294.00,6168.00,222.00,1304.00,22322.00,716.00,14496.00,2107.00,1334.00,13995.00,23778.00,2234.00,8330.00,22396.00
20,537.90,206.13,105.80,1679.20,12775.00,271.00,6138.00,237.00,1343.00,22460.00,721.00,14572.00,2080.00,1336.00,13989.00,23797.00,2278.00,8344.00,22344.00
21,538.02,210.29,106.20,1674.50,12780.00,260.00,6137.00,207.00,1308.00,22738.00,739.00,14624.00,2116.00,1350.00,13952.00,23848.00,2374.00,8419.00,22263.00
22,538.14,214.45,109.80,1687.10,12796.00,281.00,6165.00,245.00,1335.00,22928.00,741.00,14650.00,2075.00,1333.00,13955.00,23951.00,2428.00,8353.00,22208.00
23,538.26,218.61,101.20,1695.70,12842.00,281.00,6179.00,260.00,1283.00,23015.00,743.00,14599.00,2093.00,1351.00,13979.00,23899.00,2495.00,8388.00,22217.00
24,538.38,222.77,103.00,1693.60,12864.00,304.00,6178.00,259.00,1279.00,23049.00,737.00,14736.00,2077.00,1344.00,13961.00,23981.00,2561.00,8400.00,22168.00
25,538.50,226.93,101.10,1697.40,12831.00,294.00,6183.00,267.00,1267.00,23182.00,748.00,14685.00,2083.00,1340.00,14001.00,23977.00,2626.00,8334.00,22135.00
26,538.62,231.08,102.70,1701.60,12835.00,302.00,6263.00,262.00,1261.00,23093.00,733.00,14760.00,2113.00,1371.00,13930.00,23928.00,2679.00,8296.00,22075.00
27,538.74,235.23,106.10,1698.40,12902.00,283.00,6272.00,268.00,1283.00,23048.00,763.00,14853.00,2105.00,1368.00,13982.00,23945.00,2779.00,8313.00,22020.00
