Integration Time,60
Timestamp,2019-03-05 16_44_57.477000
Note,
Temperature,-15.38
CCD C0,536.9515991210938
CCD C1,0.12007000297307968
CCD C2,-1.7113000012614066e-06
CCD C3,-8.254399830320835e-09
CCD Offset,0
CCD Gain,1.9
Laser Wavelength,532.0
Laser Enable,False
Laser Power,100
Laser Temperature,0.00
Pixel Count,1024

Pixel,Wavelength,Wavenumber,Dark,Reference,2019-03-05 16:44:57 BMSB 10x60ms Spectrum,2019-03-05 16:44:57 BMSB 10x60ms Raw,2019-03-05 16:45:22 Benzene 10x100ms Spectrum,2019-03-05 16:45:22 Benzene 10x100ms Raw,2019-03-05 16:45:44 Toluene 10x100ms Spectrum,2019-03-05 16:45:44 Toluene 10x100ms Raw,2019-03-05 16:46:01 Cyclohexane 10x100ms Spectrum,2019-03-05 16:46:01 Cyclohexane 10x100ms Raw,2019-03-05 16:47:22 Ammonium NItrate 10x200ms Spectrum,2019-03-05 16:47:22 Ammonium NItrate 10x200ms Raw,2019-03-05 16:47:49 Acetaminophen 10x200ms Spectrum,2019-03-05 16:47:49 Acetaminophen 10x200ms Raw,2019-03-05 16:48:07 Acetone 10x200ms Spectrum,2019-03-05 16:48:07 Acetone 10x200ms Raw,2019-03-05 16:48:34 Coconut Oil 10x200ms Spectrum,2019-03-05 16:48:34 Coconut Oil 10x200ms Raw,2019-03-05 16:49:11 Caffeine 10x200ms Spectrum,2019-03-05 16:49:11 Caffeine 10x200ms Raw,2019-03-05 16:49:56 Methanol 10x200ms Spectrum,2019-03-05 16:49:56 Methanol 10x200ms Raw,2019-03-05 16:50:18 Isopropanol 10x200ms Spectrum,2019-03-05 16:50:18 Isopropanol 10x200ms Raw,2019-03-05 16:50:40 Mineral Oil 10x200ms Spectrum,2019-03-05 16:50:40 Mineral Oil 10x200ms Raw,2019-03-05 16:51:07 Sugar 10x200ms Spectrum,2019-03-05 16:51:07 Sugar 10x200ms Raw,2019-03-05 16:52:09 Fructose 10x500ms Spectrum,2019-03-05 16:52:09 Fructose 10x500ms Raw,2019-03-05 16:52:40 Ammonium Chloride 10x500ms Spectrum,2019-03-05 16:52:40 Ammonium Chloride 10x500ms Raw,2019-03-05 16:53:12 Sucrose 10x500ms Spectrum,2019-03-05 16:53:12 Sucrose 10x500ms Raw,2019-03-05 16:54:26 Glucose 100g/L 10x1s Spectrum,2019-03-05 16:54:26 Glucose 100g/L 10x1s Raw
0,536.95,173.34,515.60,,4608.50,,119.70,,9386.70,,369.50,,173.80,,18980.40,,540.20,,14522.50,,8856.70,,1200.70,,978.40,,1145.80,,12916.20,,11197.00,,731.20,,6235.30,,16002.60,
1,537.07,177.50,516.30,,4623.40,,116.10,,9408.60,,371.80,,174.80,,19047.00,,541.00,,14586.70,,8890.80,,1214.20,,974.60,,1145.80,,13002.60,,11110.60,,753.50,,6296.90,,16002.30,
2,537.19,181.67,516.10,,4646.50,,119.10,,9424.80,,371.70,,176.50,,19098.90,,540.60,,14595.80,,8898.00,,1229.70,,981.00,,1150.30,,13016.90,,11040.50,,766.40,,6332.40,,15985.10,
3,537.31,185.82,516.80,,4650.50,,114.50,,9422.10,,373.00,,179.50,,19135.80,,545.00,,14631.30,,8933.10,,1237.80,,984.30,,1156.80,,13027.70,,10947.30,,792.70,,6347.70,,15951.70,
4,537.43,189.98,515.00,,4676.40,,117.00,,9436.50,,377.10,,180.30,,19215.30,,541.90,,14670.60,,8984.50,,1243.20,,979.10,,1163.10,,13042.60,,10906.10,,809.80,,6334.90,,15938.00,
5,537.55,194.14,518.50,,4675.10,,110.50,,9449.10,,373.30,,183.60,,19280.40,,535.30,,14713.60,,8994.30,,1258.00,,988.20,,1167.50,,13067.50,,10855.20,,832.60,,6297.50,,15923.80,
6,537.67,198.29,515.60,,4709.30,,119.10,,9473.70,,380.60,,192.40,,19341.40,,539.50,,14768.50,,9022.40,,1269.30,,982.30,,1171.20,,13063.40,,10806.80,,864.10,,6264.40,,15919.40,
7,537.79,202.44,514.70,,4716.30,,117.80,,9487.20,,384.40,,191.70,,19387.40,,543.80,,14810.10,,9066.40,,1272.30,,984.80,,1177.10,,13076.80,,10797.00,,876.30,,6227.10,,15911.70,
8,537.91,206.59,516.70,,4736.00,,116.60,,9512.10,,385.80,,195.80,,19457.00,,550.20,,14843.60,,9097.30,,1268.30,,984.40,,1184.40,,13069.90,,10784.00,,906.20,,6199.30,,15871.40,
9,538.03,210.74,520.50,,4761.30,,110.80,,9514.60,,384.80,,202.50,,19548.00,,549.70,,14908.80,,9132.50,,1273.10,,980.70,,1185.80,,13085.90,,10786.60,,918.00,,6181.80,,15860.10,
10,538.15,214.89,520.20,,4772.60,,112.00,,9536.20,,380.80,,209.90,,19592.20,,552.70,,14940.20,,9153.70,,1288.90,,984.50,,1187.10,,13107.30,,10789.10,,947.20,,6180.40,,15833.20,
11,538.27,219.03,521.20,,4798.90,,110.70,,9564.00,,383.40,,214.30,,19645.70,,546.50,,14984.60,,9195.30,,1293.80,,983.70,,1189.10,,13147.90,,10793.80,,968.40,,6186.70,,15810.30,
12,538.39,223.17,517.60,,4818.30,,115.30,,9566.00,,394.70,,217.40,,19732.30,,552.80,,15024.20,,9230.50,,1297.90,,986.20,,1201.60,,13156.30,,10825.00,,988.20,,6186.90,,15787.00,
13,538.51,227.31,517.10,,4822.50,,117.20,,9567.90,,389.50,,218.80,,19799.70,,549.30,,15050.80,,9247.10,,1308.90,,980.30,,1202.30,,13193.30,,10836.30,,1015.30,,6197.70,,15762.10,
